rhs       -----------start-------------
CPU0  raw=1110336 ena=218895300 run=18446744073594915162 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU0  raw=1113065 ena=219035543 run=18446744073594877094 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU0  raw=514573 ena=218897072 run=18446744073595890159 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU0  raw=518091 ena=219033819 run=18446744073595860175 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU0  raw=300909240 ena=220428124 run=152660876 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU0  raw=15050182 ena=220427501 run=152667779 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU0  raw=636169095 ena=220426346 run=152672835 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU0  raw=74193 ena=220425594 run=152672320 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU0  raw=781141160 ena=220424827 run=152673047 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU0  raw=5291429 ena=220423762 run=152671248 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU0  raw=59122 ena=220422350 run=152667799 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU0  raw=5270953 ena=220420534 run=152665557 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU0  raw=46428 ena=220418584 run=135519028 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU0  raw=38800 ena=220416810 run=135512236 ratio=0.00 hsw_ep::ICACHE:misses
CPU0  raw=630869631 ena=220415596 run=153450414 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU0  raw=34877734912 ena=221093899 run=221093899 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU0  raw=9445179392 ena=221099948 run=221099948 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU0  raw=300483080 ena=220421261 run=152446428 ratio=0.00 cycles
CPU0  raw=625216973 ena=220419873 run=152446902 ratio=0.00 instructions
CPU1  raw=1188042 ena=218887276 run=18446744073596829122 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
