ep        -----------start-------------
CPU0  raw=4865870 ena=41233498915 run=18446744051374553411 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU0  raw=4394390 ena=41263485443 run=18446744051362995355 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU0  raw=4030527 ena=41233694753 run=18446744051375016427 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU0  raw=3591369 ena=41263483158 run=18446744051364099423 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU0  raw=36340883916 ena=41654600658 run=28835347386 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU0  raw=2796907011 ena=41654598662 run=28838090024 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU0  raw=76012061258 ena=41654597060 run=28840164746 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU0  raw=13331392 ena=41654595907 run=28840229808 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU0  raw=48855143194 ena=41654594279 run=28840124186 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU0  raw=5369976 ena=41654592257 run=28839777952 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU0  raw=412146 ena=41654589694 run=28839246449 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU0  raw=5376315 ena=41654586622 run=28838830147 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU0  raw=355809 ena=41654583141 run=25633744906 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU0  raw=4519240 ena=41654579994 run=25631344040 ratio=0.00 hsw_ep::ICACHE:misses
CPU0  raw=41012272851 ena=41654578170 run=28836432372 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU0  raw=7255447830528 ena=41842293178 run=41842293178 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU0  raw=973737230336 ena=41842294716 run=41842294716 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU0  raw=36320915523 ena=41654577353 run=28833790261 ratio=0.00 cycles
CPU0  raw=41011456106 ena=41654574966 run=28833973018 ratio=0.00 instructions
CPU1  raw=4875005 ena=41233649502 run=18446744051375772911 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU1  raw=4387429 ena=41263437872 run=18446744051365071246 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU1  raw=4030596 ena=41233647734 run=18446744051376842447 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU1  raw=3587911 ena=41263436401 run=18446744051365166492 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU1  raw=34157430952 ena=41648636863 run=28830193155 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU1  raw=2628772701 ena=41648631850 run=28833083393 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU1  raw=74131533056 ena=41648628017 run=28835795665 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU1  raw=1437397 ena=41648624710 run=28836300005 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU1  raw=46976985917 ena=41648621008 run=28836363439 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU1  raw=4196216 ena=41648617234 run=28836367622 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU1  raw=27672 ena=41648612784 run=28835657637 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU1  raw=4192961 ena=41648608709 run=28835359766 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU1  raw=24609 ena=41648603702 run=25630737507 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU1  raw=2842902 ena=41648597706 run=25627836588 ratio=0.00 hsw_ep::ICACHE:misses
CPU1  raw=39854397547 ena=41648593981 run=28832294630 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU1  raw=7255447830528 ena=41842222909 run=41842222909 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU1  raw=973737230336 ena=41842222153 run=41842222153 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU1  raw=34138250722 ena=41648588717 run=28829075588 ratio=0.00 cycles
CPU1  raw=39852932711 ena=41648583917 run=28828975118 ratio=0.00 instructions
CPU2  raw=4850900 ena=41233588222 run=18446744051379174202 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU2  raw=4340402 ena=41263376664 run=18446744051365624047 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
