ep        -----------start-------------
CPU0  raw=410805 ena=15592369124 run=18446744065275292210 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU0  raw=197341 ena=15602411049 run=18446744065268850410 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU0  raw=223309 ena=15592373856 run=18446744065276210946 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU0  raw=55617 ena=15602408769 run=18446744065270004696 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU0  raw=20805329646 ena=15706387177 run=10871053043 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU0  raw=1067535897 ena=15706385866 run=10871585527 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU0  raw=43925807427 ena=15706384813 run=10872902072 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU0  raw=5377661 ena=15706383864 run=10873888825 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU0  raw=28078216443 ena=15706383709 run=10874797537 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU0  raw=772905 ena=15706383240 run=10875674045 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU0  raw=83160 ena=15706381618 run=10875674730 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU0  raw=774733 ena=15706380052 run=10875567075 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU0  raw=73552 ena=15706378100 run=9666926870 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU0  raw=2263020 ena=15706376315 run=9665515517 ratio=0.00 hsw_ep::ICACHE:misses
CPU0  raw=23676486680 ena=15706375192 run=10874285809 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU0  raw=3927166681088 ena=15754687730 run=15754687730 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU0  raw=318615126016 ena=15754688337 run=15754688337 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU0  raw=20792897020 ena=15706375194 run=10871906834 ratio=0.00 cycles
CPU0  raw=23675736119 ena=15706373672 run=10870983090 ratio=0.00 instructions
CPU1  raw=402158 ena=15592359059 run=18446744065277127667 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU1  raw=184759 ena=15602393791 run=18446744065271412359 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU1  raw=222418 ena=15592357588 run=18446744065277845313 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU1  raw=54784 ena=15602392421 run=18446744065272529521 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU1  raw=19835074972 ena=15703759410 run=10869121987 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU1  raw=1025259441 ena=15703757636 run=10869560383 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU1  raw=43200503250 ena=15703753825 run=10871129828 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU1  raw=533272 ena=15703750512 run=10872266125 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU1  raw=27335155345 ena=15703746963 run=10873164024 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU1  raw=99476 ena=15703743342 run=10873937898 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU1  raw=12774 ena=15703740134 run=10873653805 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU1  raw=64485 ena=15703736561 run=10873440658 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU1  raw=12570 ena=15703733368 run=9665230484 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU1  raw=1194462 ena=15703731000 run=9664014776 ratio=0.00 hsw_ep::ICACHE:misses
CPU1  raw=23233181138 ena=15703728643 run=10872656811 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU1  raw=3927166681088 ena=15754650647 run=15754650647 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU1  raw=318615126016 ena=15754650129 run=15754650129 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU1  raw=19820865269 ena=15703725135 run=10870265440 ratio=0.00 cycles
CPU1  raw=23236116602 ena=15703722777 run=10869321965 ratio=0.00 instructions
CPU2  raw=390360 ena=15592317725 run=18446744065278530696 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU2  raw=176750 ena=15602352378 run=18446744065273477397 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU2  raw=220178 ena=15592316174 run=18446744065261487177 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU2  raw=53100 ena=15602351828 run=18446744065257009349 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU2  raw=19841388804 ena=15705564312 run=10870394440 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU2  raw=1025539952 ena=15705561059 run=10870927651 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU2  raw=43192305456 ena=15705560710 run=10872381991 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU2  raw=525039 ena=15705555700 run=10873415023 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU2  raw=27332635041 ena=15705551473 run=10874288133 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU2  raw=41735 ena=15705547246 run=10875118160 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU2  raw=13595 ena=15705543086 run=10875060465 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU2  raw=41345 ena=15705539145 run=10874940735 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU2  raw=14471 ena=15705535423 run=9666442110 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU2  raw=1188299 ena=15705532188 run=9665073003 ratio=0.00 hsw_ep::ICACHE:misses
CPU2  raw=23229739199 ena=15705529835 run=10873729515 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU2  raw=3927166681088 ena=15754589746 run=15754589746 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU2  raw=318615126016 ena=15754587725 run=15754587725 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU2  raw=19826791041 ena=15705524851 run=10871340154 ratio=0.00 cycles
CPU2  raw=23234708402 ena=15705522180 run=10870307477 ratio=0.00 instructions
CPU3  raw=375881 ena=15592255821 run=18446744065244795481 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU3  raw=167074 ena=15602292060 run=18446744065240630392 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU3  raw=223966 ena=15592257260 run=18446744065243586401 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU3  raw=57138 ena=15602294208 run=18446744065239227351 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU3  raw=19826536093 ena=15706447280 run=10870991833 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU3  raw=1024742688 ena=15706445583 run=10871449843 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU3  raw=43187109484 ena=15706442485 run=10872926693 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU3  raw=530866 ena=15706438796 run=10873938805 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU3  raw=27328105003 ena=15706434443 run=10874918340 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU3  raw=12482 ena=15706430830 run=10875829472 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU3  raw=11035 ena=15706426954 run=10875737339 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU3  raw=12336 ena=15706423985 run=10875689222 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU3  raw=11122 ena=15706420989 run=9666980544 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU3  raw=1205575 ena=15706427585 run=9665616955 ratio=0.00 hsw_ep::ICACHE:misses
CPU3  raw=23231012426 ena=15706426657 run=10874345340 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU3  raw=3927166681088 ena=15754563839 run=15754563839 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU3  raw=318615126016 ena=15754562966 run=15754562966 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU3  raw=19816291725 ena=15706423827 run=10871899600 ratio=0.00 cycles
CPU3  raw=23231997559 ena=15706421395 run=10870956590 ratio=0.00 instructions
CPU4  raw=385666 ena=15592232306 run=18446744065243983721 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU4  raw=181122 ena=15602268411 run=18446744065239572680 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU4  raw=246350 ena=15592233533 run=18446744065242984143 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU4  raw=79553 ena=15602269714 run=18446744065238388215 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU4  raw=19819277098 ena=15704812566 run=10869417278 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU4  raw=1024462066 ena=15704810475 run=10870006746 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU4  raw=43186284593 ena=15704807278 run=10871743441 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU4  raw=501715 ena=15704803924 run=10873039570 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU4  raw=27328230660 ena=15704800359 run=10874182868 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU4  raw=30945 ena=15704796692 run=10875163867 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU4  raw=9997 ena=15704793372 run=10874925866 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU4  raw=31463 ena=15704789984 run=10874647709 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU4  raw=11613 ena=15704788675 run=9666023849 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU4  raw=1171659 ena=15704785330 run=9664448769 ratio=0.00 hsw_ep::ICACHE:misses
CPU4  raw=23227608286 ena=15704783198 run=10873053016 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU4  raw=3927166681088 ena=15754530668 run=15754530668 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU4  raw=318615126016 ena=15754531538 run=15754531538 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU4  raw=19804653390 ena=15704781334 run=10870590200 ratio=0.00 cycles
CPU4  raw=23234629052 ena=15704775712 run=10869443044 ratio=0.00 instructions
CPU5  raw=398935 ena=15592195962 run=18446744065243530764 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU5  raw=193007 ena=15602232121 run=18446744065238765557 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU5  raw=272146 ena=15592197128 run=18446744065242633236 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU5  raw=104837 ena=15602233953 run=18446744065237510889 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU5  raw=19826718242 ena=15700630224 run=10867316800 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU5  raw=1024674911 ena=15700628384 run=10867897583 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU5  raw=43188618001 ena=15700625255 run=10869460053 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU5  raw=519929 ena=15700621694 run=10870215074 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU5  raw=27322233591 ena=15700617461 run=10870868636 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU5  raw=10686 ena=15700613940 run=10871432488 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU5  raw=62948 ena=15700610253 run=10871252046 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU5  raw=10553 ena=15700600231 run=10871091765 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU5  raw=58286 ena=15700597202 run=9663071744 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU5  raw=1142403 ena=15700594344 run=9661923103 ratio=0.00 hsw_ep::ICACHE:misses
CPU5  raw=23231247202 ena=15700592583 run=10870274074 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU5  raw=3927166681088 ena=15754490158 run=15754490158 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU5  raw=318615126016 ena=15754489852 run=15754489852 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU5  raw=19815626094 ena=15700589814 run=10867943651 ratio=0.00 cycles
CPU5  raw=23234433807 ena=15700586390 run=10867221829 ratio=0.00 instructions
CPU6  raw=401622 ena=15592157337 run=18446744065243245522 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU6  raw=195327 ena=15602193617 run=18446744065238013427 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU6  raw=275139 ena=15592159487 run=18446744065242478084 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU6  raw=107486 ena=15602195698 run=18446744065237084080 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU6  raw=19825527374 ena=15703238642 run=10869046703 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU6  raw=1024606032 ena=15703236159 run=10869670683 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU6  raw=43188772158 ena=15703232904 run=10871096051 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU6  raw=535778 ena=15703229563 run=10871806276 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU6  raw=27321389962 ena=15703226020 run=10872758126 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU6  raw=17893 ena=15703223242 run=10873669721 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU6  raw=13223 ena=15703219684 run=10873495642 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU6  raw=17941 ena=15703216450 run=10873268458 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
