iter 1
t_rhs     -----------start-------------
CPU0  raw=402 ena=5651234 run=1168342 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU0  raw=476 ena=5669402 run=1182652 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU0  raw=599 ena=5663916 run=2144422 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU0  raw=977 ena=5666998 run=2164028 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU0  raw=3153187 ena=5697992 run=1713215 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU0  raw=197551 ena=5696334 run=2022781 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU0  raw=4091558 ena=5694805 run=3016461 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU0  raw=6520 ena=5693695 run=4010671 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU0  raw=10607113 ena=5692525 run=5003319 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU0  raw=122823 ena=5691242 run=5691242 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU0  raw=7446 ena=5689279 run=5689279 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU0  raw=122822 ena=5687152 run=5687152 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU0  raw=7360 ena=5684816 run=4681101 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU0  raw=2031 ena=5682624 run=3687553 ratio=0.00 hsw_ep::ICACHE:misses
CPU0  raw=7724453 ena=5681275 run=4686058 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU0  raw=1010302976 ena=5696574 run=5696574 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU0  raw=188809216 ena=5697218 run=5697218 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU0  raw=5032946 ena=5681046 run=2698175 ratio=0.00 cycles
CPU0  raw=4414988 ena=5679268 run=1702727 ratio=0.00 instructions
CPU1  raw=3496 ena=5642478 run=3081992 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU1  raw=5608 ena=5645638 run=3101859 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU1  raw=21301 ena=5640915 run=4067145 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU1  raw=22276 ena=5644114 run=4088606 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU1  raw=129651 ena=5689438 run=1689768 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU1  raw=5250 ena=5686587 run=2044035 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU1  raw=73240 ena=5682431 run=3034983 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU1  raw=383 ena=5678631 run=4042869 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU1  raw=117657 ena=5674108 run=5030963 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU1  raw=92 ena=5671447 run=5671447 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU1  raw=8 ena=5668304 run=5668304 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU1  raw=90 ena=5665245 run=5665245 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU1  raw=3 ena=5662295 run=4657425 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU1  raw=376 ena=5658525 run=3666188 ratio=0.00 hsw_ep::ICACHE:misses
CPU1  raw=53109 ena=5656623 run=4661596 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU1  raw=845152256 ena=5670619 run=5670619 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU1  raw=163250176 ena=5670567 run=5670567 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU1  raw=150705 ena=5654773 run=2685367 ratio=0.00 cycles
CPU1  raw=43080 ena=5652498 run=1675675 ratio=0.00 instructions
CPU2  raw=49025 ena=5614580 run=4962288 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU2  raw=51290 ena=5617631 run=4984497 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU2  raw=54044 ena=5612854 run=18446744073694293368 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU2  raw=54962 ena=5618492 run=18446744073694277066 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU2  raw=130210 ena=5666888 run=1665532 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU2  raw=5273 ena=5664032 run=2043363 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU2  raw=75581 ena=5660217 run=3034691 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU2  raw=383 ena=5656065 run=4044673 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU2  raw=120693 ena=5651881 run=5032349 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU2  raw=66 ena=5648898 run=5648898 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU2  raw=12 ena=5651576 run=5651576 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU2  raw=64 ena=5649168 run=5649168 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU2  raw=11 ena=5646100 run=4641508 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU2  raw=424 ena=5646008 run=3653116 ratio=0.00 hsw_ep::ICACHE:misses
CPU2  raw=54088 ena=5644016 run=4648878 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU2  raw=845152256 ena=5656606 run=5656606 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU2  raw=163250176 ena=5656463 run=5656463 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU2  raw=152973 ena=5640795 run=2672185 ratio=0.00 cycles
CPU2  raw=43687 ena=5638482 run=1660042 ratio=0.00 instructions
CPU3  raw=59317 ena=5600300 run=18446744073674215401 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU3  raw=60498 ena=5605964 run=18446744073674179700 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU3  raw=53428 ena=5603775 run=18446744073672250564 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU3  raw=53666 ena=5609605 run=18446744073672213676 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU3  raw=136750 ena=5658966 run=1653005 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU3  raw=5091 ena=5656212 run=2041911 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU3  raw=74798 ena=5652319 run=3033061 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU3  raw=392 ena=5648538 run=4045698 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU3  raw=131002 ena=5644584 run=5035923 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
