         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1494689457.07     0     39.81      0.00      8.46    12     36.60      0.00      7.87
 1494689457.17     0     47.59      0.00     11.21    12     47.51      0.00     10.95
 1494689457.27     0     47.30      0.00     17.18    12     47.10      0.00     14.21
 1494689457.37     0     43.21      0.00     16.10    12     48.28      0.00      9.76
 1494689457.47     0     46.53      0.00     15.97    12     47.14      0.00     10.00
 1494689457.57     0     41.71      0.00     10.21    12     44.40      0.00      9.06
 1494689457.67     0     48.15      0.00     16.66    12     48.20      0.00     15.12
 1494689457.77     0     42.41      0.00     15.77    12     46.40      0.00      9.50
 1494689457.87     0     46.90      0.00     16.63    12     47.84      0.00     10.26
 1494689457.97     0     44.34      0.00     15.30    12     47.37      0.00     13.01
 1494689458.07     0     47.84      0.00     18.20    12     43.90      0.00     13.36
 1494689458.17     0     43.16      0.00     15.85    12     46.77      0.00      9.65
 1494689458.27     0     42.71      0.00     15.34    12     47.70      0.00      9.43
 1494689458.37     0     47.29      0.00     16.08    12     47.59      0.00     14.70
 1494689458.47     0     42.44      0.00     16.97    12     43.93      0.00     10.94
 1494689458.57     0     45.51      0.00     15.24    12     47.43      0.00     10.74
 1494689458.67     0     48.74      0.00     17.13    12     47.81      0.00     13.75
 1494689458.77     0     46.98      0.00     17.44    12     46.28      0.00     13.40
 1494689458.87     0     46.64      0.00     14.92    12     44.11      0.00     12.15
 1494689458.97     0     47.92      0.00     16.07    12     47.06      0.00     14.59
 1494689459.07     0     47.22      0.00     17.77    12     46.64      0.00     15.89
 1494689459.17     0     47.32      0.00     16.30    12     46.00      0.00     14.94
 1494689459.28     0     47.23      0.00     16.91    12     47.99      0.00     16.09
 1494689459.38     0     47.39      0.00     16.98    12     46.46      0.00     15.49
 1494689459.48     0     47.26      0.00     16.59    12     47.42      0.00     15.25
 1494689459.58     0     47.90      0.00     17.08    12     47.36      0.00     15.47
 1494689459.68     0     47.37      0.00     16.65    12     45.25      0.00     14.21
 1494689459.78     0     46.17      0.00     15.58    12     47.00      0.00     14.40
 1494689459.88     0     48.29      0.00     17.25    12     46.92      0.00     15.15
 1494689459.98     0     47.26      0.00     15.67    12     45.78      0.00     13.96
 1494689460.08     0     47.28      0.00     16.73    12     48.17      0.00     15.34
 1494689460.18     0     47.22      0.00     17.38    12     46.34      0.00     15.48
 1494689460.28     0     47.44      0.00     16.99    12     46.73      0.00     15.42
 1494689460.38     0     47.47      0.00     16.28    12     47.32      0.00     15.72
 1494689460.48     0     47.53      0.00     16.65    12     44.97      0.00     14.45
 1494689460.58     0     47.30      0.00     16.36    12     47.62      0.00     15.30
 1494689460.68     0     47.29      0.00     16.52    12     46.77      0.00     16.06
 1494689460.78     0     46.92      0.00     15.56    12     46.05      0.00     13.93
 1494689460.88     0     47.76      0.00     15.92    12     48.07      0.00     13.76
 1494689460.98     0     47.10      0.00     16.90    12     46.76      0.00     15.90
 1494689461.08     0     47.71      0.00     16.51    12     46.49      0.00     14.61
 1494689461.18     0     47.23      0.00     16.73    12     47.30      0.00     15.60
 1494689461.28     0     47.26      0.00     17.05    12     45.81      0.00     14.75
 1494689461.38     0     47.35      0.00     16.76    12     47.50      0.00     15.59
 1494689461.48     0     47.32      0.00     16.58    12     47.49      0.00     16.55
 1494689461.58     0     47.14      0.00     16.34    12     45.88      0.00     14.38
 1494689461.68     0     48.05      0.00     16.65    12     48.04      0.00     15.01
 1494689461.78     0     46.98      0.00     17.40    12     46.75      0.00     15.81
 1494689461.88     0     47.37      0.00     15.81    12     45.86      0.00     13.78
 1494689461.98     0     47.01      0.00     16.20    12     47.59      0.00     14.97
 1494689462.08     0     47.29      0.00     16.86    12     45.84      0.00     14.52
 1494689462.18     0     47.15      0.00     16.24    12     47.60      0.00     15.28
 1494689462.28     0     47.60      0.00     17.13    12     48.10      0.00     16.38
 1494689462.38     0     47.76      0.00     16.68    12     44.81      0.00     14.07
