         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1494699202.83     0     49.68      0.00     18.25    12     49.69      0.00     18.78
 1494699202.93     0     47.63      0.00     18.23    12     47.66      0.00     18.19
 1494699203.03     0     47.34      0.00     18.31    12     47.19      0.00     18.39
 1494699203.13     0     47.28      0.00     18.04    12     47.22      0.00     18.24
 1494699203.23     0     47.37      0.00     18.28    12     47.39      0.00     18.23
 1494699203.33     0     47.21      0.00     18.04    12     47.33      0.00     18.13
 1494699203.43     0     47.28      0.00     18.22    12     47.33      0.00     18.20
 1494699203.53     0     47.30      0.00     18.31    12     47.21      0.00     18.22
 1494699203.63     0     47.75      0.00     18.48    12     47.69      0.00     18.59
 1494699203.73     0     47.37      0.00     18.31    12     47.40      0.00     18.32
 1494699203.83     0     47.20      0.00     18.07    12     47.24      0.00     18.22
 1494699203.93     0     47.32      0.00     18.07    12     47.41      0.00     18.04
 1494699204.03     0     47.27      0.00     17.92    12     47.21      0.00     17.85
 1494699204.13     0     47.28      0.00     18.00    12     47.26      0.00     18.34
 1494699204.23     0     47.32      0.00     18.30    12     47.36      0.00     18.04
 1494699204.33     0     47.21      0.00     18.13    12     47.22      0.00     18.03
 1494699204.43     0     47.71      0.00     18.18    12     47.73      0.00     18.17
 1494699204.53     0     47.31      0.00     18.24    12     47.31      0.00     18.18
 1494699204.63     0     47.30      0.00     18.15    12     47.23      0.00     18.00
 1494699204.73     0     47.39      0.00     18.04    12     47.33      0.00     18.24
 1494699204.83     0     47.27      0.00     18.29    12     47.30      0.00     18.20
 1494699204.93     0     47.28      0.00     18.30    12     47.31      0.00     18.19
 1494699205.03     0     47.27      0.00     17.95    12     47.33      0.00     17.86
 1494699205.13     0     47.28      0.00     18.19    12     47.12      0.00     18.13
 1494699205.23     0     47.30      0.00     18.02    12     47.45      0.00     18.34
 1494699205.34     0     47.76      0.00     18.41    12     47.72      0.00     18.54
 1494699205.44     0     47.27      0.00     18.02    12     47.35      0.00     18.14
 1494699205.54     0     47.34      0.00     18.26    12     47.20      0.00     18.09
 1494699205.64     0     47.22      0.00     18.22    12     47.33      0.00     18.29
 1494699205.74     0     47.43      0.00     18.09    12     47.29      0.00     18.19
 1494699205.84     0     47.20      0.00     18.01    12     47.19      0.00     18.07
 1494699205.94     0     47.27      0.00     18.08    12     47.36      0.00     18.46
 1494699206.04     0     47.31      0.00     18.02    12     47.35      0.00     18.04
 1494699206.14     0     47.24      0.00     18.18    12     47.61      0.00     18.11
 1494699206.24     0     47.80      0.00     18.17    12     47.40      0.00     18.25
 1494699206.34     0     47.30      0.00     18.26    12     47.30      0.00     18.22
 1494699206.44     0     47.29      0.00     18.21    12     47.36      0.00     17.89
 1494699206.54     0     47.28      0.00     18.23    12     47.15      0.00     17.90
 1494699206.64     0     47.27      0.00     18.32    12     47.32      0.00     18.31
 1494699206.74     0     47.38      0.00     18.29    12     47.29      0.00     17.93
 1494699206.84     0     47.23      0.00     18.18    12     47.36      0.00     17.77
 1494699206.94     0     47.26      0.00     18.30    12     47.24      0.00     18.09
 1494699207.04     0     47.78      0.00     18.03    12     47.63      0.00     18.18
 1494699207.14     0     47.28      0.00     18.02    12     47.47      0.00     17.77
 1494699207.24     0     47.27      0.00     18.16    12     47.22      0.00     17.90
 1494699207.34     0     47.22      0.00     18.25    12     47.19      0.00     18.19
 1494699207.44     0     47.32      0.00     18.20    12     47.38      0.00     18.26
 1494699207.54     0     47.26      0.00     18.01    12     47.28      0.00     18.22
 1494699207.64     0     47.32      0.00     18.21    12     47.14      0.00     17.48
 1494699207.74     0     47.27      0.00     18.29    12     47.90      0.00     18.65
 1494699207.84     0     47.76      0.00     18.26    12     47.33      0.00     17.97
 1494699207.94     0     47.31      0.00     18.19    12     47.27      0.00     18.08
 1494699208.04     0     47.30      0.00     18.01    12     47.12      0.00     17.99
 1494699208.14     0     47.27      0.00     17.96    12     47.38      0.00     18.03
 1494699208.24     0     47.30      0.00     17.82    12     47.35      0.00     17.65
 1494699208.34     0     47.29      0.00     18.20    12     47.36      0.00     17.95
 1494699208.44     0     47.30      0.00     18.25    12     47.16      0.00     17.96
 1494699208.54     0     47.25      0.00     18.23    12     47.38      0.00     18.27
 1494699208.64     0     47.81      0.00     18.46    12     47.76      0.00     17.93
 1494699208.74     0     47.21      0.00     18.23    12     47.18      0.00     17.87
 1494699208.84     0     47.36      0.00     18.29    12     47.38      0.00     18.23
 1494699208.94     0     47.28      0.00     18.26    12     47.21      0.00     18.17
 1494699209.04     0     47.25      0.00     18.29    12     47.19      0.00     18.33
 1494699209.14     0     47.35      0.00     17.99    12     47.49      0.00     18.25
 1494699209.24     0     47.25      0.00     18.06    12     47.36      0.00     17.91
 1494699209.34     0     47.32      0.00     18.16    12     47.23      0.00     17.77
 1494699209.44     0     47.29      0.00     18.12    12     47.65      0.00     17.95
 1494699209.54     0     47.74      0.00     18.39    12     47.35      0.00     18.25
 1494699209.64     0     47.28      0.00     18.22    12     47.28      0.00     18.01
 1494699209.74     0     47.26      0.00     18.17    12     47.33      0.00     18.16
 1494699209.84     0     47.33      0.00     18.21    12     47.20      0.00     17.79
 1494699209.95     0     47.32      0.00     18.05    12     47.31      0.00     18.12
 1494699210.05     0     47.26      0.00     18.24    12     47.35      0.00     18.12
 1494699210.15     0     47.24      0.00     18.23    12     47.14      0.00     18.17
 1494699210.25     0     47.27      0.00     18.06    12     47.83      0.00     18.39
 1494699210.35     0     47.76      0.00     18.33    12     47.28      0.00     17.57
 1494699210.45     0     47.30      0.00     18.21    12     47.18      0.00     18.00
 1494699210.55     0     47.28      0.00     18.21    12     47.39      0.00     18.28
 1494699210.65     0     47.26      0.00     17.97    12     47.25      0.00     17.82
 1494699210.75     0     47.31      0.00     18.15    12     47.36      0.00     17.77
 1494699210.85     0     47.28      0.00     18.32    12     47.19      0.00     18.29
 1494699210.95     0     47.33      0.00     18.27    12     47.30      0.00     18.23
 1494699211.05     0     47.25      0.00     18.26    12     47.77      0.00     18.15
 1494699211.15     0     47.80      0.00     18.27    12     47.29      0.00     18.14
 1494699211.25     0     47.25      0.00     18.10    12     47.28      0.00     18.11
 1494699211.35     0     47.30      0.00     17.97    12     47.37      0.00     18.14
 1494699211.45     0     47.29      0.00     18.24    12     47.24      0.00     17.75
 1494699211.55     0     47.28      0.00     18.27    12     47.27      0.00     17.93
 1494699211.65     0     47.19      0.00     18.18    12     47.33      0.00     18.12
 1494699211.75     0     47.31      0.00     18.23    12     47.26      0.00     18.17
 1494699211.85     0     47.35      0.00     18.11    12     47.72      0.00     18.08
 1494699211.95     0     47.28      0.00     18.01    12     47.34      0.00     18.09
 1494699212.05     0     47.36      0.00     18.25    12     47.27      0.00     17.88
 1494699212.15     0     47.73      0.00     18.46    12     47.33      0.00     18.16
 1494699212.25     0     47.25      0.00     18.12    12     47.22      0.00     18.09
 1494699212.35     0     47.31      0.00     18.05    12     47.31      0.00     18.39
 1494699212.45     0     47.31      0.00     18.15    12     47.34      0.00     17.90
 1494699212.55     0     47.28      0.00     18.28    12     47.29      0.00     17.88
 1494699212.65     0     47.27      0.00     18.28    12     47.28      0.00     18.10
 1494699212.75     0     47.30      0.00     18.04    12     47.24      0.00     18.01
 1494699212.85     0     47.76      0.00     18.44    12     47.79      0.00     18.36
 1494699212.95     0     47.28      0.00     18.12    12     47.26      0.00     18.17
 1494699213.05     0     47.25      0.00     18.03    12     47.20      0.00     18.13
 1494699213.15     0     47.35      0.00     18.29    12     47.40      0.00     17.84
 1494699213.25     0     47.29      0.00     18.09    12     47.23      0.00     17.51
 1494699213.35     0     47.32      0.00     18.21    12     47.33      0.00     18.47
