time	PKG-0	Dram-0	PKG-1	Dram-1	
0.0	13.10	1.87	16.17	2.20	
0.5	12.74	1.70	15.82	1.99	
1.0	12.54	1.69	15.73	2.10	
1.5	12.79	1.74	15.72	2.08	
2.0	12.58	1.70	15.62	2.06	
2.5	12.63	1.75	15.70	2.05	
3.0	12.65	1.74	15.72	1.93	
3.5	16.56	2.86	19.51	3.31	
4.0	18.73	3.81	21.50	4.14	
4.5	14.93	2.57	17.55	2.97	
5.0	12.73	1.71	15.83	2.07	
5.5	16.50	2.92	19.43	3.38	
6.0	18.74	3.56	21.09	3.91	
6.5	14.63	2.32	17.55	2.68	
7.0	12.80	1.76	15.77	2.06	
7.5	12.64	1.70	15.76	2.07	
8.0	12.55	1.72	15.66	2.11	
8.5	12.70	1.72	15.80	2.08	
9.0	14.65	2.37	17.74	2.76	
9.5	33.82	6.32	49.98	8.04	
10.0	57.48	7.95	61.59	9.39	
10.5	57.28	7.68	60.85	8.86	
11.0	77.78	14.32	83.10	15.20	
11.5	80.83	14.99	87.17	17.00	
12.0	77.40	13.76	82.86	14.59	
12.5	88.16	17.30	94.76	18.88	
13.0	83.92	16.37	90.08	17.22	
13.5	80.20	15.22	86.10	16.15	
14.0	87.55	17.36	93.17	17.80	
14.5	87.55	18.07	93.69	18.53	
15.0	80.37	15.77	85.69	16.47	
15.5	89.10	18.37	95.30	19.02	
16.0	88.72	18.02	95.03	18.59	
16.5	84.26	17.22	90.17	18.03	
17.0	84.96	16.00	91.11	16.79	
17.5	86.25	17.65	92.40	18.30	
18.0	88.80	18.07	94.93	18.75	
18.5	87.17	16.86	93.56	17.34	
19.0	76.81	12.87	81.64	13.47	
19.5	80.58	16.11	86.21	16.76	
20.0	89.80	18.15	96.30	18.98	
20.5	84.33	16.92	90.46	17.57	
21.0	89.50	18.06	95.99	18.79	
21.5	89.80	18.87	96.44	19.51	
22.0	82.48	16.10	88.39	16.68	
22.5	87.72	17.58	94.14	18.38	
23.0	85.03	15.71	91.25	16.20	
23.5	79.74	15.10	85.27	15.89	
24.0	87.10	17.40	93.30	17.94	
24.5	86.99	16.27	93.32	16.90	
25.0	87.56	17.68	93.97	18.29	
25.5	84.33	15.32	90.69	16.28	
26.0	88.04	17.76	94.61	18.31	
26.5	81.01	15.68	86.74	16.32	
27.0	88.94	17.90	95.54	18.50	
27.5	83.71	16.29	89.96	16.78	
28.0	86.01	16.29	92.14	16.74	
28.5	89.47	18.38	95.98	18.93	
29.0	81.19	15.25	87.01	15.87	
29.5	87.79	17.13	93.49	17.39	
30.0	87.02	16.89	92.93	17.59	
30.5	86.54	17.55	92.55	18.15	
31.0	84.16	15.94	90.15	16.73	
31.5	85.32	15.59	91.78	16.16	
32.0	86.56	16.88	92.96	17.65	
32.5	86.65	16.43	93.32	16.95	
33.0	87.30	17.10	93.78	17.71	
33.5	82.49	15.13	88.86	15.63	
34.0	87.60	16.42	94.10	17.05	
34.5	87.63	17.64	94.20	18.16	
35.0	70.96	11.10	75.99	11.77	
35.5	85.94	16.73	91.11	17.32	
36.0	86.80	16.76	93.36	17.35	
36.5	83.96	16.07	90.78	16.69	
37.0	86.78	16.75	93.17	17.42	
37.5	86.16	17.48	92.69	18.09	
38.0	91.22	18.66	98.14	19.19	
38.5	88.93	17.70	95.65	18.40	
39.0	83.81	16.82	90.15	17.36	
39.5	87.94	17.50	94.63	18.26	
40.0	87.89	17.68	94.47	18.28	
40.5	86.66	16.87	93.05	17.55	
41.0	87.41	16.62	94.12	17.30	
41.5	88.77	18.07	95.57	18.72	
42.0	83.37	15.27	89.53	15.81	
42.5	90.91	18.56	97.87	19.12	
43.0	85.18	16.15	91.55	16.79	
