time	PKG-0	Dram-0	PKG-1	Dram-1	
0.0	13.29	1.65	15.70	2.03	
0.5	12.91	1.63	15.40	1.94	
1.0	12.98	1.70	15.43	1.97	
1.5	12.95	1.64	15.33	1.92	
2.0	13.01	1.68	15.42	2.01	
2.5	12.83	1.63	15.27	2.00	
3.0	12.81	1.63	15.32	1.91	
3.5	13.04	1.71	15.40	1.97	
4.0	13.05	1.72	15.49	2.00	
4.5	12.88	1.67	15.35	1.96	
5.0	13.01	1.69	15.47	1.90	
5.5	12.93	1.69	15.39	1.97	
6.0	12.90	1.67	15.34	1.98	
6.5	12.88	1.69	15.32	2.01	
7.0	12.95	1.62	15.43	1.95	
7.5	12.93	1.64	15.34	1.91	
8.0	14.00	1.94	16.54	2.23	
8.5	18.39	3.06	21.92	3.88	
9.0	17.55	2.84	20.78	3.55	
9.5	13.00	1.63	15.41	1.98	
10.0	14.02	1.94	16.58	2.30	
10.5	18.55	3.23	21.98	4.16	
11.0	17.48	2.66	20.78	3.45	
11.5	12.91	1.63	15.34	1.89	
12.0	13.79	1.80	16.31	2.17	
12.5	18.43	3.01	21.79	3.87	
13.0	19.42	3.38	23.04	4.26	
13.5	29.04	5.28	31.55	5.60	
14.0	51.83	10.71	55.41	11.19	
14.5	65.59	13.51	69.76	13.56	
15.0	54.89	9.36	59.00	9.55	
15.5	51.47	9.47	55.05	9.76	
16.0	70.06	10.44	71.65	11.25	
16.5	69.18	9.03	70.40	9.83	
17.0	77.82	13.74	79.55	14.38	
17.5	70.24	9.00	71.35	9.92	
18.0	60.76	8.55	71.53	9.50	
18.5	71.46	14.21	81.95	14.40	
19.0	62.61	12.75	62.46	12.24	
19.5	65.08	11.16	65.32	10.92	
20.0	79.10	13.37	80.82	13.14	
20.5	78.59	13.26	79.99	13.07	
21.0	74.97	12.32	76.84	12.20	
21.5	82.06	14.92	79.22	15.04	
22.0	78.69	13.54	78.93	13.08	
22.5	78.58	14.80	77.93	14.98	
23.0	75.39	13.83	76.11	13.85	
23.5	76.97	13.73	77.86	13.91	
24.0	76.29	14.82	75.59	14.97	
24.5	78.63	14.60	79.26	14.93	
25.0	78.01	14.48	77.55	14.63	
25.5	72.61	12.07	70.89	10.84	
26.0	62.49	11.99	60.49	11.13	
26.5	63.34	10.88	64.56	11.35	
27.0	60.63	11.03	61.51	11.22	
27.5	54.36	9.72	54.34	10.00	
28.0	63.65	11.55	64.66	11.90	
28.5	60.85	10.75	61.62	11.42	
29.0	61.97	10.77	62.93	11.12	
29.5	56.68	8.52	57.58	8.97	
30.0	60.32	10.87	61.17	11.20	
30.5	64.30	12.18	65.42	12.03	
31.0	58.89	10.32	59.90	10.63	
31.5	64.36	11.65	65.27	12.06	
32.0	57.49	9.60	58.35	9.99	
32.5	61.08	11.21	62.02	11.28	
33.0	64.91	12.09	65.99	12.48	
33.5	46.85	5.82	46.47	6.02	
34.0	61.97	11.53	62.87	11.98	
34.5	66.17	12.27	67.30	12.51	
35.0	57.74	10.38	59.01	10.48	
35.5	64.97	11.68	66.13	11.94	
36.0	64.25	11.61	65.26	12.04	
36.5	55.61	8.56	56.58	8.85	
37.0	64.88	11.91	66.06	11.94	
37.5	59.99	11.81	61.26	12.19	
38.0	64.27	11.56	65.55	11.91	
38.5	59.56	10.45	60.90	10.71	
39.0	64.35	12.66	65.78	13.20	
39.5	58.36	9.12	59.61	9.34	
40.0	61.61	11.80	63.03	11.97	
40.5	66.78	12.99	68.40	13.16	
41.0	60.48	11.15	62.01	11.41	
41.5	66.71	12.79	68.24	13.02	
42.0	56.79	9.18	58.09	9.46	
42.5	63.61	12.07	64.63	12.35	
43.0	61.64	11.86	63.25	11.78	
43.5	56.78	8.25	57.99	8.47	
44.0	66.82	12.90	68.44	13.10	
44.5	56.34	9.19	57.67	9.76	
45.0	64.57	12.17	66.12	12.31	
45.5	78.45	14.70	80.62	15.16	
46.0	86.50	15.86	86.69	16.07	
46.5	61.33	8.45	61.48	8.22	
47.0	63.38	11.97	64.66	12.49	
47.5	61.50	11.44	61.75	11.22	
48.0	66.25	12.73	67.91	13.33	
48.5	70.75	12.53	72.53	12.44	
49.0	72.52	11.92	74.34	12.02	
49.5	59.59	10.57	61.13	11.11	
50.0	72.25	12.41	74.09	12.81	
50.5	59.19	9.33	60.64	9.74	
51.0	59.47	10.65	61.01	11.26	
51.5	64.53	11.49	66.19	11.68	
52.0	59.26	10.56	60.78	10.96	
52.5	63.22	11.45	64.81	11.47	
53.0	60.74	9.83	62.13	10.19	
53.5	58.98	10.50	60.45	10.49	
54.0	65.56	12.12	67.38	12.38	
54.5	62.98	11.53	64.28	11.85	
55.0	63.65	11.44	64.95	11.83	
55.5	61.00	11.87	62.14	12.16	
56.0	55.36	7.82	56.54	8.42	
56.5	67.20	12.29	68.77	12.62	
57.0	55.75	9.45	57.06	9.21	
57.5	64.68	12.99	65.80	13.26	
58.0	63.35	11.93	64.53	11.98	
58.5	53.84	9.13	54.13	9.07	
59.0	65.95	12.49	67.55	12.70	
59.5	57.86	9.74	58.48	10.05	
60.0	75.41	14.50	78.15	14.76	
60.5	80.15	13.93	84.60	14.95	
61.0	85.16	14.89	83.48	15.57	
61.5	75.59	13.17	75.38	13.12	
62.0	78.94	15.61	73.64	12.87	
62.5	77.02	15.63	80.64	15.63	
63.0	73.27	13.63	73.50	13.48	
63.5	80.44	15.31	79.62	15.39	
64.0	67.10	12.59	68.31	12.81	
64.5	78.33	12.85	80.26	13.06	
65.0	79.54	14.10	78.39	14.39	
65.5	77.74	13.16	77.42	12.85	
66.0	63.42	11.04	64.41	11.14	
66.5	53.34	9.95	52.29	8.64	
67.0	87.81	15.03	88.04	14.06	
67.5	84.40	15.94	84.50	15.29	
68.0	78.75	15.37	78.75	14.19	
68.5	77.95	16.20	77.86	14.82	
69.0	77.36	17.11	77.02	15.29	
69.5	76.40	12.14	76.63	10.85	
70.0	78.76	15.17	78.96	15.40	
70.5	77.11	14.45	77.08	14.55	
71.0	77.57	13.18	77.71	13.34	
71.5	77.33	15.19	77.32	15.29	
72.0	73.84	12.64	74.55	12.66	
72.5	80.88	17.19	80.32	17.29	
73.0	77.40	12.93	78.08	13.04	
73.5	78.13	14.86	77.76	14.92	
74.0	77.41	14.27	77.28	14.31	
74.5	59.82	8.59	60.33	8.59	
75.0	89.70	16.92	89.55	15.74	
75.5	67.10	10.99	67.46	10.00	
76.0	66.32	13.21	66.36	12.32	
76.5	63.80	11.85	64.06	11.12	
77.0	60.19	11.87	59.69	11.01	
77.5	70.35	14.16	70.06	14.16	
78.0	65.17	12.96	64.27	11.88	
78.5	67.71	13.17	67.46	12.77	
79.0	60.98	11.59	60.24	10.57	
79.5	68.43	14.06	68.09	13.68	
80.0	63.59	11.50	63.95	12.23	
80.5	62.42	11.59	63.48	11.76	
81.0	65.58	12.82	66.84	13.00	
81.5	62.69	11.60	64.26	12.08	
82.0	65.18	12.18	65.87	12.54	
82.5	63.38	13.01	63.12	12.06	
83.0	67.83	13.89	67.87	13.20	
83.5	62.79	11.83	62.55	10.94	
84.0	63.56	12.12	64.10	12.18	
84.5	66.97	13.55	67.85	13.11	
85.0	63.04	12.22	63.62	11.92	
85.5	62.88	11.68	63.58	10.84	
86.0	63.03	12.63	63.68	12.39	
86.5	67.78	13.76	68.28	13.40	
87.0	59.51	10.74	59.94	10.36	
87.5	65.37	13.48	65.66	12.84	
88.0	65.56	12.32	66.44	12.56	
88.5	56.36	9.77	57.45	10.20	
89.0	78.89	14.99	80.45	15.39	
89.5	76.97	13.20	76.34	11.30	
90.0	86.63	15.29	86.15	13.75	
90.5	76.55	14.03	76.65	12.04	
91.0	77.63	13.36	77.72	11.57	
91.5	75.00	14.19	74.51	12.76	
92.0	78.96	13.66	78.91	11.92	
92.5	77.49	14.13	77.10	12.79	
93.0	76.85	15.49	77.06	12.68	
93.5	73.91	13.80	76.27	11.66	
94.0	79.88	13.51	79.52	13.29	
94.5	75.61	11.98	76.79	11.78	
95.0	79.03	13.84	78.35	13.58	
95.5	77.71	14.10	77.58	13.82	
96.0	74.04	13.34	74.74	12.81	
96.5	77.85	13.16	76.81	12.76	
97.0	76.91	14.87	77.48	13.79	
97.5	70.53	12.90	71.50	13.11	
98.0	62.34	12.03	77.94	12.48	
98.5	62.98	12.13	70.91	12.47	
99.0	62.42	11.99	67.30	12.00	
99.5	73.13	12.20	75.35	11.66	
100.0	80.44	14.17	82.47	13.99	
100.5	82.57	13.67	79.80	13.21	
101.0	76.76	12.32	75.30	12.00	
101.5	79.74	14.65	79.72	14.07	
102.0	75.89	15.01	76.19	15.10	
102.5	76.50	13.71	76.89	13.01	
103.0	79.96	14.95	79.53	14.48	
103.5	72.47	12.39	73.04	11.66	
104.0	71.25	13.45	74.75	13.31	
104.5	72.43	12.88	68.68	12.79	
105.0	62.11	11.06	63.19	11.16	
105.5	66.91	12.86	68.27	12.60	
106.0	56.84	9.10	57.99	9.42	
106.5	70.09	12.65	71.83	12.55	
107.0	81.21	14.24	83.10	14.04	
107.5	74.40	13.57	77.39	12.42	
108.0	78.33	13.84	78.30	13.47	
108.5	65.07	9.92	64.61	9.41	
109.0	67.13	13.20	68.55	13.24	
109.5	59.39	10.11	59.92	10.39	
110.0	68.46	11.50	70.35	11.54	
110.5	65.73	12.02	67.44	12.50	
111.0	62.66	11.24	63.98	11.12	
111.5	89.90	14.92	91.09	14.47	
112.0	80.73	12.77	78.86	11.74	
112.5	78.95	14.22	79.04	13.68	
113.0	77.41	14.24	78.13	13.70	
113.5	76.87	12.68	76.60	12.13	
114.0	77.87	15.88	77.50	15.17	
114.5	78.75	13.11	78.78	12.88	
115.0	77.05	13.70	77.18	13.32	
115.5	75.88	13.21	76.90	13.53	
116.0	78.14	14.67	77.52	14.60	
116.5	75.52	12.85	77.55	13.29	
117.0	78.91	15.61	77.42	15.83	
117.5	76.21	14.21	77.20	14.55	
118.0	77.67	13.80	77.00	14.24	
118.5	76.57	12.52	76.88	12.35	
119.0	69.83	12.72	71.94	13.01	
119.5	60.61	11.01	62.11	10.88	
120.0	64.06	12.04	65.27	11.94	
120.5	72.90	12.86	74.61	12.73	
121.0	81.58	13.00	83.62	13.09	
121.5	82.96	15.30	80.48	15.25	
122.0	75.70	11.62	76.28	11.77	
122.5	78.97	13.70	78.75	13.35	
123.0	77.60	14.95	77.66	15.96	
123.5	76.52	11.53	77.05	10.98	
124.0	78.11	16.29	77.95	16.53	
124.5	76.81	13.26	76.94	13.20	
125.0	77.68	15.56	78.29	15.40	
125.5	78.58	16.67	77.95	16.08	
126.0	77.68	16.69	77.72	16.11	
126.5	77.85	14.53	78.03	14.62	
127.0	77.40	16.80	77.49	16.45	
127.5	77.68	14.20	77.71	14.10	
128.0	77.61	15.62	77.53	14.87	
128.5	75.77	13.25	76.99	13.78	
129.0	77.70	16.87	76.80	16.24	
129.5	77.94	14.96	77.87	14.96	
130.0	78.22	16.53	78.28	16.06	
130.5	77.45	15.14	77.46	15.50	
131.0	77.35	15.96	77.40	15.27	
131.5	77.40	15.14	77.32	15.00	
132.0	78.77	15.61	78.86	15.48	
132.5	74.30	14.05	75.66	14.14	
133.0	79.23	14.46	78.42	14.01	
133.5	77.57	16.90	77.54	17.14	
134.0	77.73	16.55	77.69	16.13	
134.5	71.22	12.82	71.83	12.75	
135.0	82.57	15.47	82.50	15.50	
135.5	77.22	14.76	77.42	14.47	
136.0	77.92	14.37	77.82	14.17	
136.5	77.56	17.55	77.73	17.62	
137.0	76.30	14.67	76.28	14.92	
137.5	78.14	13.50	78.36	13.04	
138.0	75.83	16.74	77.11	17.40	
138.5	79.27	16.69	78.15	15.99	
139.0	74.75	14.79	75.60	14.92	
139.5	78.02	12.65	79.07	12.65	
140.0	78.46	16.53	77.56	16.19	
140.5	72.28	12.19	76.01	12.61	
141.0	82.08	17.10	79.19	17.59	
141.5	76.85	17.00	77.44	16.43	
142.0	78.46	15.28	77.91	15.37	
142.5	77.98	14.92	78.07	14.77	
143.0	77.59	17.16	77.45	17.35	
143.5	74.94	12.75	77.09	12.88	
144.0	79.87	16.48	78.36	16.09	
144.5	77.75	17.79	77.61	17.69	
145.0	77.83	16.05	77.92	16.17	
145.5	77.71	15.11	77.19	15.02	
146.0	77.80	17.86	78.18	17.83	
146.5	77.94	14.22	78.09	14.01	
147.0	77.72	15.69	77.74	15.45	
147.5	76.66	16.22	77.10	16.51	
148.0	78.31	16.57	78.15	16.02	
148.5	78.05	14.65	77.94	14.76	
149.0	76.86	16.03	77.21	15.62	
149.5	77.98	14.95	77.90	14.66	
150.0	73.32	11.93	76.33	12.72	
150.5	81.01	18.30	78.89	18.34	
151.0	77.77	15.82	77.72	15.46	
151.5	77.95	16.40	78.03	15.90	
152.0	77.01	12.95	77.06	12.91	
152.5	77.02	16.89	77.26	16.64	
153.0	77.47	13.34	77.64	13.34	
153.5	77.49	15.87	77.68	15.63	
154.0	76.01	16.03	76.27	16.19	
154.5	79.03	14.99	78.89	14.85	
155.0	74.55	13.84	76.63	14.09	
155.5	80.06	17.53	78.20	16.92	
156.0	74.17	14.05	74.94	14.09	
156.5	80.29	14.78	80.28	14.81	
157.0	75.60	15.83	76.14	15.79	
157.5	79.54	16.56	79.09	16.16	
158.0	78.10	16.67	78.05	16.60	
158.5	77.51	16.19	77.44	16.17	
159.0	72.59	13.00	74.20	13.16	
159.5	82.26	16.42	81.00	16.37	
160.0	77.52	18.50	77.45	18.09	
160.5	75.22	12.13	76.84	12.25	
161.0	79.68	17.22	78.54	16.95	
161.5	77.60	16.20	77.79	16.30	
162.0	78.00	14.71	77.63	14.63	
162.5	76.04	14.93	77.65	14.87	
163.0	79.00	18.20	77.85	18.09	
163.5	77.76	16.44	77.74	16.12	
164.0	77.50	15.92	77.70	15.80	
164.5	76.93	13.62	77.46	13.95	
165.0	78.10	16.72	78.08	16.04	
165.5	77.50	13.55	77.51	13.40	
166.0	77.40	15.98	77.51	16.36	
166.5	76.31	16.86	76.55	16.49	
167.0	78.66	15.78	78.88	15.85	
167.5	77.33	14.59	77.46	14.54	
168.0	77.71	16.19	77.45	15.92	
168.5	76.76	16.17	77.00	16.64	
169.0	78.25	14.18	78.22	13.79	
169.5	72.40	13.74	74.15	14.04	
170.0	80.83	15.53	80.59	15.62	
170.5	79.23	16.51	78.26	16.25	
171.0	77.80	16.10	77.67	16.72	
171.5	77.24	14.40	77.78	14.07	
172.0	76.87	16.50	76.88	16.89	
172.5	78.37	15.93	77.98	15.36	
173.0	78.24	15.09	78.33	15.15	
173.5	76.48	15.71	77.74	15.28	
174.0	78.98	16.52	77.75	16.45	
174.5	77.57	16.47	77.74	15.99	
175.0	62.33	9.76	65.71	10.01	
175.5	66.52	13.21	68.89	12.87	
176.0	58.81	9.38	61.04	9.67	
176.5	95.47	17.24	95.31	17.12	
177.0	69.99	13.52	70.08	13.74	
177.5	56.58	9.16	58.49	9.71	
178.0	76.63	14.69	78.75	14.51	
178.5	88.65	16.50	85.88	16.09	
179.0	71.75	12.90	73.37	12.89	
179.5	82.39	15.43	81.41	15.55	
180.0	76.90	15.74	77.10	15.17	
180.5	77.16	15.85	77.42	15.72	
181.0	77.91	13.83	78.04	14.07	
181.5	76.99	15.12	77.26	14.89	
182.0	78.10	16.53	78.09	16.51	
182.5	77.60	14.61	77.78	14.57	
183.0	77.70	17.06	77.72	16.78	
183.5	70.33	13.40	72.16	13.58	
184.0	57.51	10.12	59.05	10.34	
184.5	63.40	11.25	65.52	11.31	
185.0	78.19	12.24	80.91	12.34	
185.5	89.66	18.51	86.61	18.52	
186.0	65.24	9.28	67.69	9.62	
186.5	66.55	12.61	68.57	12.69	
187.0	88.84	15.92	87.53	16.17	
187.5	78.88	13.83	78.44	13.69	
188.0	74.46	13.93	74.84	13.98	
188.5	80.06	16.82	79.94	16.76	
189.0	74.16	13.15	76.80	13.65	
189.5	80.79	15.70	78.53	14.49	
190.0	77.19	17.10	77.20	17.47	
190.5	77.76	16.49	78.00	16.12	
191.0	67.67	10.79	70.28	10.92	
191.5	85.33	17.90	83.61	17.45	
192.0	65.83	10.65	66.89	11.02	
192.5	59.24	10.70	61.07	10.98	
193.0	83.33	15.39	85.28	15.01	
193.5	74.54	12.70	75.40	13.05	
194.0	63.83	12.07	65.90	12.31	
194.5	80.19	14.39	82.67	14.51	
195.0	82.43	15.32	79.71	15.26	
195.5	64.88	11.74	67.52	11.94	
196.0	59.50	10.72	61.49	10.84	
196.5	65.36	12.39	67.33	12.75	
197.0	83.03	14.38	84.80	13.96	
197.5	83.85	16.15	81.22	15.93	
198.0	71.92	15.86	73.85	16.04	
198.5	52.67	6.82	54.26	7.05	
199.0	63.23	11.34	65.20	11.33	
199.5	90.65	15.13	93.98	15.38	
200.0	80.84	16.01	76.96	15.45	
200.5	64.93	10.93	66.95	11.06	
201.0	73.41	13.29	75.29	13.01	
201.5	82.28	12.69	80.66	12.68	
202.0	80.53	17.69	80.34	17.63	
202.5	70.84	12.24	72.47	12.59	
