time	PKG-0	Dram-0	PKG-1	Dram-1	
0.0	13.87	2.11	14.41	2.61	
0.5	12.98	1.80	13.49	2.23	
1.0	13.20	1.79	13.73	2.21	
1.5	16.44	2.92	16.93	3.19	
2.0	19.74	4.05	20.36	4.32	
2.5	16.84	3.08	17.51	3.41	
3.0	14.72	2.22	14.99	2.56	
3.5	17.52	3.42	17.96	3.61	
4.0	20.17	4.31	20.91	4.50	
4.5	17.85	3.48	18.47	3.71	
5.0	15.68	2.37	16.30	2.76	
5.5	15.72	2.51	16.19	2.90	
6.0	15.60	2.57	16.21	3.03	
6.5	15.82	2.55	16.35	2.92	
7.0	15.96	2.68	16.53	3.16	
7.5	16.06	2.46	16.43	2.79	
8.0	15.81	2.43	16.31	2.78	
8.5	15.68	2.42	16.16	2.75	
9.0	17.31	2.93	17.58	3.26	
9.5	43.86	7.50	43.94	8.13	
10.0	63.52	10.50	62.61	11.71	
10.5	63.25	10.36	62.28	11.64	
11.0	80.19	16.46	77.68	15.51	
11.5	95.98	19.29	96.37	19.43	
12.0	92.62	19.04	93.12	19.56	
12.5	91.14	18.27	91.49	18.82	
13.0	93.48	19.44	94.01	19.73	
13.5	92.94	18.40	93.51	18.83	
14.0	95.58	19.73	96.35	20.02	
14.5	94.32	19.34	94.99	19.73	
15.0	84.75	17.36	84.19	17.71	
15.5	78.86	14.61	77.86	15.42	
16.0	95.73	19.50	96.41	19.81	
16.5	93.99	19.46	94.76	19.99	
17.0	94.61	19.08	95.00	19.45	
17.5	93.44	19.02	94.13	19.33	
18.0	95.92	19.68	96.76	20.01	
18.5	94.49	19.69	95.48	20.05	
19.0	94.09	19.45	94.90	19.78	
19.5	89.94	17.36	90.24	18.22	
20.0	95.76	19.76	96.94	20.04	
20.5	95.15	19.88	95.84	20.19	
21.0	93.78	19.21	94.54	19.53	
21.5	90.84	18.12	91.24	18.73	
22.0	96.18	19.89	97.31	20.19	
22.5	95.84	19.62	96.71	20.26	
23.0	93.19	19.45	94.10	19.68	
23.5	95.38	19.04	96.14	19.45	
24.0	95.27	19.94	96.38	20.31	
24.5	94.56	19.25	95.55	19.79	
25.0	94.82	19.66	95.84	20.03	
25.5	95.22	19.15	96.34	19.61	
26.0	95.41	19.81	96.70	20.27	
26.5	95.43	19.76	96.51	19.98	
27.0	92.25	18.78	93.11	19.40	
27.5	93.62	18.70	94.88	19.12	
28.0	95.63	19.99	96.73	20.26	
28.5	95.19	19.74	96.17	19.91	
29.0	92.48	18.83	93.47	19.49	
29.5	94.86	19.31	95.96	19.54	
30.0	94.89	19.41	95.94	19.88	
30.5	95.32	19.83	96.24	20.20	
31.0	92.60	18.67	93.21	19.04	
31.5	93.84	18.86	94.50	19.28	
32.0	94.83	19.49	95.58	19.74	
32.5	94.50	19.33	95.17	19.76	
33.0	93.95	19.45	94.53	19.52	
33.5	96.00	19.56	96.99	19.98	
34.0	94.66	19.51	95.41	19.71	
34.5	94.85	19.82	95.52	20.14	
35.0	91.24	18.20	91.81	18.69	
35.5	95.56	19.39	96.47	19.76	
36.0	95.22	19.89	96.14	20.17	
36.5	95.13	19.51	95.90	19.83	
37.0	91.61	18.46	92.00	18.60	
