         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1455465209.79     0     50.35     37.12     16.87    10     44.70     31.69     14.85
 1455465209.89     0     45.63     31.78     20.36    10     49.72     35.79     21.13
 1455465209.99     0     39.86     26.27     22.25    10     41.80     27.79     24.02
 1455465210.09     0     46.24     32.98     18.18    10     46.75     33.44     17.97
 1455465210.19     0     51.38     38.77     13.58    10     52.86     40.19     13.82
 1455465210.29     0     51.19     38.57     13.73    10     52.37     39.83     13.94
 1455465210.39     0     51.94     39.21     14.37    10     53.97     41.22     14.13
 1455465210.49     0     50.96     36.96     22.28    10     52.56     38.39     22.47
 1455465210.59     0     39.90     26.21     22.16    10     39.98     26.24     22.44
 1455465210.69     0     46.19     32.86     18.48    10     46.69     33.33     18.55
 1455465210.79     0     44.29     31.72     12.90    10     52.94     40.27     13.61
 1455465210.89     0     52.54     39.94     13.79    10     50.55     37.93     13.49
 1455465210.99     0     52.92     40.26     13.71    10     44.51     31.92     13.68
 1455465211.09     0     39.83     26.60     16.56    10     52.54     39.15     17.52
 1455465211.19     0     44.56     30.50     24.16    10     45.36     31.06     25.96
 1455465211.29     0     45.19     31.87     18.56    10     53.83     40.05     20.93
 1455465211.39     0     52.73     40.11     13.67    10     46.94     34.41     13.52
 1455465211.50     0     50.34     37.76     13.36    10     52.21     39.53     13.97
 1455465211.60     0     53.50     40.78     14.15    10     54.02     41.22     14.70
 1455465211.70     0     44.71     30.78     21.44    10     46.44     32.27     23.09
 1455465211.80     0     46.87     32.84     24.41    10     49.35     34.87     26.93
 1455465211.90     0     49.36     36.75     13.37    10     49.89     37.31     13.74
 1455465212.00     0     51.97     39.38     13.36    10     52.59     39.90     14.06
 1455465212.10     0     50.44     37.79     13.82    10     53.23     40.48     14.27
 1455465212.20     0     51.52     38.05     18.41    10     53.05     39.42     19.48
 1455465212.30     0     50.99     36.51     27.41    10     52.87     38.10     29.38
 1455465212.40     0     46.22     33.32     15.12    10     46.61     33.59     15.36
 1455465212.50     0     43.62     31.08     12.55    10     45.46     32.85     13.21
 1455465212.60     0     50.85     38.39     13.51    10     52.67     39.98     14.05
 1455465212.70     0     53.54     40.82     14.10    10     53.97     41.18     14.55
 1455465212.80     0     45.06     31.12     21.68    10     46.21     32.08     23.14
 1455465212.90     0     47.73     33.49     24.88    10     48.20     33.91     26.25
 1455465213.00     0     49.74     37.15     13.48    10     50.31     37.62     13.72
 1455465213.10     0     51.05     38.56     13.38    10     53.12     40.44     13.95
 1455465213.20     0     51.46     38.79     13.98    10     53.11     40.37     14.22
 1455465213.30     0     51.66     37.97     19.47    10     51.65     37.95     19.79
 1455465213.40     0     39.51     25.85     21.88    10     40.46     26.60     23.59
 1455465213.50     0     46.10     32.79     18.31    10     46.63     33.15     19.31
 1455465213.61     0     51.39     38.77     13.60    10     52.77     40.08     13.79
 1455465213.71     0     48.94     36.36     13.50    10     51.24     38.59     13.84
 1455465213.81     0     46.93     34.23     13.85    10     53.64     40.91     14.01
 1455465213.91     0     48.39     34.76     19.13    10     50.30     36.45     20.39
 1455465214.01     0     51.70     37.24     27.77    10     52.75     38.03     29.42
 1455465214.11     0     46.10     33.40     13.84    10     46.98     34.17     14.41
 1455465214.21     0     44.84     32.27     12.77    10     45.67     33.04     13.28
 1455465214.31     0     50.95     38.46     13.48    10     52.60     39.95     13.62
 1455465214.41     0     54.14     41.27     14.42    10     53.96     41.19     14.33
 1455465214.51     0     43.76     29.77     22.85    10     46.11     31.97     23.17
 1455465214.61     0     46.98     32.74     25.41    10     46.47     32.41     24.75
 1455465214.71     0     51.07     38.44     13.90    10     52.02     39.34     13.76
 1455465214.81     0     52.88     40.25     13.86    10     52.63     39.97     13.77
 1455465214.91     0     50.02     37.36     13.83    10     53.19     40.46     13.89
 1455465215.01     0     50.46     36.69     19.75    10     51.37     37.68     19.30
 1455465215.11     0     42.19     28.14     24.43    10     45.62     31.45     24.79
 1455465215.21     0     46.36     33.18     17.25    10     46.23     33.03     17.02
 1455465215.31     0     52.47     39.79     13.93    10     53.00     40.32     13.84
 1455465215.41     0     50.59     37.95     13.67    10     52.79     40.11     13.71
 1455465215.51     0     51.95     39.26     13.88    10     53.63     40.91     13.87
 1455465215.61     0     44.15     30.06     22.48    10     40.94     26.97     21.51
 1455465215.71     0     47.80     33.51     26.48    10     47.50     33.27     25.65
 1455465215.82     0     49.46     36.81     13.80    10     49.92     37.23     13.48
 1455465215.92     0     38.91     26.41     12.26    10     39.29     26.77     12.36
 1455465216.02     0     50.17     37.52     13.88    10     52.19     39.58     13.48
 1455465216.12     0     53.17     40.53     14.47    10     53.98     41.24     14.10
 1455465216.22     0     45.79     31.67     22.70    10     42.95     29.20     20.14
 1455465216.32     0     49.39     34.82     28.00    10     49.34     35.13     25.64
 1455465216.42     0     46.64     34.02     13.60    10     46.62     34.03     13.00
 1455465216.52     0     51.48     38.79     14.24    10     52.82     40.19     13.47
 1455465216.62     0     43.86     31.22     13.73    10     51.92     39.30     13.13
 1455465216.72     0     52.47     39.30     16.99    10     49.42     36.33     16.10
 1455465216.82     0     42.69     28.71     22.62    10     40.50     26.79     20.36
 1455465216.92     0     45.72     31.66     24.50    10     43.71     29.87     22.55
 1455465217.02     0     51.59     38.89     14.18    10     52.59     39.94     13.46
 1455465217.12     0     52.32     39.78     14.12    10     52.55     39.91     13.66
 1455465217.22     0     39.68     27.18     12.48    10     37.90     25.39     12.05
 1455465217.32     0     46.53     33.85     13.90    10     50.64     38.10     13.49
 1455465217.42     0     43.70     30.16     18.68    10     33.92     20.38     17.75
 1455465217.52     0     45.42     31.18     26.23    10     44.21     30.19     24.25
 1455465217.62     0     46.65     33.29     18.01    10     45.38     32.26     16.37
 1455465217.72     0     50.88     38.24     13.73    10     46.25     33.66     12.79
 1455465217.82     0     43.75     31.32     13.20    10     51.80     39.20     13.21
 1455465217.92     0     46.25     33.61     13.78    10     52.12     39.60     13.19
 1455465218.02     0     44.89     32.00     14.66    10     38.85     25.98     14.46
 1455465218.12     0     44.37     30.28     23.00    10     42.99     29.01     21.32
 1455465218.22     0     45.76     31.58     24.37    10     43.67     29.80     22.59
 1455465218.32     0     45.77     33.20     13.73    10     52.35     39.65     13.60
 1455465218.42     0     53.38     40.69     14.01    10     49.70     37.20     13.08
 1455465218.52     0     50.96     38.77     13.77    10     48.53     35.81     13.58
 1455465218.63     0     51.13     38.07     13.51    10     42.49     29.79     13.39
 1455465218.73     0     47.77     33.77     20.47    10     44.54     30.63     20.54
 1455465218.83     0     44.84     30.64     25.58    10     43.03     29.12     23.42
 1455465218.93     0     46.17     33.13     16.00    10     46.45     33.46     15.38
 1455465219.03     0     50.40     37.77     13.75    10     46.47     33.88     12.95
 1455465219.13     0     45.03     32.66     13.47    10     52.03     39.43     13.39
 1455465219.23     0     47.14     34.40     13.54    10     47.11     34.47     13.29
 1455465219.33     0     47.74     34.20     18.42    10     48.04     34.54     18.00
 1455465219.43     0     44.98     30.72     25.63    10     44.00     29.94     23.87
 1455465219.53     0     46.78     33.37     18.84    10     45.67     32.48     17.94
 1455465219.63     0     50.87     38.22     13.52    10     51.83     39.17     13.60
 1455465219.73     0     52.60     39.97     13.89    10     46.00     33.41     13.01
 1455465219.83     0     43.02     30.46     13.03    10     42.46     29.88     12.67
 1455465219.93     0     47.65     34.75     15.07    10     44.36     31.49     14.60
 1455465220.03     0     44.78     30.66     22.97    10     45.01     31.04     21.66
 1455465220.13     0     45.06     31.09     24.23    10     44.99     31.00     23.04
 1455465220.23     0     51.35     38.69     13.93    10     51.67     39.12     13.58
 1455465220.33     0     51.90     39.26     13.82    10     52.69     40.05     13.64
 1455465220.43     0     50.25     37.58     13.94    10     51.86     39.14     14.00
 1455465220.53     0     48.42     34.97     18.25    10     50.19     36.75     18.20
 1455465220.63     0     44.85     30.64     25.07    10     43.85     29.71     24.56
 1455465220.73     0     46.76     33.33     19.25    10     45.88     32.52     18.24
 1455465220.83     0     52.08     39.41     13.98    10     52.80     40.14     13.52
 1455465220.93     0     49.59     36.97     13.74    10     51.99     39.35     13.62
 1455465221.03     0     52.93     40.31     14.23    10     53.94     41.19     14.33
 1455465221.13     0     46.69     32.66     22.20    10     44.12     30.27     20.70
 1455465221.23     0     48.09     33.67     26.55    10     50.22     35.85     26.84
 1455465221.33     0     48.55     35.94     13.67    10     48.32     35.69     13.31
 1455465221.43     0     52.00     39.34     14.00    10     46.17     33.57     13.15
 1455465221.53     0     39.23     26.73     12.05    10     47.66     35.05     13.24
 1455465221.64     0     52.75     40.20     13.84    10     47.07     34.34     14.02
 1455465221.74     0     43.34     30.03     17.15    10     38.74     25.38     17.11
 1455465221.84     0     45.60     31.45     25.17    10     45.28     31.16     24.78
 1455465221.94     0     46.45     33.07     18.84    10     46.70     33.36     18.07
 1455465222.04     0     51.53     38.88     13.82    10     52.25     39.71     13.57
 1455465222.14     0     50.83     38.20     13.82    10     52.44     39.79     13.70
 1455465222.24     0     53.49     40.74     14.51    10     53.90     41.13     14.32
 1455465222.34     0     44.78     30.55     23.92    10     46.59     32.39     23.71
 1455465222.44     0     48.18     34.10     24.49    10     44.79     30.70     23.46
 1455465222.54     0     50.12     37.45     13.62    10     46.56     33.89     13.21
 1455465222.64     0     38.70     26.15     12.78    10     41.45     28.95     12.10
 1455465222.74     0     47.33     34.72     13.50    10     51.37     38.75     13.44
 1455465222.84     0     49.19     36.66     13.53    10     47.09     34.40     13.68
 1455465222.94     0     46.80     33.17     19.38    10     44.67     30.90     19.46
 1455465223.04     0     46.22     31.88     25.77    10     44.95     30.84     25.04
 1455465223.14     0     46.37     33.22     17.07    10     46.33     33.16     16.81
 1455465223.24     0     51.54     38.92     13.66    10     46.53     33.91     13.25
 1455465223.34     0     45.37     32.91     13.02    10     51.14     38.50     13.60
 1455465223.44     0     46.85     34.17     13.86    10     54.10     41.42     13.69
 1455465223.54     0     50.42     36.57     20.38    10     44.29     30.78     18.62
 1455465223.64     0     41.51     27.61     23.93    10     45.35     31.24     24.75
 1455465223.74     0     46.44     33.27     16.94    10     46.44     33.25     16.87
 1455465223.84     0     51.74     39.10     13.39    10     52.18     39.50     13.69
 1455465223.94     0     49.72     37.12     13.16    10     45.90     33.26     13.13
 1455465224.04     0     42.30     29.88     12.61    10     39.21     26.64     12.67
 1455465224.14     0     45.22     32.63     12.78    10     41.28     28.68     12.90
 1455465224.24     0     44.64     30.53     21.70    10     40.70     26.80     20.26
 1455465224.34     0     50.02     35.30     28.52    10     50.88     36.46     26.31
 1455465224.44     0     46.44     33.82     13.43    10     47.12     34.49     13.22
 1455465224.54     0     51.89     39.26     13.84    10     46.63     34.01     13.19
 1455465224.64     0     39.83     27.41     12.77    10     52.09     39.48     13.20
 1455465224.74     0     53.85     41.16     13.99    10     49.49     36.91     13.57
 1455465224.85     0     41.44     27.58     20.67    10     39.79     25.91     20.28
 1455465224.95     0     51.53     36.87     29.23    10     49.68     35.32     26.26
 1455465225.05     0     52.33     39.64     13.88    10     46.33     33.82     12.95
 1455465225.15     0     38.37     25.86     12.70    10     53.02     40.38     13.66
