         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1455685375.47     0     23.10     10.85     10.20    10     24.55     12.30     10.22
 1455685375.57     0     23.81     11.54     10.28    10     24.14     11.87     10.22
 1455685375.68     0     23.63     11.37     10.17    10     22.52     10.24     10.15
 1455685375.78     0     23.44     11.17     10.48    10     22.62     10.33     10.32
 1455685375.88     0     22.27     10.10     10.37    10     23.24     11.04     10.51
 1455685375.98     0     23.94     11.56     10.89    10     24.36     12.21     10.77
 1455685376.08     0     23.37     10.95     11.34    10     23.57     11.01     11.16
 1455685376.18     0     24.61     12.08     12.45    10     24.84     12.29     12.26
 1455685376.28     0     24.18     11.86     11.25    10     24.96     12.70     11.60
 1455685376.38     0     24.20     11.89     11.06    10     24.93     12.47     10.89
 1455685376.48     0     24.04     11.83     11.04    10     24.99     12.63     11.25
 1455685376.59     0     24.23     11.92     11.18    10     24.96     12.62     11.20
 1455685376.69     0     24.17     11.83     11.09    10     24.78     12.52     10.84
 1455685376.79     0     24.06     11.75     11.07    10     24.80     12.47     11.16
 1455685376.89     0     24.13     11.84     11.19    10     24.79     12.59     11.19
 1455685376.99     0     24.31     11.96     11.25    10     25.02     12.53     11.06
 1455685377.09     0     24.04     11.83     11.12    10     25.01     12.64     11.30
 1455685377.19     0     24.27     11.93     11.07    10     25.01     12.64     11.22
 1455685377.29     0     24.30     11.96     11.20    10     24.99     12.63     11.33
 1455685377.39     0     24.25     11.92     11.30    10     24.98     12.62     11.34
 1455685377.49     0     24.26     11.93     11.29    10     24.78     12.53     11.17
 1455685377.59     0     24.04     11.81     11.13    10     24.83     12.48     11.19
 1455685377.70     0     24.28     11.93     11.37    10     24.84     12.49     11.21
 1455685377.80     0     24.25     11.91     11.30    10     24.99     12.63     11.29
 1455685377.90     0     24.27     11.93     11.30    10     25.04     12.66     11.41
 1455685378.00     0     24.27     11.92     11.22    10     25.02     12.63     11.42
 1455685378.10     0     24.01     11.76     11.30    10     24.83     12.55     10.88
 1455685378.20     0     24.29     11.84     11.46    10     24.94     12.60     11.21
 1455685378.30     0     24.17     11.86     11.21    10     25.16     12.70     11.52
 1455685378.40     0     24.29     11.93     11.47    10     24.57     12.50     11.32
 1455685378.50     0     24.33     11.96     11.48    10     25.02     12.44     11.24
 1455685378.60     0     24.07     11.83     11.28    10     25.03     12.65     11.47
 1455685378.71     0     24.30     11.92     11.41    10     25.04     12.64     11.39
 1455685378.81     0     24.29     11.93     11.44    10     25.00     12.62     11.30
 1455685378.91     0     24.28     11.91     11.54    10     25.02     12.63     11.41
 1455685379.01     0     24.27     11.91     11.46    10     25.05     12.65     11.45
 1455685379.11     0     24.36     11.97     11.46    10     24.89     12.58     11.30
 1455685379.21     0     24.04     11.75     11.22    10     24.97     12.53     11.12
 1455685379.31     0     24.19     11.82     11.51    10     24.94     12.55     11.41
 1455685379.41     0     24.25     11.91     11.47    10     24.97     12.62     11.45
 1455685379.51     0     24.32     11.94     11.60    10     25.03     12.64     11.50
 1455685379.61     0     24.30     11.92     11.61    10     25.05     12.64     11.43
 1455685379.71     0     24.30     11.92     11.34    10     24.83     12.55     11.50
 1455685379.82     0     24.31     11.93     11.54    10     25.07     12.66     11.61
 1455685379.92     0     24.11     11.84     11.44    10     25.04     12.63     11.53
 1455685380.02     0     24.32     11.93     11.56    10     24.83     12.44     11.34
 1455685380.12     0     24.34     11.94     11.47    10     25.01     12.60     11.63
 1455685380.22     0     24.23     11.88     11.51    10     24.97     12.59     11.65
 1455685380.32     0     24.23     11.82     11.45    10     24.89     12.54     11.55
 1455685380.42     0     24.15     11.79     11.61    10     25.24     12.73     11.79
 1455685380.52     0     24.34     11.94     11.51    10     24.85     12.54     11.61
 1455685380.62     0     24.33     11.93     11.60    10     25.10     12.66     11.73
 1455685380.73     0     24.11     11.83     11.30    10     25.09     12.65     11.73
 1455685380.83     0     24.31     11.92     11.68    10     24.86     12.45     11.63
 1455685380.93     0     24.34     11.94     11.65    10     25.02     12.60     11.48
 1455685381.03     0     24.36     11.95     11.71    10     24.83     12.52     11.60
 1455685381.13     0     24.36     11.94     11.73    10     25.10     12.66     11.54
 1455685381.23     0     24.10     11.82     11.62    10     25.06     12.64     11.53
 1455685381.33     0     24.36     11.94     11.75    10     25.10     12.66     11.46
 1455685381.43     0     24.34     11.93     11.73    10     25.06     12.63     11.55
 1455685381.53     0     24.19     11.77     11.66    10     24.88     12.54     11.65
