         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1456763451.85     0     31.99     19.69     10.40    10     31.20     19.02      9.98
 1456763451.96     0     33.96     21.71     10.31    10     33.54     21.26     10.07
 1456763452.06     0     33.29     21.04     10.28    10     33.51     21.22      9.98
 1456763452.16     0     33.92     21.67     10.31    10     33.52     21.23      9.98
 1456763452.26     0     33.69     21.56     10.19    10     33.53     21.24      9.98
 1456763452.36     0     33.59     21.34     10.28    10     33.56     21.26      9.88
 1456763452.46     0     33.99     21.74     10.22    10     33.23     21.06      9.69
 1456763452.56     0     34.02     21.77     10.27    10     33.52     21.23     10.08
 1456763452.66     0     34.04     21.79     10.31    10     33.57     21.28     10.07
 1456763452.76     0     33.64     21.39     10.18    10     33.58     21.29     10.07
 1456763452.86     0     33.69     21.52     10.46    10     33.54     21.23     10.16
 1456763452.96     0     33.61     21.36     10.17    10     33.19     21.02     10.07
 1456763453.06     0     33.99     21.74     10.27    10     33.55     21.26      9.97
 1456763453.16     0     33.98     21.74     10.01    10     33.61     21.31     10.07
 1456763453.26     0     34.00     21.75     10.17    10     33.56     21.26      9.88
 1456763453.36     0     33.67     21.55     10.20    10     33.51     21.22      9.98
 1456763453.46     0     33.64     21.39     10.07    10     33.53     21.24      9.98
 1456763453.56     0     33.98     21.74     10.20    10     33.24     21.07      9.98
 1456763453.66     0     33.98     21.73     10.26    10     33.61     21.32      9.98
 1456763453.76     0     33.99     21.74     10.08    10     33.54     21.25     10.07
 1456763453.86     0     33.65     21.52     10.08    10     33.53     21.23      9.88
 1456763453.96     0     34.03     21.79     10.16    10     33.50     21.21      9.98
 1456763454.06     0     33.99     21.74     10.19    10     33.24     21.07      9.88
 1456763454.16     0     33.99     21.74     10.26    10     33.51     21.22     10.07
 1456763454.26     0     33.99     21.74     10.10    10     33.57     21.28     10.07
 1456763454.36     0     33.99     21.74     10.16    10     33.52     21.23      9.98
 1456763454.46     0     33.63     21.51     10.17    10     33.55     21.26     10.07
 1456763454.56     0     34.00     21.75     10.07    10     33.58     21.28     10.07
 1456763454.66     0     34.01     21.76     10.16    10     33.53     21.24     10.07
 1456763454.76     0     34.00     21.75     10.19    10     33.20     21.03      9.97
 1456763454.86     0     33.98     21.73     10.32    10     33.60     21.31     10.12
 1456763454.96     0     33.65     21.52     10.18    10     33.54     21.25      9.98
 1456763455.06     0     33.99     21.75     10.17    10     33.57     21.28     10.09
 1456763455.16     0     33.99     21.74     10.28    10     33.53     21.24     10.07
 1456763455.26     0     34.04     21.79     10.26    10     33.20     21.04      9.97
 1456763455.36     0     33.98     21.73     10.06    10     33.52     21.24      9.98
 1456763455.46     0     34.00     21.75     10.27    10     33.48     21.19      9.98
 1456763455.56     0     33.67     21.53      9.96    10     33.50     21.20      9.98
 1456763455.66     0     34.02     21.77     10.19    10     33.59     21.29     10.07
 1456763455.76     0     34.00     21.75     10.25    10     33.20     21.03      9.88
 1456763455.86     0     34.04     21.79     10.28    10     33.48     21.19     10.07
 1456763455.96     0     34.01     21.76     10.15    10     33.51     21.22     10.07
 1456763456.06     0     33.66     21.52     10.37    10     33.54     21.25     10.09
 1456763456.16     0     33.99     21.74     10.27    10     33.53     21.24     10.01
 1456763456.26     0     33.99     21.73     10.15    10     33.16     21.00      9.97
 1456763456.36     0     33.98     21.73     10.28    10     33.52     21.22      9.98
 1456763456.46     0     34.00     21.76     10.15    10     33.58     21.29     10.07
 1456763456.56     0     34.03     21.78     10.09    10     33.49     21.20     10.07
 1456763456.66     0     33.65     21.52     10.15    10     33.54     21.25      9.79
 1456763456.76     0     33.97     21.72     10.27    10     33.56     21.26      9.88
 1456763456.86     0     33.99     21.74     10.16    10     33.54     21.25     10.07
 1456763456.96     0     33.99     21.74     10.25    10     33.15     20.98      9.97
 1456763457.06     0     33.98     21.74     10.27    10     33.49     21.20      9.98
 1456763457.16     0     33.68     21.56     10.14    10     33.53     21.24     10.07
 1456763457.26     0     34.01     21.75     10.27    10     33.52     21.22      9.88
 1456763457.36     0     34.03     21.77     10.24    10     33.46     21.17     10.07
 1456763457.46     0     33.98     21.74     10.27    10     33.11     20.95      9.78
 1456763457.56     0     34.03     21.77     10.24    10     33.49     21.20     10.08
 1456763457.66     0     34.00     21.74     10.25    10     33.49     21.20      9.98
 1456763457.76     0     33.67     21.54     10.06    10     33.54     21.26      9.98
 1456763457.86     0     34.03     21.77     10.24    10     33.52     21.23     10.07
 1456763457.96     0     34.02     21.75     10.28    10     33.20     21.03     10.13
 1456763458.06     0     34.00     21.75     10.24    10     33.43     21.14      9.88
 1456763458.16     0     33.99     21.74     10.27    10     33.49     21.20     10.07
 1456763458.26     0     33.64     21.52     10.14    10     33.50     21.21      9.98
 1456763458.36     0     33.99     21.74     10.17    10     33.48     21.20     10.07
 1456763458.46     0     33.99     21.74     10.25    10     33.47     21.19      9.98
 1456763458.56     0     34.02     21.77     10.25    10     33.16     20.99      9.98
 1456763458.66     0     34.00     21.74     10.17    10     33.51     21.23     10.08
 1456763458.76     0     33.30     21.17     10.14    10     33.56     21.27     10.07
 1456763458.86     0     34.00     21.74     10.33    10     33.51     21.22     10.11
 1456763458.96     0     34.00     21.75     10.24    10     33.50     21.21     10.08
 1456763459.06     0     33.64     21.39     10.27    10     33.14     20.98      9.78
 1456763459.16     0     34.04     21.78     10.15    10     33.55     21.26      9.98
 1456763459.26     0     34.00     21.74     10.26    10     33.60     21.31     10.08
 1456763459.36     0     33.64     21.51     10.16    10     33.50     21.21      9.98
 1456763459.46     0     33.98     21.73     10.14    10     33.56     21.27     10.07
 1456763459.56     0     33.99     21.74     10.27    10     33.50     21.21     10.07
 1456763459.66     0     34.03     21.77     10.25    10     33.17     21.01      9.88
 1456763459.76     0     33.98     21.73     10.28    10     33.45     21.17     10.07
 1456763459.86     0     33.69     21.56     10.22    10     33.47     21.19     10.11
 1456763459.96     0     34.01     21.76     10.16    10     33.52     21.23     10.07
 1456763460.06     0     34.03     21.78     10.26    10     33.53     21.24      9.98
 1456763460.16     0     33.99     21.74     10.25    10     33.52     21.23     10.08
 1456763460.26     0     34.01     21.76     10.28    10     33.23     21.06      9.97
 1456763460.36     0     34.00     21.74     10.25    10     33.55     21.26      9.89
 1456763460.46     0     33.69     21.55     10.18    10     33.53     21.24      9.98
 1456763460.56     0     34.00     21.75     10.25    10     33.54     21.25      9.98
 1456763460.66     0     33.98     21.73     10.08    10     33.48     21.19     10.07
 1456763460.76     0     34.00     21.75     10.26    10     33.16     20.99      9.88
 1456763460.86     0     33.98     21.73     10.25    10     33.49     21.20      9.98
 1456763460.96     0     33.66     21.53     10.17    10     33.50     21.20      9.69
 1456763461.06     0     33.98     21.73      9.96    10     33.46     21.16     10.08
 1456763461.16     0     34.07     21.81     10.16    10     33.45     21.16     10.09
 1456763461.26     0     34.00     21.74     10.25    10     33.08     20.91      9.78
 1456763461.36     0     33.98     21.73     10.29    10     33.46     21.16      9.99
 1456763461.47     0     33.66     21.53     10.15    10     33.49     21.20     10.07
 1456763461.57     0     34.00     21.75     10.17    10     33.50     21.21      9.98
 1456763461.67     0     34.01     21.75     10.27    10     33.57     21.28     10.07
 1456763461.77     0     34.02     21.77     10.25    10     33.53     21.24     10.07
 1456763461.87     0     34.00     21.75     10.09    10     33.18     21.01      9.88
 1456763461.97     0     33.99     21.74     10.15    10     33.51     21.21      9.98
 1456763462.07     0     33.67     21.54     10.18    10     33.58     21.28      9.98
 1456763462.17     0     34.00     21.74     10.25    10     33.51     21.22     10.07
 1456763462.27     0     33.99     21.74     10.18    10     33.53     21.23      9.98
 1456763462.37     0     34.00     21.75     10.17    10     33.20     21.02      9.88
 1456763462.47     0     34.01     21.75     10.16    10     33.51     21.22      9.98
 1456763462.57     0     34.01     21.76     10.18    10     33.55     21.26      9.98
 1456763462.67     0     33.65     21.52     10.25    10     33.54     21.25      9.88
 1456763462.77     0     33.97     21.72     10.15    10     33.57     21.27     10.09
 1456763462.87     0     33.98     21.73     10.16    10     33.19     21.02      9.87
 1456763462.97     0     33.98     21.73     10.09    10     33.55     21.25      9.98
 1456763463.07     0     34.02     21.77     10.16    10     33.52     21.22     10.07
 1456763463.17     0     33.64     21.51     10.16    10     33.57     21.27     10.07
