         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1455721122.24     0     20.55      8.19     10.75    10     20.50      8.17     10.61
 1455721122.34     0     23.20     10.98     10.25    10     23.76     11.51     10.03
 1455721122.44     0     23.12     10.94     10.23    10     23.93     11.60     10.14
 1455721122.54     0     23.37     11.06     10.34    10     23.69     11.48      9.95
 1455721122.64     0     23.17     10.97     10.35    10     23.70     11.49     10.20
 1455721122.74     0     23.13     10.96     10.06    10     23.92     11.60     10.17
 1455721122.85     0     23.40     11.10     10.28    10     23.74     11.52      9.79
 1455721122.95     0     23.15     10.95     10.14    10     23.72     11.51     10.04
 1455721123.05     0     23.38     11.07     10.35    10     23.97     11.64     10.04
 1455721123.15     0     23.13     10.94     10.24    10     23.76     11.55     10.05
 1455721123.25     0     23.13     10.93     10.63    10     23.95     11.62     10.62
 1455721123.35     0     23.33     11.00     10.54    10     23.71     11.50     10.61
 1455721123.45     0     23.11     10.93     10.24    10     23.78     11.68     10.08
 1455721123.55     0     23.36     11.04     10.18    10     23.98     11.53     10.05
 1455721123.65     0     23.12     10.92     10.14    10     23.74     11.54      9.95
 1455721123.75     0     23.13     10.94     10.25    10     23.98     11.65      9.96
 1455721123.85     0     23.35     11.05     10.14    10     23.77     11.56      9.95
 1455721123.95     0     23.15     10.95     10.23    10     23.75     11.66     10.14
 1455721124.05     0     23.13     10.94     10.26    10     24.01     11.55     10.05
 1455721124.15     0     23.34     11.04     10.33    10     23.75     11.54     10.05
 1455721124.25     0     23.14     10.94     10.27    10     23.79     11.57     10.05
 1455721124.36     0     23.13     10.93     10.34    10     24.02     11.69     10.14
 1455721124.46     0     23.33     11.02     10.23    10     23.78     11.57     10.06
 1455721124.56     0     23.12     10.92     10.15    10     23.99     11.66     10.15
 1455721124.66     0     23.35     11.03     10.25    10     23.78     11.56      9.95
 1455721124.76     0     23.12     10.92     10.26    10     26.39     14.18      9.95
 1455721124.86     0     23.10     10.91     10.32    10     26.21     13.88     10.04
 1455721124.96     0     23.36     11.04     10.08    10     23.74     11.53     10.04
 1455721125.06     0     23.12     10.94     10.23    10     23.72     11.64      9.95
 1455721125.16     0     23.33     11.02     10.27    10     23.98     11.53      9.86
 1455721125.26     0     23.13     10.93     10.51    10     23.71     11.51     10.39
 1455721125.36     0     23.12     10.93     10.14    10     23.94     11.61     10.14
 1455721125.46     0     23.35     11.03     10.37    10     23.73     11.52      9.95
 1455721125.56     0     23.12     10.92     10.05    10     23.78     11.57      9.95
 1455721125.66     0     23.10     10.91      9.99    10     24.02     11.69      9.95
 1455721125.76     0     23.35     11.03     10.25    10     23.77     11.57     10.04
 1455721125.87     0     23.10     10.91     10.26    10     23.76     11.56     10.04
 1455721125.97     0     24.01     11.69     10.16    10     24.04     11.69      9.96
 1455721126.07     0     27.09     14.96     10.21    10     23.83     11.58     10.07
 1455721126.17     0     23.86     11.52     10.31    10     23.81     11.58      9.88
 1455721126.27     0     23.11     10.92     10.24    10     23.79     11.58      9.95
 1455721126.37     0     23.33     11.02     10.36    10     24.01     11.68      9.95
 1455721126.47     0     23.11     10.91     10.23    10     23.74     11.53      9.66
 1455721126.57     0     23.11     10.92     10.25    10     23.74     11.53     10.05
 1455721126.67     0     23.33     11.02     10.34    10     23.96     11.65     10.13
 1455721126.77     0     23.10     10.91     10.14    10     23.77     11.56      9.85
 1455721126.87     0     23.11     11.03     10.29    10     24.00     11.67      9.96
 1455721126.97     0     23.30     10.89     10.13    10     23.74     11.55     10.03
 1455721127.07     0     23.10     10.92     10.40    10     24.00     11.68     10.02
 1455721127.17     0     23.34     11.03     10.16    10     23.78     11.57      9.96
 1455721127.27     0     23.11     10.92     10.16    10     23.78     11.57      9.86
 1455721127.38     0     23.34     11.02     10.26    10     23.99     11.67     10.05
 1455721127.48     0     23.11     10.92     10.04    10     23.77     11.56      9.95
