         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1455655657.30     0     25.62     13.04     12.10    10     25.67     13.04     12.30
 1455655657.41     0     24.47     12.02     12.24    10     25.17     12.65     12.37
 1455655657.51     0     24.79     12.17     12.39    10     25.31     12.74     12.45
 1455655657.61     0     24.67     12.18     12.29    10     25.50     12.83     12.57
 1455655657.71     0     24.78     12.22     12.51    10     25.44     12.83     12.62
 1455655657.81     0     25.08     12.46     12.60    10     25.51     12.88     12.72
 1455655657.91     0     24.95     12.32     12.57    10     25.57     12.91     12.57
 1455655658.01     0     24.94     12.32     12.61    10     25.57     12.92     12.82
 1455655658.11     0     24.94     12.31     12.87    10     25.61     12.95     12.88
 1455655658.21     0     24.90     12.27     12.82    10     25.59     12.93     12.78
 1455655658.31     0     24.95     12.32     12.87    10     25.59     12.92     12.91
 1455655658.41     0     24.98     12.35     12.90    10     25.59     12.93     12.88
 1455655658.51     0     24.99     12.34     12.94    10     25.55     12.90     12.83
 1455655658.61     0     24.95     12.34     12.84    10     25.59     12.93     12.93
 1455655658.71     0     24.74     12.14     12.66    10     24.94     12.35     12.49
 1455655658.81     0     24.83     12.43     12.01    10     25.39     12.96     12.02
 1455655658.91     0     24.54     12.35     11.37    10     25.24     12.90     11.53
 1455655659.01     0     24.62     12.17     11.43    10     25.30     13.06     11.53
 1455655659.12     0     24.73     12.39     11.52    10     25.29     12.81     11.32
 1455655659.22     0     24.58     12.25     11.44    10     25.25     12.90     11.47
 1455655659.32     0     24.59     12.37     11.54    10     25.25     12.91     11.42
 1455655659.42     0     24.63     12.17     11.56    10     25.52     13.04     11.40
 1455655659.52     0     24.71     12.38     11.57    10     25.06     12.82     11.39
 1455655659.62     0     24.64     12.31     11.31    10     25.28     12.92     11.32
 1455655659.72     0     24.66     12.32     11.53    10     25.30     12.94     11.41
 1455655659.82     0     24.66     12.31     11.38    10     25.31     12.95     11.48
 1455655659.93     0     24.63     12.28     11.42    10     25.33     12.95     11.52
 1455655660.03     0     24.64     12.29     11.52    10     25.33     12.94     11.41
 1455655660.13     0     24.62     12.28     11.48    10     25.34     12.96     11.47
 1455655660.23     0     24.40     12.09     11.27    10     25.11     12.75     11.23
 1455655660.33     0     24.39     11.90     12.43    10     25.17     12.64     12.58
 1455655660.43     0     25.06     12.30     13.40    10     25.71     12.92     13.51
 1455655660.53     0     24.95     12.23     13.37    10     25.61     12.88     13.24
 1455655660.64     0     24.71     12.12     13.29    10     25.48     12.81     13.34
 1455655660.74     0     24.81     12.16     13.28    10     25.55     12.84     13.35
 1455655660.84     0     24.91     12.22     13.31    10     25.62     12.88     13.39
 1455655660.94     0     24.97     12.20     13.51    10     25.21     12.42     13.42
 1455655661.04     0     25.92     13.47     12.10    10     26.75     14.36     11.53
 1455655661.14     0     26.23     13.89     11.60    10     26.99     14.60     11.73
 1455655661.25     0     26.18     13.81     11.76    10     27.09     14.66     11.83
 1455655661.35     0     26.25     13.85     11.89    10     27.06     14.75     11.86
 1455655661.45     0     26.15     13.77     11.86    10     27.29     14.63     11.61
 1455655661.55     0     26.21     13.82     11.61    10     27.07     14.64     11.74
 1455655661.65     0     26.18     13.91     11.72    10     26.79     14.60     11.74
 1455655661.75     0     26.39     13.77     11.63    10     27.23     14.57     11.58
 1455655661.85     0     25.87     13.73     11.77    10     26.99     14.57     11.77
 1455655661.96     0     26.33     13.73     11.43    10     27.00     14.57     11.73
 1455655662.06     0     26.15     13.80     11.62    10     26.81     14.43     11.60
 1455655662.16     0     26.22     13.83     11.80    10     26.93     14.51     11.72
 1455655662.26     0     26.22     13.83     11.72    10     26.93     14.51     11.70
 1455655662.36     0     26.17     13.78     11.49    10     26.94     14.52     11.52
 1455655662.46     0     26.22     13.82     11.77    10     26.88     14.47     11.59
 1455655662.56     0     26.12     13.74     11.65    10     27.11     14.59     11.51
 1455655662.67     0     26.13     13.76     11.36    10     26.95     14.52     11.59
 1455655662.77     0     25.55     13.11     11.54    10     24.84     12.54     11.25
 1455655662.87     0     23.88     11.61     11.22    10     22.94     10.57     10.73
 1455655662.97     0     26.04     13.62     12.00    10     26.59     14.26     11.65
 1455655663.07     0     25.85     13.45     11.97    10     26.93     14.47     12.01
 1455655663.17     0     25.91     13.51     11.89    10     26.88     14.44     12.01
 1455655663.27     0     26.07     13.67     11.78    10     27.14     14.59     11.85
 1455655663.37     0     26.11     13.71     11.54    10     26.68     14.36     11.88
 1455655663.48     0     26.04     13.63     11.80    10     26.85     14.41     11.79
 1455655663.58     0     26.16     13.77     11.78    10     26.94     14.51     11.65
 1455655663.68     0     25.98     13.60     11.90    10     26.87     14.44     11.68
 1455655663.78     0     26.08     13.68     11.81    10     26.91     14.47     11.78
