         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1455750731.70     0     24.01     11.77     10.44    10     24.68     12.42     10.36
 1455750731.80     0     23.97     11.70     10.33    10     24.48     12.29     10.20
 1455750731.90     0     23.84     11.65     10.32    10     24.77     12.43     10.44
 1455750732.00     0     24.04     11.73     10.53    10     24.58     12.34     10.28
 1455750732.10     0     23.82     11.63     10.25    10     24.57     12.33     10.39
 1455750732.20     0     23.84     11.64     10.46    10     24.79     12.44     10.38
 1455750732.30     0     23.82     11.63     10.41    10     24.35     12.13     10.14
 1455750732.41     0     24.05     11.73     10.57    10     24.52     12.28     10.27
 1455750732.51     0     23.85     11.65     10.24    10     24.59     12.34     10.26
 1455750732.61     0     23.85     11.65     10.47    10     24.81     12.45     10.38
 1455750732.71     0     24.09     11.76     10.43    10     24.55     12.32     10.35
 1455750732.81     0     23.84     11.64     10.29    10     24.58     12.34     10.33
 1455750732.91     0     23.86     11.66     10.42    10     24.82     12.46      9.93
 1455750733.01     0     23.84     11.75     10.39    10     24.37     12.14     10.32
 1455750733.11     0     24.10     11.66     10.45    10     24.53     12.29     10.17
 1455750733.21     0     23.84     11.64     10.35    10     24.77     12.42     10.44
 1455750733.31     0     23.80     11.60     10.43    10     24.58     12.33     10.18
 1455750733.41     0     23.82     11.57     10.46    10     24.67     12.39     10.27
 1455750733.51     0     23.88     11.64     10.18    10     24.66     12.38     10.09
 1455750733.61     0     23.97     11.72     10.32    10     24.62     12.37     10.30
 1455750733.71     0     23.84     11.75     10.31    10     24.44     12.20     10.15
 1455750733.81     0     24.08     11.64     10.54    10     24.47     12.23     10.26
 1455750733.91     0     23.87     11.66     10.19    10     24.82     12.46     10.32
 1455750734.01     0     23.84     11.63     10.14    10     24.55     12.32     10.35
 1455750734.11     0     24.07     11.74     10.35    10     24.56     12.33     10.16
 1455750734.21     0     23.85     11.64     10.34    10     24.59     12.35     10.33
 1455750734.32     0     23.83     11.64     10.16    10     24.80     12.45     10.34
 1455750734.42     0     24.09     11.75     10.44    10     24.46     12.21     10.34
 1455750734.52     0     23.86     11.64     10.44    10     24.46     12.23     10.24
 1455750734.62     0     23.83     11.63     10.41    10     24.79     12.44     10.34
 1455750734.72     0     23.84     11.63     10.31    10     24.58     12.34     10.24
 1455750734.82     0     24.06     11.74     10.49    10     24.56     12.33     10.25
 1455750734.92     0     23.86     11.65     10.20    10     24.57     12.45     10.45
 1455750735.02     0     23.84     11.64     10.33    10     24.80     12.33     10.36
 1455750735.12     0     24.10     11.76     10.55    10     24.44     12.20     10.36
 1455750735.22     0     23.83     11.63     10.41    10     24.46     12.22     10.23
 1455750735.32     0     23.83     11.63     10.29    10     24.80     12.45     10.42
 1455750735.42     0     23.81     11.59     10.41    10     24.62     12.36     10.35
 1455750735.52     0     23.81     11.56     10.33    10     24.65     12.37     10.18
 1455750735.62     0     23.94     11.68     10.37    10     24.68     12.39     10.41
 1455750735.72     0     23.94     11.68     10.27    10     24.41     12.25     10.28
 1455750735.82     0     23.89     11.63     10.35    10     24.68     12.29     10.27
 1455750735.92     0     23.85     11.64     10.33    10     24.54     12.30     10.24
 1455750736.02     0     24.08     11.75     10.22    10     24.58     12.34     10.36
 1455750736.12     0     23.88     11.65     10.41    10     24.58     12.34     10.28
