         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1455583303.81     0     51.68     38.56     15.51    10     53.76     40.49     16.03
 1455583303.91     0     53.17     39.88     18.23    10     56.42     42.98     18.46
 1455583304.02     0     48.15     35.79     11.26    10     50.90     38.49     11.37
 1455583304.12     0     48.29     35.10     17.92    10     54.59     41.40     16.94
 1455583304.22     0     20.80      8.56     10.37    10     50.05     37.63     11.82
 1455583304.32     0     42.80     29.68     16.73    10     51.26     38.05     17.14
 1455583304.42     0     50.47     37.93     11.94    10     52.91     40.90     11.69
 1455583304.52     0     53.48     40.71     13.80    10     56.54     43.36     13.21
 1455583304.62     0     53.71     40.98     13.52    10     56.07     43.26     14.06
 1455583304.73     0     48.67     35.60     16.78    10     49.17     35.92     16.67
 1455583304.83     0     49.10     36.52     12.08    10     51.22     38.74     12.13
 1455583304.93     0     49.95     37.21     14.93    10     53.16     40.31     15.17
 1455583305.03     0     40.22     28.25     11.37    10     44.45     31.96     11.33
 1455583305.13     0     50.00     36.83     14.77    10     53.13     40.26     15.31
 1455583305.23     0     43.20     30.71     12.30    10     53.38     40.85     12.43
 1455583305.33     0     45.25     32.26     14.77    10     48.89     35.73     15.75
 1455583305.44     0     50.97     38.13     14.89    10     52.13     39.41     13.57
 1455583305.54     0     43.26     30.84     12.23    10     52.11     39.32     14.50
 1455583305.64     0     48.18     35.50     13.78    10     51.38     38.68     14.05
 1455583305.74     0     50.19     37.48     13.40    10     54.46     41.53     14.29
 1455583305.84     0     53.20     40.51     13.75    10     56.04     43.33     13.17
 1455583305.94     0     54.42     41.64     14.02    10     57.36     44.52     13.97
 1455583306.05     0     48.55     35.31     16.86    10     53.07     39.62     17.74
 1455583306.15     0     48.98     36.47     11.99    10     51.35     38.85     11.98
 1455583306.25     0     47.29     34.74     13.73    10     51.34     38.75     13.02
 1455583306.35     0     40.21     27.75     12.33    10     51.72     38.93     14.07
 1455583306.45     0     48.27     35.49     14.39    10     52.29     39.38     15.22
 1455583306.55     0     45.22     32.79     11.45    10     52.46     39.99     11.22
 1455583306.65     0     46.14     33.71     11.41    10     53.21     40.67     11.82
 1455583306.75     0     54.64     41.60     15.90    10     59.51     46.50     15.28
 1455583306.85     0     49.72     36.54     16.00    10     53.53     40.68     16.56
 1455583306.96     0     30.74     18.38     11.24    10     50.61     37.71     11.86
 1455583307.06     0     42.32     29.33     15.88    10     51.80     38.64     16.44
 1455583307.16     0     38.07     25.73     11.14    10     45.98     33.56     11.43
 1455583307.26     0     49.40     36.45     15.64    10     53.18     39.96     16.91
 1455583307.36     0     48.89     36.55     11.28    10     51.87     39.49     11.10
 1455583307.46     0     59.01     45.92     16.54    10     62.00     48.89     15.73
 1455583307.56     0     45.99     33.82     12.34    10     51.45     38.67     13.08
 1455583307.66     0     42.26     29.05     16.06    10     51.29     38.09     16.24
 1455583307.77     0     46.34     33.62     11.47    10     51.15     38.71     11.63
 1455583307.87     0     45.35     32.58     15.10    10     52.52     39.59     15.91
 1455583307.97     0     48.37     35.90     13.02    10     50.95     38.33     13.23
 1455583308.07     0     51.61     38.69     14.09    10     55.79     42.71     14.91
 1455583308.18     0     50.00     37.64     11.90    10     53.00     40.54     11.95
 1455583308.28     0     56.11     43.00     15.82    10     59.08     45.87     15.90
 1455583308.38     0     44.61     32.16     12.29    10     51.02     38.50     12.65
 1455583308.49     0     49.95     36.82     15.69    10     52.98     39.79     16.23
 1455583308.59     0     48.36     35.96     12.77    10     51.51     38.89     12.32
 1455583308.69     0     45.03     32.25     14.21    10     52.88     39.96     16.12
 1455583308.79     0     47.31     34.96     11.98    10     50.68     38.08     12.27
 1455583308.90     0     50.14     37.27     14.00    10     55.15     42.23     14.77
 1455583309.00     0     53.73     41.05     13.59    10     56.64     43.91     13.63
 1455583309.10     0     50.81     38.09     13.44    10     54.76     42.05     12.98
 1455583309.20     0     53.45     40.43     14.80    10     54.95     41.74     16.14
 1455583309.30     0     48.40     35.89     13.04    10     42.60     30.07     12.73
 1455583309.40     0     46.47     33.71     13.40    10     51.90     38.90     14.19
 1455583309.51     0     49.33     36.42     15.81    10     53.58     40.60     16.06
 1455583309.61     0     47.72     35.31     12.11    10     50.54     38.02     12.07
 1455583309.71     0     41.17     28.51     13.17    10     52.53     39.73     14.42
 1455583309.81     0     52.48     39.91     12.79    10     55.41     42.77     12.81
 1455583309.91     0     56.81     44.20     15.45    10     59.39     46.27     15.60
 1455583310.01     0     48.07     35.17     12.10    10     48.71     36.17     12.09
 1455583310.11     0     41.35     28.46     14.83    10     52.46     39.47     15.08
 1455583310.22     0     34.52     21.93     12.81    10     47.22     34.47     13.33
 1455583310.32     0     40.60     27.91     14.20    10     49.22     36.45     14.30
 1455583310.42     0     37.76     25.12     14.06    10     44.73     31.96     14.46
 1455583310.52     0     45.92     33.32     12.46    10     50.88     38.15     13.13
 1455583310.62     0     57.49     44.52     15.46    10     60.40     47.39     15.36
 1455583310.72     0     49.80     37.37     11.67    10     52.54     40.06     11.84
 1455583310.82     0     52.11     38.87     16.42    10     55.28     41.92     17.07
 1455583310.92     0     47.28     34.96     11.16    10     50.26     37.87     11.56
 1455583311.03     0     42.86     29.76     16.31    10     46.06     32.75     17.06
 1455583311.13     0     37.54     25.24     11.25    10     35.99     23.65     11.23
 1455583311.23     0     47.32     34.44     15.61    10     54.14     40.88     16.78
 1455583311.33     0     49.35     36.97     11.16    10     52.08     39.60     11.50
 1455583311.43     0     58.45     45.35     16.01    10     60.84     47.74     15.78
 1455583311.54     0     49.41     36.94     11.85    10     51.14     38.53     12.62
 1455583311.64     0     43.99     30.97     15.42    10     50.69     37.52     16.84
 1455583311.74     0     47.91     35.55     10.98    10     50.60     38.16     11.31
 1455583311.84     0     38.66     25.92     14.85    10     53.04     40.04     15.85
 1455583311.95     0     33.99     21.43     12.88    10     48.91     36.36     12.91
 1455583312.05     0     44.23     31.64     12.99    10     52.89     39.86     15.03
 1455583312.15     0     53.54     40.95     13.17    10     56.65     43.88     13.48
 1455583312.25     0     53.48     40.75     13.97    10     56.01     43.24     13.63
 1455583312.35     0     52.08     39.03     15.75    10     55.28     41.92     17.31
 1455583312.45     0     45.92     33.47     11.82    10     50.12     38.05     11.86
 1455583312.55     0     36.99     24.46     12.55    10     52.19     39.00     13.66
 1455583312.65     0     36.36     23.67     13.53    10     44.64     31.85     14.51
 1455583312.76     0     29.06     16.58     12.18    10     36.78     24.20     12.40
 1455583312.86     0     44.88     32.14     14.30    10     50.68     37.65     15.85
 1455583312.96     0     48.51     36.20     11.18    10     51.53     39.12     11.32
 1455583313.06     0     59.91     46.77     16.74    10     63.06     49.81     16.50
 1455583313.16     0     49.04     36.64     11.71    10     50.76     38.24     12.04
 1455583313.26     0     48.22     35.14     15.09    10     52.75     39.60     15.52
 1455583313.37     0     44.18     31.58     13.22    10     51.97     39.14     14.08
 1455583313.47     0     45.98     33.21     14.29    10     52.82     39.87     15.62
 1455583313.57     0     47.07     34.82     11.09    10     49.69     37.34     11.24
 1455583313.67     0     47.35     34.57     14.52    10     53.86     40.79     16.00
 1455583313.77     0     50.16     37.71     11.57    10     52.94     40.37     11.87
 1455583313.87     0     58.45     45.39     16.28    10     61.32     48.21     15.75
 1455583313.97     0     49.06     36.41     13.08    10     52.15     39.30     14.00
 1455583314.07     0     44.83     31.93     14.72    10     52.25     39.29     15.55
 1455583314.18     0     48.17     35.77     11.87    10     50.80     38.29     11.68
 1455583314.28     0     47.15     34.18     15.84    10     53.42     40.25     17.17
 1455583314.38     0     47.33     35.03     11.28    10     49.69     37.29     11.43
 1455583314.48     0     50.31     37.45     14.51    10     56.32     43.62     16.40
 1455583314.58     0     50.08     37.64     12.09    10     53.10     40.13     11.74
 1455583314.69     0     56.03     43.03     15.44    10     58.72     45.56     16.03
 1455583314.79     0     45.17     32.65     12.06    10     50.90     38.30     12.79
 1455583314.89     0     47.65     35.01     15.42    10     51.17     38.44     16.28
 1455583314.99     0     47.78     35.06     11.92    10     50.21     37.35     11.79
 1455583315.10     0     41.07     28.20     15.38    10     53.10     40.03     16.45
 1455583315.20     0     33.40     21.06     11.02    10     49.36     37.03     11.32
 1455583315.30     0     52.21     39.27     15.61    10     57.27     43.98     16.57
 1455583315.40     0     49.69     37.16     12.56    10     52.87     40.35     11.81
 1455583315.50     0     52.17     39.37     13.71    10     55.38     42.45     14.77
 1455583315.61     0     45.89     32.77     16.45    10     52.77     39.61     16.26
 1455583315.71     0     48.05     35.69     11.24    10     50.97     38.46     11.32
 1455583315.81     0     46.24     33.37     15.56    10     53.41     40.38     16.04
 1455583315.91     0     47.35     34.99     11.52    10     49.79     37.39     11.48
 1455583316.02     0     48.40     35.55     15.01    10     54.24     41.14     15.92
 1455583316.12     0     50.12     37.71     11.62    10     52.76     40.23     12.08
 1455583316.22     0     58.24     45.10     16.34    10     60.73     47.70     15.66
 1455583316.32     0     45.88     33.52     11.22    10     48.80     36.34     11.25
 1455583316.42     0     39.06     26.08     15.80    10     52.64     39.54     15.70
 1455583316.52     0     31.34     18.76     12.64    10     50.27     37.53     13.38
 1455583316.62     0     35.26     22.59     14.08    10     48.42     35.61     14.59
 1455583316.73     0     46.75     34.13     13.28    10     45.72     33.15     13.17
 1455583316.83     0     46.31     33.63     13.06    10     51.62     38.66     14.39
 1455583316.93     0     54.21     41.49     14.16    10     57.30     44.49     14.03
 1455583317.03     0     52.20     39.50     12.97    10     54.67     41.99     12.52
 1455583317.13     0     52.70     39.53     16.65    10     54.81     41.47     18.05
 1455583317.23     0     43.32     30.99     11.17    10     31.23     18.85     10.81
 1455583317.33     0     45.55     32.42     16.43    10     53.25     39.98     17.33
