         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1455721590.51     0     51.41     37.25     21.80    10     51.30     37.43     19.79
 1455721590.61     0     55.60     40.89     27.14    10     56.22     41.79     24.73
 1455721590.71     0     56.24     41.52     26.49    10     56.55     42.11     24.21
 1455721590.81     0     56.60     41.89     27.06    10     55.99     41.64     24.20
 1455721590.91     0     56.26     41.54     26.56    10     55.54     41.17     23.94
 1455721591.01     0     56.99     42.12     27.13    10     56.41     41.90     24.39
 1455721591.11     0     56.16     41.44     26.79    10     55.83     41.44     24.17
 1455721591.21     0     56.46     41.70     27.06    10     55.92     41.50     24.37
 1455721591.31     0     56.34     41.63     26.78    10     55.76     41.39     24.24
 1455721591.41     0     56.15     41.42     26.90    10     55.72     41.33     24.24
 1455721591.51     0     51.49     37.31     23.08    10     52.89     38.86     21.93
 1455721591.61     0     56.25     41.54     26.50    10     58.21     43.48     26.51
 1455721591.71     0     57.12     42.25     27.29    10     59.03     44.15     27.19
 1455721591.81     0     56.32     41.59     26.63    10     57.28     42.54     26.54
 1455721591.91     0     56.65     41.92     26.90    10     58.40     43.66     26.98
 1455721592.01     0     48.52     34.53     21.76    10     47.24     33.30     21.26
