         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1455576446.48     0     24.24     11.83     11.16    10     24.89     12.64     10.94
 1455576446.58     0     24.74     12.43     11.37    10     25.62     13.24     11.22
 1455576446.69     0     24.70     12.36     11.28    10     25.45     13.07     11.20
 1455576446.79     0     25.15     12.54     13.50    10     25.90     13.27     13.37
 1455576446.89     0     24.66     12.40     11.24    10     25.65     13.32     11.18
 1455576446.99     0     23.92     11.47     12.00    10     25.60     13.07     12.58
 1455576447.09     0     23.89     11.41     11.81    10     25.48     13.08     11.28
 1455576447.20     0     24.81     12.37     12.45    10     25.52     13.09     11.85
 1455576447.30     0     24.98     12.58     11.51    10     25.52     13.08     11.45
 1455576447.40     0     24.77     12.40     11.88    10     25.30     12.96     11.56
 1455576447.51     0     24.36     12.02     11.66    10     25.04     12.66     11.76
 1455576447.61     0     25.10     12.58     12.66    10     25.62     12.97     12.66
 1455576447.71     0     25.16     12.75     11.75    10     24.76     12.40     11.85
 1455576447.82     0     24.07     11.61     11.95    10     25.10     12.66     11.55
 1455576447.92     0     24.51     12.37     11.77    10     25.37     12.92     11.78
 1455576448.02     0     25.05     12.59     12.12    10     25.36     12.95     11.81
 1455576448.12     0     25.40     12.64     11.92    10     25.69     13.17     11.88
 1455576448.25     0     24.67     12.38     12.07    10     25.01     12.49     12.47
 1455576448.36     0     24.84     12.42     11.96    10     23.07     10.78     11.22
 1455576448.46     0     25.84     13.43     11.80    10     25.53     13.10     11.79
 1455576448.57     0     24.31     11.85     12.13    10     25.57     13.08     12.20
 1455576448.68     0     24.59     12.26     11.83    10     25.21     12.80     11.84
 1455576448.78     0     24.69     12.32     11.71    10     25.36     12.85     11.91
 1455576448.88     0     25.10     12.60     12.27    10     25.72     13.24     12.06
 1455576448.98     0     24.76     12.38     12.04    10     25.38     12.90     12.17
 1455576449.08     0     25.13     12.63     11.71    10     25.00     12.58     11.63
 1455576449.19     0     25.09     12.70     12.62    10     25.67     13.24     12.47
 1455576449.29     0     25.83     13.51     11.48    10     25.66     13.29     11.12
 1455576449.39     0     23.95     11.50     12.04    10     25.76     13.11     12.62
