         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1455728216.28     0     38.14     25.51     12.83    10     35.58     22.96     12.71
 1455728216.38     0     34.37     21.44     15.47    10     36.11     23.20     15.22
 1455728216.48     0     33.63     20.78     14.26    10     37.18     24.43     13.71
 1455728216.58     0     41.72     28.70     15.69    10     42.47     29.31     15.76
 1455728216.68     0     33.28     20.50     13.84    10     35.25     22.46     14.01
 1455728216.78     0     33.94     21.12     14.48    10     33.40     20.58     14.14
 1455728216.88     0     37.03     24.14     14.72    10     37.28     24.39     14.93
 1455728216.98     0     35.56     22.81     13.97    10     34.07     21.30     14.00
 1455728217.08     0     34.51     21.52     15.57    10     36.52     23.49     15.14
 1455728217.18     0     37.01     24.23     14.13    10     34.40     21.64     13.89
 1455728217.29     0     33.91     20.97     15.24    10     37.96     24.98     15.10
 1455728217.39     0     37.78     24.93     13.90    10     36.28     23.41     14.34
 1455728217.49     0     31.33     18.57     14.10    10     34.84     22.05     13.78
 1455728217.59     0     31.44     18.82     13.11    10     33.30     20.63     13.02
 1455728217.69     0     33.37     20.65     13.81    10     31.75     18.97     13.80
 1455728217.79     0     33.84     21.05     14.14    10     32.99     20.17     13.99
 1455728217.89     0     34.46     21.86     13.01    10     31.50     18.84     13.25
 1455728217.99     0     32.68     19.98     13.60    10     32.60     19.87     13.82
 1455728218.09     0     32.15     19.48     13.33    10     32.74     20.02     13.27
 1455728218.19     0     29.14     16.54     13.17    10     30.82     18.20     13.04
 1455728218.29     0     31.56     18.88     13.15    10     30.46     17.73     13.18
 1455728218.39     0     37.66     24.73     15.39    10     38.51     25.65     15.01
 1455728218.49     0     39.75     26.73     15.37    10     39.71     26.64     15.76
 1455728218.59     0     44.05     31.00     16.22    10     42.19     28.90     16.90
 1455728218.69     0     41.65     28.51     16.04    10     41.65     28.39     16.67
 1455728218.79     0     37.90     24.87     14.83    10     38.13     25.15     15.21
 1455728218.89     0     31.39     18.83     12.72    10     30.22     17.59     12.82
 1455728219.00     0     41.52     28.54     15.51    10     40.47     27.22     16.08
 1455728219.10     0     37.59     24.71     14.66    10     38.30     25.35     15.24
 1455728219.20     0     40.73     27.67     15.89    10     42.35     29.16     16.39
 1455728219.30     0     34.08     21.21     14.11    10     31.77     19.01     13.97
 1455728219.40     0     31.20     18.58     13.09    10     31.57     18.79     13.32
 1455728219.50     0     38.84     25.83     15.76    10     39.69     26.60     15.68
 1455728219.60     0     36.40     23.50     14.71    10     35.81     23.01     14.69
 1455728219.70     0     42.76     29.43     17.57    10     42.47     29.09     17.70
 1455728219.80     0     36.37     23.45     15.14    10     36.79     23.83     15.08
 1455728219.90     0     33.38     20.67     13.68    10     33.26     20.51     13.48
 1455728220.00     0     30.16     17.67     12.83    10     32.60     19.94     13.03
 1455728220.10     0     29.48     16.79     12.75    10     29.46     16.86     12.59
