         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1455424104.93     0     31.66     19.45     11.24    10     33.85     21.47     10.90
 1455424105.03     0     36.86     24.52     11.19    10     39.99     27.63     11.09
 1455424105.13     0     55.26     42.98     10.42    10     58.34     46.02     10.10
 1455424105.23     0     56.43     44.17     10.27    10     59.42     47.23     10.05
 1455424105.33     0     57.20     41.70     25.62    10     59.88     44.39     25.63
 1455424105.43     0     55.41     40.04     27.76    10     58.27     42.91     27.34
 1455424105.53     0     51.73     36.87     30.64    10     54.42     39.51     30.63
 1455424105.63     0     51.71     36.84     30.67    10     54.37     39.46     30.87
 1455424105.73     0     51.69     36.84     30.85    10     54.36     39.45     30.85
 1455424105.83     0     51.72     36.85     30.78    10     54.37     39.45     30.68
 1455424105.94     0     51.71     36.85     30.57    10     54.40     39.48     30.71
 1455424106.04     0     52.28     37.55     30.17    10     54.98     40.25     29.17
 1455424106.14     0     52.21     37.73     28.79    10     55.40     40.93     27.46
 1455424106.24     0     51.76     36.90     30.76    10     54.39     39.48     30.79
 1455424106.34     0     51.74     36.87     30.80    10     54.40     39.49     30.79
 1455424106.44     0     51.71     36.85     30.78    10     54.40     39.48     30.89
 1455424106.54     0     51.71     36.85     30.69    10     54.43     39.51     30.79
 1455424106.64     0     51.70     36.84     30.88    10     54.41     39.49     30.79
 1455424106.74     0     51.71     36.84     30.80    10     53.88     39.50     30.49
 1455424106.84     0     51.72     36.86     30.90    10     54.43     39.12     30.89
 1455424106.94     0     51.75     36.88     30.52    10     54.40     39.48     30.78
 1455424107.04     0     52.27     37.55     29.55    10     55.01     40.32     29.15
 1455424107.14     0     52.65     38.03     29.19    10     55.34     40.83     27.88
 1455424107.24     0     51.75     36.88     30.88    10     54.42     39.50     30.89
 1455424107.34     0     51.67     36.80     30.80    10     54.38     39.46     30.60
 1455424107.44     0     51.70     36.84     30.89    10     54.41     39.50     30.80
 1455424107.54     0     51.64     36.78     30.69    10     54.42     39.50     30.80
 1455424107.64     0     51.72     36.85     30.91    10     54.38     39.46     30.69
 1455424107.74     0     51.75     36.88     30.79    10     54.37     39.46     30.87
 1455424107.84     0     51.68     36.82     30.79    10     54.39     39.48     30.69
 1455424107.94     0     51.74     36.88     30.79    10     54.42     39.50     30.88
 1455424108.04     0     51.70     36.84     30.69    10     54.39     39.47     30.87
 1455424108.14     0     51.71     36.85     30.89    10     54.43     39.51     30.70
 1455424108.24     0     51.72     36.85     30.90    10     54.43     39.51     30.71
 1455424108.34     0     51.82     37.26     29.31    10     55.07     40.45     28.72
 1455424108.44     0     52.54     37.89     29.17    10     55.26     40.69     28.35
 1455424108.54     0     51.73     36.87     30.86    10     54.41     39.49     30.89
 1455424108.64     0     51.67     36.79     30.80    10     54.41     39.49     30.89
 1455424108.74     0     51.66     36.79     30.70    10     54.39     39.48     30.69
 1455424108.84     0     51.71     36.84     30.88    10     54.44     39.52     30.90
 1455424108.94     0     51.67     36.80     30.89    10     54.42     39.50     30.89
