         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1457035221.72     0     23.31     11.02     11.02    10     25.01     12.83     10.88
 1457035221.82     0     24.31     12.06     11.42    10     26.13     13.83     10.96
 1457035221.92     0     26.76     14.49     10.56    10     27.05     14.74     10.75
 1457035222.02     0     25.29     13.01     10.71    10     25.56     13.28     10.53
 1457035222.12     0     25.55     13.29     10.58    10     25.72     13.44     10.44
 1457035222.22     0     24.82     12.47     12.44    10     25.74     13.19     11.92
 1457035222.32     0     25.11     12.39     13.13    10     25.87     13.13     13.14
 1457035222.42     0     25.39     12.65     13.36    10     25.81     13.08     12.81
 1457035222.52     0     25.59     12.62     13.18    10     25.82     13.09     13.21
 1457035222.62     0     24.87     12.39     13.24    10     25.84     13.10     13.26
 1457035222.72     0     25.38     12.46     13.14    10     26.11     13.28     13.16
 1457035222.82     0     25.07     12.39     13.19    10     25.78     13.06     13.08
 1457035222.92     0     25.11     12.39     13.17    10     25.84     13.09     13.07
 1457035223.02     0     25.15     12.46     13.24    10     25.87     13.17     13.25
 1457035223.13     0     25.30     12.54     13.31    10     25.92     13.13     13.22
 1457035223.23     0     25.09     12.39     13.07    10     25.81     13.07     12.98
 1457035223.33     0     25.24     12.51     13.29    10     25.82     13.08     13.16
 1457035223.43     0     25.11     12.40     13.12    10     25.83     13.10     13.11
 1457035223.53     0     25.08     12.39     12.99    10     25.84     13.10     13.10
 1457035223.63     0     25.11     12.40     13.19    10     25.85     13.11     13.21
 1457035223.73     0     25.26     12.53     13.18    10     25.83     13.10     13.17
 1457035223.83     0     25.53     12.78     13.46    10     25.85     13.10     13.20
 1457035223.93     0     25.16     12.44     13.25    10     25.82     13.08     13.21
 1457035224.03     0     25.09     12.40     13.19    10     25.83     13.10     13.23
 1457035224.13     0     25.13     12.52     13.22    10     25.83     13.09     13.07
 1457035224.23     0     25.31     12.37     13.22    10     25.85     13.10     13.14
 1457035224.33     0     25.21     12.49     13.27    10     25.84     13.10     13.24
 1457035224.43     0     24.89     12.30     13.06    10     25.86     13.12     13.16
 1457035224.53     0     25.17     12.46     13.21    10     25.84     13.10     13.22
 1457035224.63     0     25.14     12.42     13.11    10     25.84     13.10     13.08
 1457035224.73     0     25.11     12.39     13.09    10     25.84     13.10     13.01
 1457035224.83     0     25.22     12.49     13.25    10     25.87     13.12     13.18
 1457035224.93     0     25.24     12.49     13.48    10     25.83     13.08     13.22
 1457035225.03     0     25.11     12.40     13.03    10     25.84     13.11     13.22
 1457035225.13     0     25.29     12.48     13.29    10     25.84     13.14     13.13
 1457035225.23     0     25.25     12.57     13.28    10     25.93     13.13     13.03
 1457035225.33     0     25.10     12.39     13.18    10     25.82     13.08     13.16
 1457035225.43     0     25.06     12.36     13.07    10     25.84     13.10     13.19
 1457035225.53     0     25.48     12.72     13.39    10     25.84     13.10     13.23
 1457035225.63     0     25.41     12.66     13.09    10     25.83     13.09     13.18
