         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1455079258.31     0     20.70      8.48     10.66    10     21.38      9.12     10.61
 1455079258.41     0     22.19      9.90     10.85    10     21.97      9.86     10.78
 1455079258.51     0     23.10     10.91     10.58    10     24.06     11.60     10.53
 1455079258.61     0     23.14     10.89     10.66    10     23.88     11.59     10.24
 1455079258.71     0     23.81     11.57     10.51    10     23.88     11.60     10.26
 1455079258.81     0     24.56     12.32     10.74    10     25.39     13.11     10.76
 1455079258.91     0     25.08     12.77     10.64    10     25.59     13.40     10.11
 1455079259.01     0     24.48     12.30     10.63    10     25.26     12.91     10.85
 1455079259.12     0     24.53     12.20     10.84    10     25.20     12.84     10.93
 1455079259.22     0     24.52     12.21     11.13    10     25.29     12.94     11.07
 1455079259.32     0     24.51     12.21     10.89    10     25.05     12.85     10.77
 1455079259.42     0     24.24     12.03     10.85    10     25.40     13.02     11.09
 1455079259.52     0     24.28     11.99     10.91    10     25.23     12.93     10.89
 1455079259.62     0     24.60     12.21     11.16    10     25.21     12.92     11.06
 1455079259.72     0     24.35     12.05     10.96    10     25.11     12.79     11.03
 1455079259.82     0     24.17     12.09     10.96    10     24.90     12.57     11.01
 1455079259.92     0     24.37     11.95     10.92    10     25.09     12.75     10.93
 1455079260.02     0     24.40     12.08     11.04    10     25.18     12.83     11.04
 1455079260.13     0     24.41     12.09     11.06    10     25.16     12.82     10.95
 1455079260.23     0     24.35     12.06     10.82    10     25.15     12.82     10.98
 1455079260.33     0     24.39     12.07     10.93    10     24.94     12.71     10.92
 1455079260.43     0     23.94     11.74     10.82    10     25.22     12.85     10.86
 1455079260.53     0     24.27     11.99     11.03    10     25.05     12.76     10.72
 1455079260.63     0     24.40     12.07     11.09    10     24.94     12.59     11.00
 1455079260.73     0     24.36     12.05     10.96    10     25.10     12.76     10.85
 1455079260.83     0     24.36     12.05     10.93    10     25.13     12.80     11.02
 1455079260.93     0     24.40     12.07     10.97    10     24.93     12.69     10.83
 1455079261.03     0     24.36     12.05     10.92    10     25.12     12.78     11.02
 1455079261.14     0     24.16     11.96     10.86    10     25.16     12.80     10.94
 1455079261.24     0     24.36     12.05     10.85    10     25.11     12.77     10.95
 1455079261.34     0     24.39     12.07     11.02    10     25.13     12.79     10.89
 1455079261.44     0     24.28     11.97     11.00    10     24.70     12.47     10.92
 1455079261.54     0     24.13     11.83     10.82    10     25.03     12.84     11.11
 1455079261.64     0     24.16     12.06     11.05    10     25.17     12.69     11.03
 1455079261.74     0     24.36     11.94     10.96    10     25.12     12.79     10.81
 1455079261.84     0     24.33     12.03     10.94    10     25.13     12.79     11.02
 1455079261.94     0     24.35     12.04     11.01    10     25.12     12.77     10.94
 1455079262.04     0     24.40     12.07     11.04    10     25.19     12.83     10.97
 1455079262.15     0     24.16     12.06     10.95    10     24.96     12.72     10.86
 1455079262.25     0     24.54     12.02     11.02    10     24.89     12.57     10.87
 1455079262.35     0     24.16     11.96     10.95    10     25.09     12.74     10.86
 1455079262.45     0     24.34     12.04     10.89    10     25.11     12.77     10.56
 1455079262.55     0     24.27     11.94     11.00    10     25.18     12.81     10.95
 1455079262.65     0     24.22     11.94     10.99    10     25.04     12.76     10.88
 1455079262.75     0     24.37     12.05     10.93    10     25.67     13.31     10.83
 1455079262.85     0     24.44     12.10     11.22    10     29.29     16.82     11.57
 1455079262.95     0     24.33     12.02     10.99    10     26.19     14.06     11.25
 1455079263.06     0     24.32     12.03     10.91    10     25.42     12.85     10.93
 1455079263.16     0     24.13     11.94     10.83    10     24.42     12.20     10.60
 1455079263.26     0     24.34     12.03     10.99    10     24.47     12.15     10.78
 1455079263.36     0     24.37     12.06     10.95    10     24.50     12.17     10.87
 1455079263.46     0     24.36     12.05     10.81    10     24.49     12.16     10.88
 1455079263.56     0     24.37     12.05     11.04    10     24.30     11.98     10.74
 1455079263.66     0     24.36     12.05     11.00    10     24.06     11.86     10.65
 1455079263.76     0     24.13     11.93     10.75    10     24.32     11.99     10.76
 1455079263.86     0     24.30     11.98     11.03    10     24.36     12.01     10.88
 1455079263.96     0     24.14     11.84     10.99    10     24.27     11.97     10.72
 1455079264.07     0     24.33     12.04     11.00    10     24.21     11.94     10.73
 1455079264.17     0     24.38     12.04     11.18    10     24.29     11.98     10.74
 1455079264.27     0     24.35     12.03     11.07    10     24.30     11.95     11.13
 1455079264.37     0     24.34     12.03     10.93    10     24.06     11.88     10.59
 1455079264.47     0     24.16     11.96     10.83    10     24.31     11.99     10.85
 1455079264.57     0     24.36     12.05     11.00    10     24.30     11.98     10.75
 1455079264.67     0     24.36     12.04     10.99    10     24.29     11.98     10.84
 1455079264.77     0     24.36     12.05     11.05    10     24.31     11.99     10.85
 1455079264.87     0     24.36     12.05     10.93    10     24.29     11.98     10.75
 1455079264.98     0     24.09     11.88     10.73    10     24.13     11.90     10.75
 1455079265.08     0     24.13     11.83     10.90    10     24.28     11.98     10.83
 1455079265.18     0     24.33     12.03     11.01    10     24.22     11.94     10.78
 1455079265.28     0     24.36     12.04     11.03    10     24.32     11.99     10.66
 1455079265.38     0     24.36     12.05     11.02    10     24.27     11.97     10.81
 1455079265.48     0     24.35     12.04     10.93    10     24.29     11.98     10.72
 1455079265.58     0     24.39     12.06     10.85    10     24.09     12.00     10.76
 1455079265.68     0     24.15     11.95     10.54    10     24.32     11.84     11.06
 1455079265.78     0     24.34     12.03     10.90    10     24.30     12.00     10.50
 1455079265.88     0     24.39     12.05     11.20    10     24.31     12.00     10.63
 1455079265.98     0     24.34     12.04     11.07    10     24.26     11.96     10.64
 1455079266.09     0     24.35     12.05     11.03    10     24.28     11.97     10.73
 1455079266.19     0     24.30     12.01     10.91    10     24.27     11.97     10.81
 1455079266.29     0     24.05     11.83     10.73    10     24.15     11.91     10.48
 1455079266.39     0     24.40     12.00     10.97    10     24.21     11.94     10.81
 1455079266.49     0     24.31     12.04     10.91    10     24.44     12.05     10.90
 1455079266.59     0     24.18     11.97     10.85    10     24.09     11.88     10.65
 1455079266.69     0     24.39     12.07     11.03    10     24.30     11.98     10.75
 1455079266.79     0     24.38     12.07     10.92    10     24.30     11.99     10.73
 1455079266.89     0     24.41     12.08     10.92    10     24.31     11.99     10.74
 1455079266.99     0     24.37     12.07     11.01    10     24.29     11.97     10.84
 1455079267.10     0     24.09     11.89     10.92    10     24.12     11.85     11.15
 1455079267.20     0     24.43     12.01     11.08    10     24.26     11.97     10.60
 1455079267.30     0     24.28     11.99     10.92    10     24.22     11.95     10.58
 1455079267.40     0     24.17     11.97     10.94    10     24.33     12.00     10.85
 1455079267.50     0     24.34     12.04     10.76    10     24.28     11.97     10.82
 1455079267.60     0     24.42     12.06     11.09    10     24.31     11.98     10.83
 1455079267.70     0     24.37     12.05     11.19    10     24.28     11.97     10.66
 1455079267.80     0     24.29     12.01     10.86    10     24.24     11.96     10.71
 1455079267.90     0     24.38     12.06     10.93    10     24.33     12.00     10.76
 1455079268.00     0     24.33     12.03     10.90    10     24.04     11.98     10.75
 1455079268.10     0     24.08     11.87     10.82    10     24.35     11.89     10.68
 1455079268.21     0     24.14     11.84     10.87    10     24.28     11.97     10.64
 1455079268.31     0     24.32     12.03     11.02    10     24.22     11.95     10.81
 1455079268.41     0     24.36     12.05     10.91    10     24.28     11.97     10.83
 1455079268.51     0     24.35     12.03     11.04    10     24.30     11.99     10.74
 1455079268.61     0     24.43     12.09     11.01    10     24.33     11.99     10.79
 1455079268.71     0     24.13     12.05     10.91    10     24.07     11.87     10.74
 1455079268.81     0     24.39     11.95     10.74    10     24.31     11.99     10.86
 1455079268.91     0     24.38     12.05     10.94    10     24.32     11.99     10.69
 1455079269.01     0     24.38     12.06     10.86    10     24.30     11.96     11.12
 1455079269.11     0     24.37     12.06     11.02    10     24.08     11.89     10.58
 1455079269.22     0     23.94     11.74     10.90    10     24.33     11.99     10.77
 1455079269.32     0     24.30     12.02     10.99    10     24.21     11.94     10.80
 1455079269.42     0     24.40     12.08     10.90    10     24.29     11.98     10.66
 1455079269.52     0     24.41     12.08     10.96    10     24.32     11.99     10.84
 1455079269.62     0     24.38     12.06     11.03    10     24.29     11.98     10.83
 1455079269.72     0     24.40     12.07     11.07    10     24.31     11.99     10.83
 1455079269.82     0     24.15     12.06     11.10    10     24.05     11.86     10.64
 1455079269.92     0     24.37     12.06     11.06    10     24.29     11.98     10.71
 1455079270.02     0     24.36     11.94     10.91    10     24.30     11.98     10.63
 1455079270.12     0     24.21     11.87     10.82    10     24.38     12.02     10.69
 1455079270.22     0     24.41     12.04     11.53    10     24.19     11.93     10.79
 1455079270.33     0     25.04     12.43     13.36    10     24.27     11.97     10.70
 1455079270.43     0     25.14     12.49     13.75    10     24.28     11.98     10.73
 1455079270.53     0     25.20     12.52     13.86    10     24.28     11.98     10.82
 1455079270.63     0     25.23     12.58     13.76    10     24.24     11.95     10.71
 1455079270.73     0     26.16     13.70     12.57    10     24.29     11.98     10.83
 1455079270.83     0     25.29     12.93     11.58    10     24.28     11.92     11.18
 1455079270.93     0     25.40     13.16     11.51    10     24.12     11.92     10.68
 1455079271.03     0     26.46     13.99     11.91    10     24.21     12.07     10.73
 1455079271.13     0     25.34     13.01     11.61    10     24.26     11.97     10.72
 1455079271.24     0     24.75     12.45     11.23    10     24.28     11.86     10.61
 1455079271.34     0     24.52     12.46     11.41    10     24.26     11.96     10.72
 1455079271.44     0     25.56     13.00     11.49    10     24.47     12.06     10.72
 1455079271.54     0     25.22     12.99     11.44    10     24.14     11.91     10.74
 1455079271.64     0     26.33     13.99     11.79    10     24.18     11.93     10.77
 1455079271.74     0     25.30     12.96     11.77    10     24.26     11.97     10.81
 1455079271.84     0     25.89     13.67     11.73    10     24.24     11.95     10.80
 1455079271.94     0     25.80     13.29     11.87    10     24.30     11.98     10.84
