         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1493034418.90     0     22.04      0.00      4.94    12     23.22      0.00      4.83
 1493034419.00     0     28.40      0.00      6.57    12     28.11      0.00      5.55
 1493034419.10     0     32.50      0.00      6.66    12     33.18      0.00      6.29
 1493034419.20     0     33.02      0.00      6.57    12     33.26      0.00      6.06
 1493034419.30     0     32.17      0.00      6.55    12     32.95      0.00      6.07
 1493034419.40     0     33.63      0.00      6.87    12     33.24      0.00      6.05
 1493034419.51     0     32.65      0.00      6.84    12     32.98      0.00      6.08
 1493034419.61     0     32.41      0.00      6.65    12     32.87      0.00      6.05
 1493034419.71     0     31.95      0.00      6.75    12     32.59      0.00      6.04
 1493034419.81     0     32.60      0.00      6.96    12     33.38      0.00      6.23
 1493034419.91     0     32.52      0.00      6.88    12     33.05      0.00      6.06
 1493034420.01     0     33.29      0.00      6.64    12     33.63      0.00      6.02
 1493034420.11     0     32.34      0.00      6.35    12     32.49      0.00      5.94
 1493034420.21     0     32.73      0.00      6.49    12     33.22      0.00      6.18
 1493034420.31     0     32.04      0.00      6.38    12     32.68      0.00      5.96
 1493034420.41     0     32.67      0.00      6.91    12     33.16      0.00      6.25
 1493034420.51     0     32.01      0.00      6.67    12     33.01      0.00      6.03
 1493034420.61     0     32.65      0.00      6.57    12     32.82      0.00      5.98
 1493034420.71     0     32.40      0.00      6.64    12     32.74      0.00      6.02
 1493034420.81     0     32.56      0.00      6.77    12     33.36      0.00      6.20
 1493034420.91     0     32.64      0.00      6.72    12     32.89      0.00      6.14
 1493034421.01     0     32.43      0.00      6.44    12     32.91      0.00      5.99
 1493034421.11     0     32.26      0.00      6.59    12     32.94      0.00      5.82
 1493034421.21     0     32.37      0.00      6.45    12     33.10      0.00      6.22
 1493034421.31     0     32.53      0.00      6.53    12     33.13      0.00      6.09
 1493034421.41     0     32.01      0.00      6.49    12     32.81      0.00      6.15
 1493034421.51     0     32.71      0.00      6.70    12     33.03      0.00      5.87
 1493034421.61     0     32.36      0.00      5.82    12     32.28      0.00      5.47
 1493034421.71     0     30.83      0.00      6.01    12     32.01      0.00      5.63
 1493034421.81     0     31.37      0.00      6.76    12     33.37      0.00      6.45
 1493034421.91     0     32.60      0.00      6.58    12     33.56      0.00      6.47
 1493034422.01     0     31.93      0.00      5.86    12     31.82      0.00      5.87
 1493034422.11     0     32.15      0.00      6.19    12     32.36      0.00      5.92
 1493034422.21     0     32.15      0.00      6.28    12     32.84      0.00      6.25
 1493034422.31     0     32.69      0.00      6.28    12     33.06      0.00      6.21
 1493034422.41     0     31.96      0.00      6.02    12     32.07      0.00      5.88
 1493034422.51     0     31.21      0.00      6.14    12     32.12      0.00      6.23
 1493034422.61     0     32.32      0.00      6.20    12     32.17      0.00      5.90
 1493034422.71     0     32.23      0.00      6.69    12     33.04      0.00      6.39
 1493034422.81     0     32.03      0.00      6.41    12     32.55      0.00      6.10
 1493034422.91     0     32.41      0.00      6.78    12     33.03      0.00      6.45
 1493034423.01     0     32.45      0.00      6.46    12     33.14      0.00      6.51
 1493034423.11     0     32.71      0.00      6.59    12     33.35      0.00      6.22
 1493034423.21     0     32.17      0.00      6.54    12     33.22      0.00      6.46
 1493034423.31     0     32.09      0.00      6.31    12     33.13      0.00      6.16
 1493034423.41     0     32.51      0.00      6.38    12     32.52      0.00      6.21
 1493034423.51     0     32.29      0.00      6.46    12     33.23      0.00      6.41
 1493034423.61     0     32.34      0.00      6.42    12     32.81      0.00      6.30
 1493034423.71     0     32.47      0.00      6.76    12     33.20      0.00      6.31
 1493034423.81     0     32.10      0.00      6.25    12     33.13      0.00      6.06
 1493034423.91     0     32.89      0.00      6.50    12     33.06      0.00      6.29
 1493034424.01     0     32.03      0.00      6.16    12     32.52      0.00      6.00
 1493034424.11     0     31.76      0.00      6.07    12     32.64      0.00      6.01
 1493034424.22     0     32.14      0.00      6.29    12     32.63      0.00      6.04
 1493034424.32     0     32.60      0.00      6.29    12     33.09      0.00      6.24
 1493034424.42     0     32.47      0.00      6.42    12     32.89      0.00      6.24
 1493034424.52     0     32.38      0.00      6.21    12     33.05      0.00      6.16
 1493034424.62     0     32.47      0.00      6.41    12     32.94      0.00      6.22
 1493034424.72     0     32.29      0.00      6.20    12     32.75      0.00      6.10
 1493034424.82     0     32.67      0.00      6.46    12     33.14      0.00      6.06
 1493034424.92     0     32.18      0.00      6.51    12     32.89      0.00      6.26
 1493034425.02     0     32.65      0.00      6.39    12     33.38      0.00      6.19
 1493034425.12     0     32.63      0.00      6.42    12     33.07      0.00      6.45
 1493034425.22     0     32.73      0.00      6.29    12     33.00      0.00      6.04
 1493034425.32     0     32.06      0.00      6.39    12     33.09      0.00      6.22
 1493034425.42     0     32.50      0.00      6.32    12     33.22      0.00      6.47
 1493034425.52     0     32.27      0.00      6.39    12     32.90      0.00      6.31
 1493034425.62     0     32.62      0.00      6.62    12     33.20      0.00      6.07
 1493034425.72     0     32.04      0.00      6.65    12     33.04      0.00      6.16
 1493034425.82     0     31.94      0.00      6.30    12     32.70      0.00      6.26
 1493034425.92     0     32.47      0.00      6.50    12     32.88      0.00      6.19
 1493034426.02     0     32.05      0.00      6.38    12     32.35      0.00      6.13
 1493034426.12     0     32.12      0.00      6.44    12     32.94      0.00      6.29
 1493034426.22     0     31.90      0.00      6.15    12     32.06      0.00      6.03
 1493034426.32     0     32.36      0.00      6.37    12     32.93      0.00      6.09
 1493034426.42     0     32.04      0.00      6.23    12     32.15      0.00      6.26
 1493034426.52     0     32.15      0.00      6.56    12     32.68      0.00      6.15
 1493034426.62     0     32.14      0.00      6.57    12     32.80      0.00      6.14
 1493034426.72     0     32.06      0.00      6.69    12     32.83      0.00      6.05
 1493034426.82     0     32.44      0.00      6.44    12     32.98      0.00      6.17
 1493034426.92     0     32.41      0.00      6.69    12     33.01      0.00      6.29
 1493034427.02     0     32.08      0.00      6.38    12     33.28      0.00      6.27
 1493034427.12     0     32.58      0.00      6.65    12     33.17      0.00      6.43
 1493034427.22     0     32.71      0.00      6.62    12     33.09      0.00      6.16
 1493034427.32     0     32.07      0.00      6.37    12     32.93      0.00      6.29
 1493034427.42     0     32.75      0.00      6.56    12     33.08      0.00      6.22
 1493034427.52     0     32.29      0.00      6.25    12     32.96      0.00      6.22
 1493034427.62     0     32.43      0.00      6.47    12     33.10      0.00      6.15
 1493034427.72     0     32.61      0.00      6.48    12     33.07      0.00      6.16
 1493034427.82     0     32.95      0.00      6.29    12     33.05      0.00      6.23
 1493034427.92     0     33.33      0.00      6.27    12     33.32      0.00      6.02
 1493034428.02     0     32.35      0.00      6.35    12     33.26      0.00      6.27
 1493034428.12     0     32.20      0.00      6.44    12     33.06      0.00      6.20
 1493034428.22     0     32.61      0.00      6.24    12     32.96      0.00      6.28
 1493034428.32     0     32.61      0.00      6.21    12     33.06      0.00      6.15
 1493034428.42     0     32.41      0.00      6.27    12     32.87      0.00      5.97
 1493034428.52     0     32.37      0.00      6.61    12     33.18      0.00      6.36
 1493034428.62     0     32.29      0.00      6.40    12     32.78      0.00      5.99
 1493034428.72     0     32.53      0.00      6.49    12     32.90      0.00      6.23
 1493034428.82     0     31.98      0.00      6.27    12     32.51      0.00      5.80
 1493034428.92     0     32.47      0.00      6.04    12     32.99      0.00      6.01
 1493034429.02     0     32.65      0.00      6.93    12     33.39      0.00      6.57
 1493034429.12     0     32.28      0.00      6.20    12     32.72      0.00      6.07
 1493034429.23     0     32.25      0.00      6.32    12     32.91      0.00      6.51
 1493034429.33     0     32.52      0.00      6.60    12     33.07      0.00      6.36
 1493034429.43     0     32.74      0.00      6.32    12     33.49      0.00      6.24
 1493034429.53     0     32.35      0.00      6.60    12     33.15      0.00      6.28
 1493034429.63     0     32.15      0.00      6.26    12     32.65      0.00      6.27
 1493034429.73     0     32.20      0.00      6.71    12     33.50      0.00      6.26
 1493034429.83     0     32.79      0.00      6.46    12     32.72      0.00      6.05
 1493034429.93     0     32.12      0.00      6.48    12     32.39      0.00      6.08
 1493034430.03     0     32.29      0.00      6.64    12     33.10      0.00      6.06
 1493034430.13     0     31.51      0.00      6.09    12     31.84      0.00      5.69
 1493034430.23     0     32.17      0.00      6.45    12     32.46      0.00      6.23
 1493034430.33     0     31.90      0.00      6.47    12     32.85      0.00      6.13
 1493034430.43     0     32.28      0.00      6.42    12     32.99      0.00      6.05
 1493034430.53     0     32.73      0.00      6.32    12     33.00      0.00      6.35
 1493034430.63     0     32.25      0.00      6.07    12     32.97      0.00      6.08
 1493034430.73     0     32.27      0.00      6.49    12     32.83      0.00      5.98
 1493034430.83     0     32.33      0.00      6.53    12     32.96      0.00      6.02
 1493034430.93     0     32.59      0.00      6.93    12     33.37      0.00      6.40
