         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1494431922.70     0     21.67      0.00      4.88    12     23.60      0.00      5.13
 1494431922.80     0     34.46      0.00      5.35    12     32.49      0.00      5.08
 1494431922.90     0     41.67      0.00      5.05    12     35.36      0.00      4.97
 1494431923.00     0     43.95      0.00      4.99    12     36.25      0.00      5.09
 1494431923.10     0     44.97      0.00      4.99    12     36.92      0.00      5.10
 1494431923.20     0     45.32      0.00      4.92    12     37.46      0.00      5.08
 1494431923.31     0     45.50      0.00      4.89    12     37.36      0.00      5.14
 1494431923.41     0     45.38      0.00      5.04    12     37.74      0.00      5.06
 1494431923.51     0     44.67      0.00      4.79    12     37.59      0.00      5.12
 1494431923.61     0     44.04      0.00      5.14    12     36.82      0.00      5.13
 1494431923.71     0     43.41      0.00      5.03    12     36.62      0.00      4.96
 1494431923.81     0     42.70      0.00      5.04    12     35.42      0.00      5.21
 1494431923.91     0     43.05      0.00      4.84    12     34.65      0.00      5.13
 1494431924.01     0     42.94      0.00      4.95    12     34.52      0.00      5.13
 1494431924.11     0     42.24      0.00      4.85    12     34.15      0.00      4.97
 1494431924.21     0     41.60      0.00      4.91    12     34.29      0.00      5.09
 1494431924.31     0     41.40      0.00      4.93    12     34.50      0.00      5.17
 1494431924.41     0     33.92      0.00      4.38    12     33.22      0.00      4.73
 1494431924.51     0     30.99      0.00      4.32    12     30.45      0.00      4.72
 1494431924.61     0     30.60      0.00      4.37    12     28.97      0.00      4.72
 1494431924.71     0     34.35      0.00      4.31    12     30.77      0.00      4.74
 1494431924.81     0     33.71      0.00      4.31    12     30.90      0.00      4.72
 1494431924.91     0     31.08      0.00      4.36    12     28.86      0.00      4.31
 1494431925.01     0     30.73      0.00      4.35    12     28.46      0.00      4.11
 1494431925.11     0     33.67      0.00      4.38    12     34.45      0.00      4.76
 1494431925.21     0     34.31      0.00      4.32    12     31.23      0.00      4.68
 1494431925.31     0     35.31      0.00      4.60    12     33.43      0.00      4.93
 1494431925.41     0     34.22      0.00      4.46    12     32.90      0.00      4.76
 1494431925.51     0     33.01      0.00      4.29    12     32.83      0.00      4.71
 1494431925.61     0     32.64      0.00      4.33    12     32.87      0.00      4.68
 1494431925.71     0     31.87      0.00      4.31    12     32.86      0.00      4.68
 1494431925.81     0     31.87      0.00      4.32    12     32.88      0.00      4.70
 1494431925.91     0     29.89      0.00      4.30    12     32.47      0.00      4.61
 1494431926.01     0     29.90      0.00      4.30    12     32.39      0.00      4.73
 1494431926.11     0     29.87      0.00      4.30    12     32.47      0.00      4.68
 1494431926.21     0     30.03      0.00      4.32    12     30.23      0.00      4.38
 1494431926.31     0     30.23      0.00      4.26    12     28.47      0.00      4.09
 1494431926.41     0     34.54      0.00      4.45    12     33.03      0.00      4.64
 1494431926.51     0     34.38      0.00      4.41    12     33.84      0.00      4.67
 1494431926.61     0     34.67      0.00      4.51    12     34.04      0.00      4.89
