         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1494584679.66     0     23.40      0.00      4.06    12     21.48      0.00      4.39
 1494584679.76     0     30.10      0.00      5.80    12     25.07      0.00      4.03
 1494584679.86     0     31.56      0.00      5.84    12     26.18      0.00      3.77
 1494584679.96     0     32.55      0.00      6.47    12     26.21      0.00      3.80
 1494584680.06     0     32.51      0.00      6.59    12     26.11      0.00      3.73
 1494584680.16     0     32.22      0.00      7.19    12     26.26      0.00      3.73
 1494584680.26     0     32.15      0.00      7.14    12     26.29      0.00      3.86
 1494584680.36     0     32.19      0.00      7.34    12     26.49      0.00      3.73
 1494584680.46     0     31.88      0.00      6.21    12     26.12      0.00      3.74
 1494584680.56     0     31.53      0.00      6.05    12     26.17      0.00      3.80
 1494584680.66     0     31.58      0.00      6.01    12     26.21      0.00      3.77
 1494584680.76     0     31.54      0.00      6.07    12     26.10      0.00      3.72
 1494584680.86     0     31.55      0.00      6.09    12     26.10      0.00      3.64
 1494584680.96     0     31.51      0.00      5.97    12     26.15      0.00      3.71
 1494584681.06     0     31.51      0.00      6.11    12     26.11      0.00      3.74
 1494584681.16     0     31.59      0.00      6.04    12     26.14      0.00      3.76
 1494584681.26     0     31.51      0.00      6.21    12     26.17      0.00      3.76
 1494584681.36     0     31.55      0.00      5.97    12     26.23      0.00      3.82
 1494584681.46     0     31.52      0.00      6.07    12     26.17      0.00      3.70
 1494584681.56     0     31.51      0.00      6.06    12     26.39      0.00      3.82
 1494584681.66     0     31.53      0.00      6.14    12     26.29      0.00      3.70
 1494584681.76     0     31.85      0.00      6.15    12     26.13      0.00      3.72
 1494584681.86     0     31.51      0.00      6.08    12     26.11      0.00      3.71
 1494584681.96     0     31.53      0.00      6.06    12     26.14      0.00      3.79
 1494584682.06     0     31.53      0.00      6.12    12     26.15      0.00      3.85
 1494584682.16     0     31.53      0.00      6.18    12     26.10      0.00      3.68
 1494584682.26     0     31.60      0.00      6.13    12     26.14      0.00      3.80
 1494584682.36     0     31.56      0.00      6.14    12     26.11      0.00      3.77
 1494584682.46     0     31.54      0.00      5.97    12     26.09      0.00      3.80
 1494584682.56     0     31.53      0.00      6.01    12     26.51      0.00      3.83
 1494584682.66     0     31.59      0.00      6.07    12     26.20      0.00      3.71
 1494584682.76     0     31.51      0.00      6.10    12     26.10      0.00      3.77
 1494584682.86     0     31.55      0.00      5.94    12     26.16      0.00      3.79
 1494584682.96     0     31.82      0.00      6.18    12     26.17      0.00      3.81
 1494584683.07     0     31.51      0.00      6.10    12     26.23      0.00      3.80
 1494584683.17     0     31.53      0.00      6.02    12     26.20      0.00      3.72
 1494584683.27     0     31.59      0.00      6.15    12     26.15      0.00      3.69
 1494584683.37     0     31.55      0.00      6.17    12     26.18      0.00      3.68
 1494584683.47     0     31.55      0.00      6.04    12     26.11      0.00      3.79
 1494584683.57     0     31.69      0.00      6.10    12     26.11      0.00      3.81
 1494584683.67     0     31.57      0.00      5.97    12     26.23      0.00      3.76
 1494584683.77     0     31.55      0.00      6.18    12     26.45      0.00      3.89
 1494584683.87     0     31.55      0.00      5.97    12     26.25      0.00      3.78
 1494584683.97     0     31.58      0.00      5.99    12     26.14      0.00      3.76
 1494584684.07     0     31.56      0.00      6.10    12     26.18      0.00      3.80
 1494584684.17     0     31.55      0.00      6.09    12     26.10      0.00      3.71
 1494584684.27     0     31.87      0.00      6.13    12     26.12      0.00      3.77
 1494584684.37     0     31.55      0.00      6.03    12     26.10      0.00      3.80
 1494584684.47     0     31.75      0.00      6.56    12     26.10      0.00      3.69
 1494584684.57     0     32.23      0.00      7.36    12     26.08      0.00      3.65
 1494584684.67     0     32.17      0.00      7.18    12     26.15      0.00      3.80
 1494584684.77     0     31.77      0.00      6.91    12     26.21      0.00      3.80
 1494584684.87     0     31.17      0.00      6.17    12     26.06      0.00      3.68
 1494584684.97     0     31.20      0.00      6.16    12     26.27      0.00      3.87
 1494584685.07     0     31.17      0.00      6.21    12     26.00      0.00      3.74
 1494584685.17     0     31.17      0.00      6.19    12     26.18      0.00      3.76
 1494584685.27     0     31.21      0.00      6.20    12     26.03      0.00      3.80
 1494584685.37     0     31.16      0.00      6.13    12     26.03      0.00      3.78
 1494584685.47     0     31.22      0.00      6.13    12     25.92      0.00      3.79
 1494584685.57     0     31.47      0.00      6.16    12     25.85      0.00      3.67
 1494584685.67     0     31.18      0.00      6.22    12     26.05      0.00      3.70
 1494584685.77     0     31.16      0.00      6.09    12     26.10      0.00      3.73
 1494584685.87     0     31.19      0.00      6.14    12     26.04      0.00      3.69
 1494584685.97     0     31.16      0.00      6.17    12     26.08      0.00      3.69
 1494584686.07     0     31.21      0.00      6.09    12     26.04      0.00      3.72
 1494584686.17     0     31.18      0.00      6.09    12     26.35      0.00      3.81
 1494584686.27     0     31.20      0.00      6.14    12     26.11      0.00      3.81
 1494584686.37     0     31.15      0.00      6.13    12     26.06      0.00      3.78
 1494584686.47     0     31.18      0.00      6.10    12     26.15      0.00      3.72
 1494584686.57     0     31.22      0.00      6.14    12     26.12      0.00      3.71
 1494584686.67     0     31.16      0.00      6.19    12     26.08      0.00      3.65
 1494584686.77     0     31.16      0.00      6.18    12     25.97      0.00      3.75
 1494584686.87     0     31.49      0.00      6.09    12     26.10      0.00      3.66
 1494584686.97     0     31.19      0.00      6.14    12     26.10      0.00      3.78
 1494584687.07     0     31.17      0.00      6.14    12     26.00      0.00      3.77
 1494584687.17     0     31.19      0.00      6.11    12     25.98      0.00      3.80
 1494584687.27     0     31.17      0.00      6.09    12     26.06      0.00      3.79
 1494584687.37     0     31.19      0.00      6.07    12     26.06      0.00      3.70
 1494584687.47     0     31.16      0.00      6.17    12     26.19      0.00      3.79
 1494584687.57     0     31.23      0.00      6.16    12     25.85      0.00      3.76
 1494584687.67     0     31.12      0.00      6.13    12     25.98      0.00      3.74
 1494584687.77     0     31.18      0.00      5.93    12     26.05      0.00      3.72
 1494584687.87     0     31.17      0.00      6.13    12     26.03      0.00      3.67
 1494584687.97     0     31.18      0.00      6.09    12     26.10      0.00      3.75
 1494584688.07     0     31.49      0.00      6.19    12     26.01      0.00      3.75
 1494584688.17     0     31.27      0.00      5.75    12     26.05      0.00      3.77
 1494584688.27     0     32.72      0.00      4.15    12     26.71      0.00      3.92
 1494584688.37     0     51.30      0.00      8.54    12     46.80      0.00      5.14
 1494584688.47     0     48.38      0.00      8.77    12     50.09      0.00      4.63
 1494584688.57     0     50.73      0.00      8.88    12     49.29      0.00      4.83
 1494584688.67     0     50.05      0.00      8.74    12     50.14      0.00      4.98
 1494584688.77     0     51.09      0.00      8.59    12     48.48      0.00      4.67
 1494584688.88     0     47.30      0.00      7.84    12     36.65      0.00      4.32
 1494584688.98     0     43.02      0.00     11.28    12     46.09      0.00      4.71
 1494584689.08     0     45.39      0.00     12.31    12     51.97      0.00      4.79
 1494584689.18     0     29.16      0.00     10.28    12     50.77      0.00      4.66
 1494584689.28     0     43.61      0.00     11.60    12     51.30      0.00      4.69
 1494584689.38     0     38.02      0.00      9.54    12     38.81      0.00      4.58
 1494584689.48     0     34.53      0.00     10.91    12     50.50      0.00      4.79
 1494584689.58     0     43.56      0.00     11.38    12     51.38      0.00      4.70
 1494584689.68     0     35.45      0.00      8.63    12     45.52      0.00      4.48
 1494584689.78     0     51.28      0.00     10.51    12     51.36      0.00      4.66
 1494584689.88     0     47.39      0.00     10.34    12     49.77      0.00      4.71
 1494584689.98     0     30.58      0.00      6.49    12     25.03      0.00      3.78
 1494584690.08     0     32.74      0.00      6.34    12     26.07      0.00      3.72
 1494584690.18     0     33.07      0.00      6.44    12     25.95      0.00      3.77
