         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1494584634.21     0     25.34      0.00      5.10    12     24.96      0.00      5.23
 1494584634.31     0     42.23      0.00      6.71    12     40.56      0.00      7.74
 1494584634.41     0     42.11      0.00      6.08    12     40.01      0.00      7.12
 1494584634.51     0     44.81      0.00      6.56    12     43.98      0.00      7.20
 1494584634.61     0     44.50      0.00      6.03    12     43.88      0.00      7.32
 1494584634.71     0     44.09      0.00      6.45    12     44.07      0.00      7.47
 1494584634.81     0     42.89      0.00      6.32    12     44.58      0.00      7.38
 1494584634.91     0     44.79      0.00      6.68    12     43.86      0.00      7.49
 1494584635.01     0     44.01      0.00      6.47    12     46.21      0.00      7.64
 1494584635.11     0     44.98      0.00      6.20    12     43.60      0.00      7.29
 1494584635.21     0     45.19      0.00      6.27    12     44.28      0.00      7.22
 1494584635.31     0     44.03      0.00      6.07    12     44.12      0.00      7.32
 1494584635.41     0     45.04      0.00      6.31    12     46.63      0.00      7.67
 1494584635.51     0     43.38      0.00      5.81    12     44.04      0.00      7.07
 1494584635.61     0     45.79      0.00      6.10    12     45.05      0.00      7.10
 1494584635.71     0     44.47      0.00      6.18    12     44.01      0.00      7.54
 1494584635.81     0     44.45      0.00      6.48    12     44.37      0.00      7.26
 1494584635.91     0     45.12      0.00      6.58    12     45.68      0.00      7.37
 1494584636.01     0     45.94      0.00      6.52    12     44.84      0.00      7.87
 1494584636.11     0     44.34      0.00      6.28    12     43.52      0.00      7.11
 1494584636.21     0     45.19      0.00      6.53    12     44.42      0.00      7.61
 1494584636.31     0     43.44      0.00      6.51    12     44.49      0.00      7.49
 1494584636.41     0     45.17      0.00      6.30    12     44.69      0.00      7.52
 1494584636.51     0     45.09      0.00      6.67    12     44.78      0.00      7.29
 1494584636.61     0     44.56      0.00      6.41    12     43.92      0.00      7.38
 1494584636.71     0     45.36      0.00      6.37    12     43.02      0.00      7.60
 1494584636.81     0     45.80      0.00      6.48    12     44.52      0.00      7.51
 1494584636.91     0     43.52      0.00      6.18    12     44.25      0.00      7.19
 1494584637.01     0     44.68      0.00      6.37    12     45.68      0.00      7.91
 1494584637.11     0     44.41      0.00      6.32    12     45.77      0.00      7.65
 1494584637.21     0     44.12      0.00      6.39    12     45.01      0.00      7.43
 1494584637.31     0     43.25      0.00      6.29    12     45.02      0.00      7.52
 1494584637.41     0     45.53      0.00      6.21    12     44.26      0.00      7.57
 1494584637.51     0     45.07      0.00      6.51    12     45.28      0.00      7.45
 1494584637.61     0     44.99      0.00      6.52    12     46.56      0.00      7.85
 1494584637.71     0     41.68      0.00      6.28    12     46.65      0.00      7.33
 1494584637.81     0     44.21      0.00      6.03    12     44.57      0.00      7.39
 1494584637.91     0     45.58      0.00      6.30    12     43.88      0.00      7.46
 1494584638.01     0     45.93      0.00      6.46    12     44.66      0.00      7.36
 1494584638.11     0     44.39      0.00      6.55    12     43.95      0.00      7.55
 1494584638.21     0     44.51      0.00      6.30    12     42.47      0.00      7.47
 1494584638.31     0     44.66      0.00      6.66    12     45.82      0.00      7.26
 1494584638.41     0     45.15      0.00      6.31    12     46.21      0.00      7.76
 1494584638.51     0     44.67      0.00      6.10    12     42.47      0.00      7.14
 1494584638.61     0     45.06      0.00      6.21    12     43.49      0.00      6.82
 1494584638.71     0     45.38      0.00      6.19    12     43.20      0.00      7.09
 1494584638.81     0     44.95      0.00      6.47    12     43.02      0.00      7.34
 1494584638.92     0     44.76      0.00      6.16    12     44.38      0.00      7.17
 1494584639.02     0     44.75      0.00      6.44    12     45.69      0.00      7.57
 1494584639.12     0     44.66      0.00      6.14    12     45.33      0.00      6.83
 1494584639.22     0     45.89      0.00      6.23    12     43.73      0.00      7.55
 1494584639.32     0     44.20      0.00      5.71    12     42.56      0.00      6.52
 1494584639.42     0     44.49      0.00      6.20    12     46.20      0.00      7.12
 1494584639.52     0     44.81      0.00      6.18    12     45.57      0.00      7.30
 1494584639.62     0     43.52      0.00      6.01    12     44.43      0.00      7.21
 1494584639.72     0     43.93      0.00      6.05    12     44.66      0.00      7.12
 1494584639.82     0     44.95      0.00      6.59    12     46.00      0.00      7.45
 1494584639.92     0     43.91      0.00      6.44    12     44.24      0.00      7.21
 1494584640.02     0     44.16      0.00      6.54    12     45.07      0.00      7.57
 1494584640.12     0     44.41      0.00      6.00    12     45.02      0.00      7.33
 1494584640.22     0     45.19      0.00      6.35    12     45.71      0.00      7.52
 1494584640.32     0     44.60      0.00      6.35    12     43.19      0.00      7.37
 1494584640.42     0     44.49      0.00      6.29    12     43.68      0.00      7.10
 1494584640.52     0     44.43      0.00      6.19    12     43.79      0.00      7.10
 1494584640.62     0     43.31      0.00      6.54    12     45.13      0.00      7.22
 1494584640.72     0     45.18      0.00      6.52    12     44.41      0.00      7.57
 1494584640.82     0     45.98      0.00      6.34    12     46.40      0.00      7.40
 1494584640.92     0     45.44      0.00      7.07    12     45.58      0.00      6.95
 1494584641.02     0     44.55      0.00      6.59    12     45.79      0.00      7.03
 1494584641.12     0     45.61      0.00      6.80    12     44.79      0.00      7.01
 1494584641.22     0     42.55      0.00      6.62    12     44.69      0.00      6.73
 1494584641.32     0     44.89      0.00      6.96    12     45.10      0.00      6.68
 1494584641.42     0     44.85      0.00      7.11    12     45.34      0.00      7.02
 1494584641.52     0     44.63      0.00      6.90    12     46.74      0.00      6.91
 1494584641.62     0     45.24      0.00      6.73    12     46.43      0.00      6.81
 1494584641.72     0     45.68      0.00      6.56    12     43.64      0.00      6.84
 1494584641.82     0     43.57      0.00      6.87    12     43.90      0.00      6.77
 1494584641.92     0     45.15      0.00      6.78    12     43.56      0.00      6.95
 1494584642.02     0     44.21      0.00      6.61    12     44.90      0.00      6.89
 1494584642.12     0     45.26      0.00      7.26    12     45.37      0.00      7.27
 1494584642.22     0     45.09      0.00      6.77    12     45.16      0.00      7.03
 1494584642.32     0     45.55      0.00      6.76    12     44.42      0.00      6.77
 1494584642.42     0     45.49      0.00      6.86    12     43.52      0.00      6.68
 1494584642.52     0     44.62      0.00      7.00    12     45.55      0.00      6.60
 1494584642.62     0     44.18      0.00      6.96    12     44.11      0.00      6.86
 1494584642.72     0     43.46      0.00      6.85    12     46.75      0.00      6.69
 1494584642.82     0     46.03      0.00      7.27    12     46.12      0.00      7.16
 1494584642.92     0     45.26      0.00      6.77    12     44.39      0.00      6.64
 1494584643.02     0     46.40      0.00      7.20    12     45.69      0.00      7.06
 1494584643.12     0     43.73      0.00      6.93    12     45.55      0.00      6.84
 1494584643.22     0     44.92      0.00      6.69    12     43.69      0.00      6.76
 1494584643.32     0     46.59      0.00      6.98    12     45.25      0.00      7.01
 1494584643.42     0     44.40      0.00      7.11    12     46.12      0.00      6.80
 1494584643.52     0     43.72      0.00      6.81    12     44.72      0.00      6.73
 1494584643.62     0     45.36      0.00      6.75    12     44.45      0.00      6.81
 1494584643.72     0     44.63      0.00      7.36    12     42.77      0.00      6.71
 1494584643.82     0     44.40      0.00      6.61    12     44.68      0.00      6.94
 1494584643.92     0     45.67      0.00      6.94    12     45.00      0.00      6.93
 1494584644.02     0     45.58      0.00      6.90    12     42.07      0.00      7.09
 1494584644.12     0     45.39      0.00      7.23    12     45.26      0.00      7.09
 1494584644.22     0     45.38      0.00      6.87    12     45.18      0.00      7.09
 1494584644.32     0     44.31      0.00      6.93    12     43.31      0.00      7.00
 1494584644.42     0     44.84      0.00      6.76    12     46.21      0.00      6.84
 1494584644.52     0     43.81      0.00      6.66    12     44.44      0.00      6.69
 1494584644.62     0     44.96      0.00      6.90    12     45.81      0.00      6.98
