         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1492877332.90     0     22.98      0.00      5.04    12     22.99      0.00      5.48
 1492877333.00     0     26.87      0.00      6.33    12     24.00      0.00      4.56
 1492877333.10     0     30.87      0.00      6.98    12     26.66      0.00      4.17
 1492877333.20     0     31.29      0.00      6.98    12     26.94      0.00      4.00
 1492877333.30     0     31.71      0.00      7.26    12     26.98      0.00      4.13
 1492877333.40     0     32.95      0.00      6.44    12     27.07      0.00      4.19
 1492877333.50     0     38.00      0.00      9.90    12     30.44      0.00      4.60
 1492877333.60     0     43.96      0.00     11.77    12     42.15      0.00      5.30
 1492877333.70     0     43.56      0.00     12.21    12     44.36      0.00      5.25
 1492877333.80     0     43.01      0.00     12.01    12     47.40      0.00      5.26
 1492877333.90     0     43.52      0.00     11.85    12     49.18      0.00      5.30
 1492877334.00     0     42.84      0.00     12.16    12     54.39      0.00      5.47
 1492877334.10     0     43.39      0.00     11.98    12     56.67      0.00      5.43
 1492877334.20     0     43.03      0.00     12.19    12     55.72      0.00      5.23
 1492877334.30     0     42.79      0.00     12.13    12     55.94      0.00      6.42
 1492877334.40     0     44.30      0.00     11.68    12     56.57      0.00      7.08
 1492877334.50     0     43.77      0.00     12.46    12     56.01      0.00      7.21
 1492877334.60     0     45.26      0.00     11.34    12     55.91      0.00      7.39
 1492877334.70     0     45.69      0.00     12.37    12     56.27      0.00      7.23
 1492877334.80     0     44.68      0.00     10.71    12     54.84      0.00      7.61
 1492877334.91     0     46.36      0.00     11.50    12     53.92      0.00      9.79
 1492877335.01     0     46.29      0.00     11.22    12     53.41      0.00      9.43
 1492877335.11     0     45.93      0.00      9.63    12     52.31      0.00      8.73
 1492877335.21     0     47.55      0.00     11.41    12     55.03      0.00      9.49
 1492877335.31     0     48.79      0.00     11.92    12     57.24      0.00     10.31
 1492877335.41     0     49.49      0.00     11.99    12     59.19      0.00     10.84
 1492877335.51     0     50.90      0.00     11.87    12     58.46      0.00     10.79
 1492877335.61     0     50.59      0.00     12.17    12     59.57      0.00     10.63
 1492877335.71     0     50.42      0.00     11.67    12     58.89      0.00     10.64
 1492877335.81     0     50.45      0.00     11.54    12     58.59      0.00     10.41
 1492877335.91     0     50.81      0.00     11.59    12     59.90      0.00     10.66
 1492877336.01     0     50.79      0.00     12.27    12     59.73      0.00     10.67
 1492877336.11     0     51.69      0.00     11.79    12     59.72      0.00     10.67
