         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1492872265.55     0     22.01      0.00      4.60    12     23.25      0.00      5.20
 1492872265.65     0     30.25      0.00      5.83    12     29.50      0.00      5.96
 1492872265.75     0     33.54      0.00      5.70    12     31.74      0.00      6.00
 1492872265.85     0     37.00      0.00      5.82    12     35.50      0.00      6.20
 1492872265.95     0     35.73      0.00      5.42    12     32.87      0.00      6.09
 1492872266.05     0     36.63      0.00      5.63    12     33.50      0.00      5.97
 1492872266.15     0     41.23      0.00      5.50    12     36.69      0.00      6.13
 1492872266.25     0     42.72      0.00      5.37    12     37.47      0.00      5.95
 1492872266.35     0     41.49      0.00      5.41    12     36.25      0.00      5.77
 1492872266.45     0     42.51      0.00      5.37    12     37.25      0.00      5.78
 1492872266.55     0     45.71      0.00      5.64    12     39.33      0.00      6.11
 1492872266.65     0     46.15      0.00      5.69    12     39.61      0.00      6.29
 1492872266.75     0     42.13      0.00      5.45    12     37.08      0.00      5.88
 1492872266.85     0     42.53      0.00      5.43    12     37.66      0.00      5.79
 1492872266.95     0     44.87      0.00      5.82    12     38.70      0.00      6.63
 1492872267.05     0     45.26      0.00      5.54    12     38.99      0.00      6.05
 1492872267.15     0     42.73      0.00      5.29    12     36.71      0.00      5.86
 1492872267.25     0     43.43      0.00      5.28    12     37.65      0.00      5.62
 1492872267.35     0     46.18      0.00      5.77    12     39.57      0.00      5.98
 1492872267.45     0     45.97      0.00      5.59    12     39.40      0.00      6.22
 1492872267.55     0     43.47      0.00      5.61    12     37.24      0.00      5.88
 1492872267.65     0     43.17      0.00      5.39    12     37.77      0.00      5.82
 1492872267.75     0     45.61      0.00      5.64    12     39.17      0.00      6.21
 1492872267.85     0     46.29      0.00      5.75    12     39.74      0.00      6.23
 1492872267.95     0     42.87      0.00      5.45    12     37.29      0.00      5.67
 1492872268.05     0     43.51      0.00      5.30    12     37.79      0.00      5.80
 1492872268.15     0     46.17      0.00      5.68    12     39.63      0.00      6.26
 1492872268.25     0     46.33      0.00      5.61    12     39.82      0.00      6.19
 1492872268.35     0     42.29      0.00      5.38    12     36.77      0.00      5.71
 1492872268.45     0     42.90      0.00      5.66    12     37.82      0.00      5.95
 1492872268.55     0     45.16      0.00      5.39    12     38.84      0.00      5.87
 1492872268.66     0     45.80      0.00      5.77    12     39.44      0.00      6.16
 1492872268.76     0     42.55      0.00      5.42    12     36.96      0.00      5.98
 1492872268.86     0     43.54      0.00      5.42    12     37.82      0.00      5.81
 1492872268.96     0     46.57      0.00      5.69    12     39.68      0.00      6.17
 1492872269.06     0     45.25      0.00      5.51    12     38.87      0.00      6.20
 1492872269.16     0     43.05      0.00      5.49    12     37.11      0.00      6.02
 1492872269.26     0     44.03      0.00      5.51    12     38.22      0.00      5.78
 1492872269.36     0     45.70      0.00      5.75    12     39.41      0.00      5.92
 1492872269.46     0     45.19      0.00      5.61    12     39.36      0.00      6.06
 1492872269.56     0     43.40      0.00      5.40    12     36.80      0.00      5.84
 1492872269.66     0     43.75      0.00      5.39    12     38.31      0.00      6.04
 1492872269.76     0     46.04      0.00      5.72    12     39.54      0.00      6.31
 1492872269.86     0     45.68      0.00      5.64    12     39.54      0.00      6.18
 1492872269.96     0     42.37      0.00      5.50    12     37.08      0.00      5.74
 1492872270.06     0     42.46      0.00      5.29    12     37.61      0.00      5.80
 1492872270.16     0     45.63      0.00      5.75    12     39.22      0.00      6.30
 1492872270.26     0     45.44      0.00      5.56    12     39.30      0.00      6.24
 1492872270.36     0     42.42      0.00      5.45    12     36.92      0.00      5.79
 1492872270.46     0     42.11      0.00      5.43    12     37.30      0.00      5.75
 1492872270.56     0     45.83      0.00      5.61    12     39.43      0.00      6.38
 1492872270.66     0     46.09      0.00      5.67    12     39.49      0.00      5.97
 1492872270.76     0     42.46      0.00      5.43    12     36.74      0.00      5.93
 1492872270.86     0     42.86      0.00      5.41    12     37.74      0.00      5.86
 1492872270.96     0     45.87      0.00      5.68    12     39.32      0.00      6.21
 1492872271.06     0     45.09      0.00      5.69    12     39.06      0.00      5.97
 1492872271.16     0     42.88      0.00      5.45    12     37.27      0.00      5.97
 1492872271.26     0     43.31      0.00      5.42    12     37.97      0.00      5.81
 1492872271.36     0     45.56      0.00      5.62    12     39.31      0.00      6.30
 1492872271.46     0     46.02      0.00      5.73    12     39.74      0.00      5.88
 1492872271.56     0     42.43      0.00      5.46    12     37.15      0.00      5.94
 1492872271.66     0     42.25      0.00      5.63    12     37.10      0.00      5.91
 1492872271.76     0     44.87      0.00      5.77    12     38.76      0.00      5.81
 1492872271.86     0     46.30      0.00      5.57    12     39.68      0.00      6.15
 1492872271.96     0     42.61      0.00      5.55    12     37.16      0.00      5.83
 1492872272.06     0     42.78      0.00      5.57    12     37.72      0.00      5.90
 1492872272.16     0     45.15      0.00      5.82    12     39.05      0.00      6.00
 1492872272.26     0     46.02      0.00      5.65    12     39.51      0.00      6.17
 1492872272.36     0     42.40      0.00      5.48    12     36.86      0.00      5.78
 1492872272.46     0     43.07      0.00      5.39    12     37.83      0.00      5.70
 1492872272.56     0     46.03      0.00      5.92    12     39.46      0.00      6.05
 1492872272.66     0     45.21      0.00      5.58    12     39.15      0.00      6.20
 1492872272.76     0     42.65      0.00      5.49    12     37.06      0.00      5.64
 1492872272.86     0     43.28      0.00      5.31    12     38.03      0.00      5.72
 1492872272.96     0     46.05      0.00      5.61    12     39.53      0.00      6.10
 1492872273.06     0     45.14      0.00      5.63    12     39.10      0.00      5.92
 1492872273.16     0     42.73      0.00      5.49    12     36.78      0.00      5.78
 1492872273.26     0     43.76      0.00      5.47    12     38.04      0.00      5.67
 1492872273.36     0     46.28      0.00      5.85    12     39.86      0.00      6.18
 1492872273.46     0     45.76      0.00      5.66    12     39.27      0.00      5.95
 1492872273.56     0     42.36      0.00      5.61    12     37.06      0.00      5.81
 1492872273.66     0     43.40      0.00      5.48    12     37.85      0.00      5.61
 1492872273.76     0     46.32      0.00      6.02    12     39.60      0.00      6.30
 1492872273.86     0     45.57      0.00      5.73    12     39.51      0.00      5.92
 1492872273.96     0     42.88      0.00      5.58    12     37.04      0.00      5.68
 1492872274.06     0     43.21      0.00      5.27    12     37.74      0.00      5.80
 1492872274.16     0     46.01      0.00      5.90    12     39.25      0.00      5.79
 1492872274.26     0     45.81      0.00      5.67    12     39.36      0.00      6.00
 1492872274.36     0     42.53      0.00      5.35    12     36.69      0.00      5.62
 1492872274.46     0     43.31      0.00      5.51    12     37.95      0.00      5.77
 1492872274.56     0     45.90      0.00      5.85    12     39.23      0.00      5.89
 1492872274.66     0     46.63      0.00      5.56    12     39.68      0.00      5.97
 1492872274.76     0     42.50      0.00      5.64    12     37.40      0.00      5.89
 1492872274.86     0     42.49      0.00      5.46    12     37.54      0.00      5.75
 1492872274.96     0     45.52      0.00      5.94    12     39.20      0.00      6.03
 1492872275.06     0     46.15      0.00      5.98    12     39.77      0.00      5.91
 1492872275.16     0     43.01      0.00      5.58    12     37.37      0.00      5.73
 1492872275.26     0     42.89      0.00      5.71    12     37.69      0.00      5.56
 1492872275.36     0     45.12      0.00      5.67    12     39.05      0.00      5.74
 1492872275.46     0     45.89      0.00      5.77    12     39.63      0.00      5.98
 1492872275.56     0     42.78      0.00      5.56    12     37.20      0.00      5.81
 1492872275.66     0     42.97      0.00      5.46    12     37.66      0.00      5.59
 1492872275.76     0     44.41      0.00      5.64    12     38.53      0.00      5.87
 1492872275.86     0     46.09      0.00      5.98    12     39.83      0.00      6.17
 1492872275.96     0     43.00      0.00      5.57    12     37.51      0.00      5.81
 1492872276.06     0     42.45      0.00      5.43    12     37.48      0.00      5.63
 1492872276.16     0     45.32      0.00      5.74    12     39.11      0.00      5.95
 1492872276.26     0     46.23      0.00      5.73    12     39.86      0.00      6.08
 1492872276.36     0     43.41      0.00      5.70    12     37.66      0.00      5.82
 1492872276.46     0     42.28      0.00      5.33    12     37.37      0.00      5.60
 1492872276.56     0     45.32      0.00      5.62    12     39.12      0.00      5.93
 1492872276.66     0     44.12      0.00      5.57    12     38.79      0.00      5.80
 1492872276.76     0     43.13      0.00      5.53    12     37.45      0.00      5.88
 1492872276.87     0     44.68      0.00      5.58    12     38.58      0.00      5.85
 1492872276.97     0     46.74      0.00      5.81    12     39.78      0.00      6.06
 1492872277.07     0     45.03      0.00      5.94    12     39.02      0.00      5.68
 1492872277.17     0     43.03      0.00      5.40    12     37.16      0.00      5.58
 1492872277.27     0     44.86      0.00      5.55    12     38.56      0.00      5.77
 1492872277.37     0     46.25      0.00      5.71    12     39.82      0.00      6.22
 1492872277.47     0     44.70      0.00      5.62    12     38.61      0.00      5.75
 1492872277.57     0     42.71      0.00      5.50    12     37.22      0.00      5.64
 1492872277.67     0     44.39      0.00      5.58    12     38.41      0.00      5.83
