         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1494553259.85     0     20.50      0.00      4.14    12     22.21      0.00      4.36
 1494553259.95     0     27.06      0.00      4.43    12     25.89      0.00      4.09
 1494553260.05     0     29.60      0.00      4.63    12     28.05      0.00      4.17
 1494553260.15     0     31.87      0.00      5.26    12     30.19      0.00      4.58
 1494553260.25     0     41.31      0.00      5.43    12     40.88      0.00      5.37
 1494553260.35     0     46.18      0.00      4.99    12     45.47      0.00      5.19
 1494553260.45     0     46.60      0.00      5.19    12     47.08      0.00      5.12
 1494553260.55     0     46.61      0.00      5.16    12     47.75      0.00      5.11
 1494553260.65     0     46.56      0.00      5.25    12     47.28      0.00      5.12
 1494553260.75     0     46.43      0.00      5.02    12     46.97      0.00      5.10
 1494553260.85     0     46.53      0.00      5.03    12     47.54      0.00      5.05
 1494553260.95     0     46.75      0.00      4.78    12     47.52      0.00      4.88
 1494553261.05     0     46.44      0.00      5.27    12     47.32      0.00      5.12
 1494553261.15     0     46.88      0.00      5.40    12     47.84      0.00      5.40
 1494553261.25     0     46.23      0.00      5.15    12     47.08      0.00      5.14
 1494553261.35     0     46.47      0.00      5.21    12     47.61      0.00      5.09
 1494553261.45     0     46.20      0.00      4.89    12     46.87      0.00      4.98
 1494553261.55     0     43.72      0.00      5.03    12     44.20      0.00      5.17
 1494553261.65     0     45.08      0.00      5.19    12     45.38      0.00      5.17
 1494553261.75     0     45.86      0.00      5.15    12     47.03      0.00      5.05
 1494553261.85     0     44.13      0.00      5.01    12     44.74      0.00      5.05
 1494553261.95     0     41.78      0.00      4.84    12     41.71      0.00      4.95
 1494553262.05     0     45.02      0.00      5.14    12     45.06      0.00      5.13
 1494553262.15     0     44.48      0.00      5.25    12     45.43      0.00      5.19
 1494553262.25     0     45.69      0.00      5.13    12     46.20      0.00      5.09
 1494553262.35     0     46.17      0.00      5.06    12     46.62      0.00      5.10
 1494553262.45     0     46.30      0.00      5.14    12     47.05      0.00      5.11
 1494553262.55     0     46.72      0.00      5.06    12     47.35      0.00      5.07
 1494553262.65     0     46.62      0.00      5.16    12     47.34      0.00      5.11
 1494553262.75     0     46.76      0.00      5.13    12     47.45      0.00      5.14
 1494553262.85     0     46.47      0.00      5.08    12     47.04      0.00      5.04
 1494553262.95     0     46.58      0.00      5.19    12     47.36      0.00      5.15
 1494553263.05     0     46.63      0.00      4.96    12     47.30      0.00      5.02
 1494553263.15     0     46.83      0.00      5.05    12     47.50      0.00      5.07
 1494553263.25     0     46.68      0.00      5.05    12     47.17      0.00      5.03
 1494553263.35     0     46.77      0.00      5.00    12     47.40      0.00      5.06
 1494553263.45     0     46.75      0.00      5.08    12     47.54      0.00      5.09
 1494553263.55     0     46.57      0.00      5.08    12     47.42      0.00      5.01
 1494553263.65     0     46.51      0.00      5.18    12     47.08      0.00      5.06
 1494553263.75     0     46.74      0.00      5.20    12     47.37      0.00      5.08
 1494553263.85     0     46.57      0.00      5.07    12     47.32      0.00      5.13
 1494553263.95     0     46.46      0.00      5.13    12     47.43      0.00      5.10
 1494553264.05     0     46.38      0.00      5.05    12     46.54      0.00      5.08
 1494553264.15     0     46.65      0.00      5.23    12     47.24      0.00      5.16
 1494553264.25     0     46.71      0.00      5.07    12     47.48      0.00      5.01
 1494553264.35     0     46.61      0.00      5.06    12     47.24      0.00      5.09
 1494553264.45     0     46.92      0.00      5.16    12     47.65      0.00      5.09
 1494553264.55     0     46.81      0.00      5.16    12     46.88      0.00      5.08
 1494553264.65     0     46.77      0.00      5.14    12     47.50      0.00      5.10
 1494553264.75     0     46.66      0.00      5.12    12     47.04      0.00      5.08
 1494553264.85     0     46.62      0.00      5.17    12     47.29      0.00      5.04
 1494553264.95     0     46.71      0.00      5.14    12     47.07      0.00      5.10
 1494553265.05     0     46.82      0.00      5.07    12     47.58      0.00      5.11
 1494553265.15     0     46.91      0.00      5.17    12     47.60      0.00      5.16
 1494553265.25     0     46.68      0.00      5.14    12     47.29      0.00      5.15
 1494553265.35     0     46.63      0.00      5.05    12     47.44      0.00      5.06
 1494553265.45     0     46.56      0.00      5.01    12     47.49      0.00      5.09
 1494553265.55     0     46.44      0.00      4.99    12     47.03      0.00      5.00
 1494553265.65     0     46.60      0.00      5.11    12     46.94      0.00      5.06
 1494553265.75     0     46.64      0.00      5.10    12     47.40      0.00      5.08
 1494553265.85     0     46.67      0.00      5.16    12     47.18      0.00      4.96
 1494553265.95     0     46.72      0.00      5.16    12     47.38      0.00      5.03
 1494553266.05     0     46.52      0.00      5.07    12     47.39      0.00      5.09
 1494553266.15     0     46.52      0.00      5.12    12     46.91      0.00      5.09
 1494553266.25     0     46.65      0.00      5.11    12     47.11      0.00      5.18
 1494553266.35     0     46.51      0.00      5.00    12     47.01      0.00      4.99
 1494553266.45     0     46.61      0.00      5.24    12     47.19      0.00      5.05
 1494553266.55     0     46.52      0.00      4.90    12     47.42      0.00      4.97
 1494553266.65     0     46.92      0.00      5.11    12     47.69      0.00      5.10
 1494553266.75     0     46.03      0.00      5.22    12     46.60      0.00      5.20
 1494553266.85     0     46.69      0.00      5.12    12     46.87      0.00      5.13
 1494553266.95     0     46.73      0.00      5.12    12     47.36      0.00      5.07
 1494553267.05     0     46.82      0.00      5.12    12     47.43      0.00      5.15
 1494553267.15     0     46.82      0.00      5.02    12     47.42      0.00      5.14
 1494553267.25     0     46.92      0.00      5.05    12     47.50      0.00      5.02
 1494553267.35     0     46.65      0.00      5.10    12     47.40      0.00      5.08
 1494553267.45     0     46.79      0.00      5.06    12     47.48      0.00      5.09
 1494553267.55     0     46.74      0.00      5.11    12     47.50      0.00      5.05
 1494553267.65     0     46.66      0.00      5.04    12     46.89      0.00      5.13
 1494553267.75     0     46.72      0.00      5.04    12     47.24      0.00      4.97
 1494553267.85     0     46.91      0.00      5.11    12     47.44      0.00      5.13
 1494553267.95     0     46.78      0.00      5.18    12     47.44      0.00      5.06
 1494553268.05     0     46.47      0.00      5.10    12     47.01      0.00      5.08
 1494553268.15     0     46.32      0.00      5.03    12     46.72      0.00      5.03
 1494553268.25     0     46.39      0.00      4.92    12     47.21      0.00      5.07
 1494553268.35     0     46.78      0.00      5.12    12     47.27      0.00      5.12
 1494553268.45     0     46.71      0.00      5.05    12     47.36      0.00      5.14
 1494553268.55     0     46.72      0.00      4.90    12     47.33      0.00      4.98
 1494553268.65     0     46.79      0.00      5.10    12     47.48      0.00      5.14
 1494553268.75     0     45.76      0.00      4.87    12     46.52      0.00      5.02
 1494553268.85     0     46.69      0.00      5.12    12     47.21      0.00      5.07
 1494553268.95     0     46.76      0.00      5.23    12     47.52      0.00      5.15
 1494553269.05     0     46.59      0.00      5.15    12     47.50      0.00      5.14
 1494553269.15     0     46.70      0.00      5.10    12     47.36      0.00      5.05
 1494553269.25     0     45.85      0.00      5.07    12     46.97      0.00      5.13
 1494553269.35     0     46.11      0.00      5.07    12     46.31      0.00      5.15
 1494553269.45     0     46.66      0.00      5.06    12     46.43      0.00      5.09
 1494553269.55     0     46.12      0.00      4.96    12     46.45      0.00      5.05
 1494553269.65     0     46.05      0.00      4.99    12     46.65      0.00      5.10
 1494553269.75     0     45.90      0.00      5.08    12     46.43      0.00      5.07
 1494553269.85     0     46.16      0.00      5.13    12     46.36      0.00      5.13
 1494553269.95     0     46.23      0.00      5.16    12     46.61      0.00      5.20
 1494553270.06     0     46.15      0.00      4.85    12     46.60      0.00      5.06
 1494553270.16     0     46.20      0.00      5.14    12     46.13      0.00      5.18
 1494553270.26     0     46.03      0.00      5.18    12     45.99      0.00      5.01
 1494553270.36     0     45.73      0.00      5.19    12     46.21      0.00      5.12
 1494553270.46     0     46.13      0.00      5.08    12     46.85      0.00      5.07
 1494553270.56     0     46.18      0.00      5.09    12     46.53      0.00      5.05
 1494553270.66     0     46.15      0.00      4.99    12     46.05      0.00      5.07
 1494553270.76     0     45.13      0.00      4.97    12     44.72      0.00      4.91
 1494553270.86     0     46.49      0.00      5.10    12     47.07      0.00      5.02
 1494553270.96     0     46.67      0.00      5.21    12     46.95      0.00      5.21
 1494553271.06     0     46.71      0.00      5.25    12     47.24      0.00      5.11
 1494553271.16     0     46.85      0.00      5.12    12     47.42      0.00      5.10
 1494553271.26     0     46.96      0.00      5.11    12     46.92      0.00      5.18
 1494553271.36     0     46.85      0.00      5.03    12     48.01      0.00      5.06
 1494553271.46     0     46.77      0.00      4.97    12     47.23      0.00      5.01
 1494553271.56     0     46.53      0.00      5.09    12     46.98      0.00      5.02
 1494553271.66     0     46.60      0.00      4.96    12     46.64      0.00      5.03
 1494553271.76     0     46.83      0.00      5.15    12     47.27      0.00      5.14
 1494553271.86     0     46.75      0.00      4.92    12     46.83      0.00      4.95
 1494553271.96     0     46.63      0.00      5.12    12     46.87      0.00      5.09
 1494553272.06     0     46.50      0.00      5.10    12     46.48      0.00      5.05
 1494553272.16     0     46.44      0.00      5.13    12     46.94      0.00      5.16
 1494553272.26     0     46.68      0.00      5.02    12     47.50      0.00      5.11
 1494553272.36     0     46.76      0.00      5.02    12     47.38      0.00      5.13
 1494553272.46     0     46.75      0.00      5.00    12     47.17      0.00      5.12
 1494553272.56     0     46.83      0.00      5.11    12     47.42      0.00      5.03
 1494553272.66     0     46.61      0.00      5.11    12     47.28      0.00      5.13
 1494553272.76     0     46.56      0.00      5.06    12     46.78      0.00      5.08
 1494553272.86     0     46.72      0.00      5.03    12     47.43      0.00      5.10
 1494553272.96     0     46.65      0.00      5.07    12     47.61      0.00      5.04
 1494553273.06     0     46.79      0.00      5.04    12     46.49      0.00      5.00
 1494553273.16     0     46.84      0.00      5.25    12     47.40      0.00      5.14
 1494553273.26     0     46.75      0.00      5.06    12     47.44      0.00      5.14
 1494553273.36     0     46.80      0.00      5.03    12     47.45      0.00      5.01
 1494553273.46     0     46.82      0.00      5.09    12     47.18      0.00      5.12
 1494553273.56     0     46.78      0.00      5.14    12     47.43      0.00      5.12
 1494553273.66     0     46.68      0.00      5.07    12     46.69      0.00      5.16
 1494553273.76     0     46.44      0.00      5.12    12     46.83      0.00      5.12
 1494553273.86     0     46.75      0.00      5.03    12     47.10      0.00      4.91
 1494553273.96     0     46.68      0.00      5.04    12     47.50      0.00      5.10
 1494553274.06     0     46.68      0.00      4.94    12     46.64      0.00      5.14
 1494553274.16     0     46.74      0.00      5.12    12     47.20      0.00      5.17
 1494553274.26     0     46.66      0.00      5.15    12     47.06      0.00      5.04
 1494553274.36     0     46.67      0.00      5.10    12     46.39      0.00      5.04
 1494553274.46     0     46.73      0.00      5.18    12     47.31      0.00      5.10
 1494553274.56     0     46.74      0.00      5.08    12     47.09      0.00      5.14
 1494553274.66     0     47.02      0.00      5.11    12     47.57      0.00      5.08
 1494553274.76     0     46.79      0.00      5.16    12     47.18      0.00      5.10
 1494553274.86     0     46.85      0.00      4.94    12     47.33      0.00      5.05
 1494553274.96     0     46.62      0.00      5.01    12     46.80      0.00      5.09
 1494553275.06     0     46.84      0.00      4.95    12     47.18      0.00      5.16
 1494553275.16     0     46.84      0.00      5.03    12     47.05      0.00      5.12
 1494553275.26     0     46.71      0.00      5.28    12     47.26      0.00      5.01
 1494553275.36     0     46.88      0.00      5.19    12     47.30      0.00      5.04
 1494553275.46     0     46.56      0.00      5.20    12     46.59      0.00      5.11
 1494553275.56     0     46.71      0.00      5.13    12     47.33      0.00      5.02
 1494553275.66     0     46.87      0.00      5.04    12     47.56      0.00      5.06
 1494553275.76     0     46.74      0.00      5.04    12     47.22      0.00      5.11
 1494553275.86     0     46.49      0.00      4.89    12     46.74      0.00      5.05
 1494553275.96     0     46.74      0.00      5.08    12     47.60      0.00      5.14
 1494553276.06     0     46.72      0.00      5.09    12     47.47      0.00      5.06
 1494553276.16     0     46.60      0.00      5.10    12     46.67      0.00      5.05
 1494553276.26     0     45.98      0.00      5.25    12     45.41      0.00      4.99
 1494553276.36     0     45.95      0.00      5.14    12     45.64      0.00      5.03
 1494553276.46     0     46.19      0.00      5.06    12     46.52      0.00      5.11
 1494553276.56     0     46.04      0.00      5.10    12     46.40      0.00      5.09
 1494553276.66     0     46.48      0.00      5.18    12     46.93      0.00      5.10
 1494553276.76     0     46.08      0.00      5.39    12     46.47      0.00      5.30
 1494553276.86     0     46.58      0.00      5.01    12     46.41      0.00      4.91
 1494553276.96     0     46.80      0.00      5.13    12     47.43      0.00      5.21
 1494553277.06     0     46.55      0.00      4.89    12     46.95      0.00      5.08
 1494553277.16     0     46.77      0.00      5.07    12     47.34      0.00      5.05
 1494553277.26     0     46.75      0.00      5.26    12     46.55      0.00      4.96
 1494553277.36     0     47.07      0.00      5.16    12     47.46      0.00      5.17
 1494553277.46     0     46.82      0.00      5.00    12     47.41      0.00      5.19
 1494553277.56     0     46.75      0.00      5.11    12     47.44      0.00      5.20
 1494553277.66     0     46.81      0.00      5.02    12     47.51      0.00      5.12
 1494553277.76     0     46.79      0.00      4.93    12     46.93      0.00      5.14
 1494553277.86     0     46.75      0.00      4.92    12     46.95      0.00      5.18
 1494553277.96     0     46.65      0.00      5.12    12     47.00      0.00      5.12
 1494553278.06     0     46.74      0.00      4.99    12     47.39      0.00      5.12
 1494553278.16     0     46.77      0.00      5.02    12     47.10      0.00      5.13
 1494553278.26     0     46.71      0.00      5.00    12     47.44      0.00      5.21
 1494553278.36     0     46.67      0.00      5.21    12     46.92      0.00      5.12
 1494553278.46     0     46.80      0.00      5.16    12     47.26      0.00      5.05
 1494553278.56     0     46.80      0.00      5.11    12     47.27      0.00      5.15
 1494553278.66     0     46.76      0.00      5.15    12     47.25      0.00      5.14
 1494553278.76     0     46.66      0.00      5.08    12     46.91      0.00      5.12
 1494553278.86     0     46.77      0.00      5.13    12     47.50      0.00      5.27
 1494553278.96     0     46.75      0.00      4.88    12     47.26      0.00      5.16
 1494553279.06     0     46.77      0.00      4.95    12     46.58      0.00      5.09
 1494553279.16     0     46.96      0.00      5.10    12     47.19      0.00      5.11
 1494553279.26     0     46.85      0.00      5.08    12     47.61      0.00      5.19
 1494553279.36     0     46.77      0.00      5.11    12     47.30      0.00      5.14
 1494553279.46     0     46.78      0.00      5.13    12     47.32      0.00      5.19
 1494553279.56     0     44.98      0.00      5.12    12     46.15      0.00      5.29
 1494553279.66     0     45.84      0.00      5.15    12     46.39      0.00      5.24
 1494553279.76     0     45.94      0.00      4.98    12     46.68      0.00      5.11
 1494553279.86     0     46.70      0.00      5.13    12     47.13      0.00      5.11
 1494553279.96     0     46.11      0.00      4.98    12     47.17      0.00      5.17
 1494553280.06     0     46.73      0.00      4.96    12     46.93      0.00      5.15
 1494553280.16     0     46.67      0.00      5.01    12     47.28      0.00      5.16
 1494553280.26     0     46.84      0.00      5.07    12     47.59      0.00      5.17
 1494553280.36     0     46.68      0.00      5.13    12     46.65      0.00      5.16
 1494553280.46     0     46.66      0.00      5.12    12     47.10      0.00      5.09
 1494553280.56     0     46.69      0.00      5.07    12     47.19      0.00      5.14
 1494553280.66     0     46.76      0.00      5.05    12     47.43      0.00      5.06
 1494553280.76     0     46.32      0.00      5.01    12     46.67      0.00      5.21
 1494553280.86     0     45.53      0.00      5.07    12     44.91      0.00      5.22
 1494553280.96     0     46.10      0.00      5.11    12     46.91      0.00      5.11
 1494553281.06     0     46.17      0.00      4.88    12     46.07      0.00      5.19
 1494553281.16     0     46.31      0.00      5.08    12     46.64      0.00      5.19
 1494553281.26     0     46.27      0.00      5.15    12     46.51      0.00      5.13
 1494553281.36     0     46.16      0.00      5.06    12     46.91      0.00      5.18
 1494553281.46     0     46.36      0.00      5.24    12     46.92      0.00      5.20
 1494553281.56     0     46.15      0.00      5.05    12     46.81      0.00      5.19
 1494553281.67     0     46.23      0.00      5.08    12     46.75      0.00      5.19
 1494553281.77     0     46.07      0.00      5.07    12     46.39      0.00      5.23
 1494553281.87     0     46.13      0.00      4.77    12     46.47      0.00      5.11
 1494553281.97     0     46.69      0.00      5.09    12     46.53      0.00      5.14
 1494553282.07     0     46.74      0.00      5.03    12     47.25      0.00      5.17
 1494553282.17     0     46.76      0.00      5.08    12     47.03      0.00      5.23
 1494553282.27     0     46.84      0.00      5.05    12     47.25      0.00      5.22
 1494553282.37     0     46.75      0.00      5.07    12     46.76      0.00      4.96
 1494553282.47     0     46.84      0.00      5.11    12     47.07      0.00      5.18
 1494553282.57     0     46.67      0.00      5.19    12     47.19      0.00      4.89
 1494553282.67     0     46.72      0.00      5.05    12     47.10      0.00      5.25
 1494553282.77     0     46.09      0.00      4.92    12     45.85      0.00      5.15
 1494553282.87     0     47.29      0.00      5.06    12     47.57      0.00      5.18
 1494553282.97     0     46.91      0.00      5.02    12     47.22      0.00      5.25
 1494553283.07     0     45.47      0.00      5.03    12     45.22      0.00      5.22
 1494553283.17     0     46.21      0.00      5.10    12     46.73      0.00      5.20
 1494553283.27     0     46.33      0.00      5.00    12     47.00      0.00      5.16
 1494553283.37     0     46.31      0.00      5.02    12     45.81      0.00      5.04
 1494553283.47     0     46.22      0.00      5.08    12     46.72      0.00      5.15
 1494553283.57     0     46.31      0.00      5.22    12     46.66      0.00      5.18
 1494553283.67     0     46.34      0.00      5.21    12     46.21      0.00      5.05
 1494553283.77     0     46.24      0.00      4.97    12     46.82      0.00      5.12
 1494553283.87     0     46.71      0.00      5.18    12     47.48      0.00      5.27
 1494553283.97     0     46.54      0.00      5.00    12     47.41      0.00      5.26
 1494553284.07     0     46.04      0.00      5.05    12     46.54      0.00      5.08
 1494553284.17     0     46.04      0.00      5.06    12     46.59      0.00      5.18
 1494553284.27     0     45.92      0.00      4.95    12     46.08      0.00      5.16
 1494553284.37     0     46.09      0.00      5.03    12     46.71      0.00      5.14
 1494553284.47     0     45.89      0.00      5.17    12     46.50      0.00      5.14
 1494553284.57     0     45.78      0.00      5.29    12     46.12      0.00      5.06
 1494553284.67     0     45.06      0.00      5.12    12     45.00      0.00      5.21
 1494553284.77     0     45.49      0.00      5.08    12     45.75      0.00      5.13
 1494553284.87     0     45.82      0.00      5.10    12     45.74      0.00      5.21
 1494553284.97     0     46.20      0.00      5.06    12     45.80      0.00      5.15
 1494553285.07     0     46.15      0.00      5.04    12     47.03      0.00      5.16
 1494553285.17     0     46.20      0.00      4.89    12     47.03      0.00      5.19
 1494553285.27     0     46.19      0.00      5.00    12     46.81      0.00      5.18
 1494553285.37     0     46.31      0.00      5.08    12     46.69      0.00      5.05
 1494553285.47     0     46.19      0.00      5.01    12     46.36      0.00      5.11
 1494553285.57     0     46.24      0.00      5.13    12     46.76      0.00      5.14
 1494553285.67     0     46.18      0.00      5.20    12     46.69      0.00      5.11
 1494553285.77     0     46.00      0.00      5.09    12     46.30      0.00      5.25
 1494553285.87     0     46.22      0.00      5.02    12     46.71      0.00      5.08
 1494553285.97     0     46.15      0.00      5.20    12     46.03      0.00      5.17
 1494553286.07     0     46.14      0.00      5.10    12     46.94      0.00      5.11
 1494553286.17     0     46.26      0.00      4.98    12     47.07      0.00      5.16
 1494553286.27     0     46.21      0.00      4.95    12     46.75      0.00      5.15
 1494553286.37     0     46.60      0.00      4.99    12     47.51      0.00      5.16
 1494553286.47     0     46.62      0.00      5.02    12     46.96      0.00      5.17
 1494553286.57     0     46.76      0.00      5.03    12     47.23      0.00      5.04
 1494553286.67     0     46.68      0.00      5.23    12     47.38      0.00      5.21
 1494553286.77     0     46.55      0.00      5.05    12     47.23      0.00      5.19
 1494553286.87     0     46.68      0.00      5.02    12     46.66      0.00      5.18
 1494553286.97     0     46.86      0.00      5.06    12     47.72      0.00      5.19
 1494553287.07     0     46.92      0.00      4.86    12     47.52      0.00      5.35
 1494553287.17     0     46.85      0.00      4.99    12     47.49      0.00      5.18
 1494553287.27     0     46.80      0.00      5.03    12     47.37      0.00      5.12
 1494553287.37     0     46.76      0.00      5.02    12     47.55      0.00      5.15
 1494553287.47     0     46.81      0.00      5.02    12     47.34      0.00      5.23
 1494553287.57     0     46.74      0.00      5.06    12     46.61      0.00      5.01
 1494553287.67     0     46.87      0.00      5.19    12     47.35      0.00      5.09
 1494553287.77     0     46.77      0.00      5.05    12     47.55      0.00      5.25
 1494553287.87     0     46.78      0.00      5.14    12     47.65      0.00      5.20
 1494553287.97     0     46.64      0.00      5.10    12     47.30      0.00      5.15
 1494553288.07     0     46.79      0.00      4.96    12     47.32      0.00      5.13
 1494553288.17     0     46.65      0.00      5.06    12     47.46      0.00      5.27
 1494553288.27     0     46.69      0.00      5.10    12     47.35      0.00      5.10
 1494553288.37     0     46.78      0.00      4.97    12     47.50      0.00      5.19
 1494553288.47     0     46.68      0.00      5.00    12     47.49      0.00      5.19
 1494553288.57     0     46.72      0.00      5.09    12     47.65      0.00      5.13
 1494553288.67     0     46.63      0.00      5.05    12     47.44      0.00      5.23
 1494553288.77     0     46.70      0.00      5.21    12     46.13      0.00      5.17
 1494553288.87     0     46.70      0.00      5.10    12     47.15      0.00      5.11
 1494553288.97     0     46.69      0.00      5.07    12     46.76      0.00      5.22
 1494553289.07     0     46.79      0.00      5.20    12     47.22      0.00      5.13
 1494553289.17     0     46.71      0.00      5.03    12     47.57      0.00      5.18
 1494553289.27     0     46.67      0.00      5.08    12     47.36      0.00      5.16
