         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1492809611.42     0     25.18      0.00      6.09    12     26.03      0.00      6.32
 1492809611.52     0     43.04      0.00      9.69    12     44.20      0.00     10.51
 1492809611.62     0     49.25      0.00     11.03    12     48.51      0.00     11.88
 1492809611.72     0     51.29      0.00     11.22    12     50.19      0.00     11.69
 1492809611.82     0     51.06      0.00     10.14    12     52.05      0.00     11.30
 1492809611.92     0     53.99      0.00     11.50    12     54.89      0.00     11.59
 1492809612.02     0     53.11      0.00     11.05    12     55.25      0.00     11.34
 1492809612.12     0     56.05      0.00     10.86    12     56.18      0.00     11.27
 1492809612.22     0     57.35      0.00     10.81    12     56.97      0.00     11.40
 1492809612.32     0     58.59      0.00     10.21    12     58.60      0.00     10.84
 1492809612.42     0     61.31      0.00     11.46    12     60.83      0.00     11.55
 1492809612.52     0     62.87      0.00     10.63    12     60.44      0.00     10.92
 1492809612.62     0     62.06      0.00     10.90    12     60.22      0.00     11.24
 1492809612.72     0     62.46      0.00     10.67    12     61.94      0.00     11.15
 1492809612.82     0     63.15      0.00     10.77    12     61.08      0.00     10.90
 1492809612.92     0     63.15      0.00     10.83    12     61.81      0.00     11.61
 1492809613.02     0     65.85      0.00     11.55    12     65.53      0.00     11.74
 1492809613.12     0     64.06      0.00     10.56    12     63.22      0.00     10.90
 1492809613.22     0     69.70      0.00     11.67    12     68.72      0.00     11.82
 1492809613.33     0     68.09      0.00     10.71    12     65.38      0.00     10.92
 1492809613.43     0     68.98      0.00     11.70    12     67.07      0.00     11.69
 1492809613.53     0     69.70      0.00     10.91    12     67.99      0.00     11.44
 1492809613.63     0     69.12      0.00     10.27    12     68.36      0.00     11.22
 1492809613.73     0     69.18      0.00     11.17    12     68.47      0.00     11.75
 1492809613.83     0     64.22      0.00      9.82    12     64.83      0.00     10.88
 1492809613.93     0     68.18      0.00     11.49    12     67.66      0.00     11.48
 1492809614.03     0     68.24      0.00     10.83    12     67.00      0.00     11.32
 1492809614.13     0     70.57      0.00     11.33    12     68.02      0.00     11.41
 1492809614.23     0     69.97      0.00     10.88    12     67.56      0.00     11.12
 1492809614.33     0     71.47      0.00     11.72    12     70.35      0.00     11.80
 1492809614.43     0     67.35      0.00     10.63    12     65.76      0.00     11.08
 1492809614.53     0     70.68      0.00     11.01    12     69.25      0.00     11.98
 1492809614.63     0     70.27      0.00     10.75    12     68.23      0.00     11.52
 1492809614.73     0     69.85      0.00     10.78    12     69.19      0.00     11.15
 1492809614.83     0     68.42      0.00      9.78    12     67.39      0.00     10.79
 1492809614.93     0     69.55      0.00     10.46    12     68.25      0.00     11.22
 1492809615.03     0     67.94      0.00     10.96    12     65.91      0.00     10.97
 1492809615.13     0     69.81      0.00     11.22    12     69.09      0.00     11.68
 1492809615.23     0     69.39      0.00     11.05    12     68.17      0.00     11.64
 1492809615.33     0     70.19      0.00     10.78    12     67.84      0.00     11.90
 1492809615.43     0     69.18      0.00     11.08    12     67.14      0.00     11.39
 1492809615.53     0     70.67      0.00     10.82    12     68.37      0.00     11.43
 1492809615.63     0     68.86      0.00     10.71    12     67.79      0.00     11.09
 1492809615.73     0     68.40      0.00     10.76    12     66.77      0.00     11.34
 1492809615.83     0     69.40      0.00     10.52    12     66.36      0.00     11.51
 1492809615.93     0     72.11      0.00     11.06    12     69.33      0.00     11.45
 1492809616.04     0     70.00      0.00     10.62    12     69.22      0.00     11.58
 1492809616.14     0     70.01      0.00     10.57    12     68.48      0.00     11.21
 1492809616.24     0     70.94      0.00     11.26    12     69.51      0.00     11.60
 1492809616.34     0     66.80      0.00     10.30    12     66.22      0.00     10.95
 1492809616.44     0     66.66      0.00     11.01    12     67.23      0.00     11.62
 1492809616.54     0     67.44      0.00     11.44    12     66.40      0.00     11.33
 1492809616.64     0     66.01      0.00     10.09    12     65.98      0.00     10.99
 1492809616.74     0     65.02      0.00     10.08    12     64.65      0.00     11.07
 1492809616.84     0     67.17      0.00     11.22    12     66.62      0.00     12.15
 1492809616.94     0     67.72      0.00     11.37    12     65.85      0.00     11.15
 1492809617.04     0     67.88      0.00     10.06    12     65.95      0.00     11.21
 1492809617.14     0     67.50      0.00     10.87    12     67.69      0.00     11.24
 1492809617.24     0     66.00      0.00     10.38    12     66.14      0.00     11.33
 1492809617.34     0     62.60      0.00     10.59    12     63.70      0.00     11.64
 1492809617.44     0     63.20      0.00     10.20    12     63.29      0.00     11.23
 1492809617.54     0     65.11      0.00     10.51    12     66.02      0.00     11.21
 1492809617.64     0     64.11      0.00     10.04    12     64.12      0.00     10.99
 1492809617.74     0     63.81      0.00     10.73    12     65.35      0.00     11.75
 1492809617.84     0     64.59      0.00     11.13    12     62.72      0.00     11.25
 1492809617.94     0     67.01      0.00     10.86    12     65.71      0.00     11.24
 1492809618.04     0     66.06      0.00     10.76    12     65.41      0.00     10.98
 1492809618.14     0     64.68      0.00     10.67    12     63.91      0.00     10.98
 1492809618.24     0     65.50      0.00     10.48    12     64.45      0.00     12.04
 1492809618.34     0     64.61      0.00      9.93    12     65.04      0.00     11.17
 1492809618.45     0     64.87      0.00     10.10    12     64.69      0.00     10.62
 1492809618.55     0     64.87      0.00     10.73    12     65.14      0.00     11.06
 1492809618.65     0     65.87      0.00     10.59    12     64.95      0.00     11.61
 1492809618.75     0     64.94      0.00      9.72    12     63.70      0.00     11.20
 1492809618.85     0     65.19      0.00     10.90    12     65.09      0.00     11.23
 1492809618.95     0     63.40      0.00     10.60    12     64.64      0.00     11.15
 1492809619.05     0     65.13      0.00     10.45    12     66.19      0.00     12.03
 1492809619.15     0     65.12      0.00     10.37    12     66.27      0.00     11.45
 1492809619.25     0     65.76      0.00     10.41    12     65.80      0.00     11.95
 1492809619.35     0     64.79      0.00     10.88    12     64.11      0.00     11.01
 1492809619.45     0     62.75      0.00     10.99    12     62.74      0.00     10.61
 1492809619.55     0     64.17      0.00     10.66    12     63.18      0.00     11.56
 1492809619.65     0     64.88      0.00     10.74    12     63.95      0.00     11.37
 1492809619.75     0     66.37      0.00     10.20    12     64.62      0.00     11.47
 1492809619.85     0     67.67      0.00     10.73    12     64.96      0.00     11.00
 1492809619.95     0     66.32      0.00     10.31    12     65.98      0.00     11.33
 1492809620.05     0     65.69      0.00     10.83    12     64.01      0.00     10.76
 1492809620.15     0     65.27      0.00     10.94    12     64.35      0.00     11.40
 1492809620.25     0     63.81      0.00     10.87    12     63.43      0.00     11.45
 1492809620.35     0     60.53      0.00     10.71    12     60.47      0.00     10.54
 1492809620.45     0     63.66      0.00      9.98    12     63.29      0.00     11.45
 1492809620.55     0     63.34      0.00     10.29    12     62.48      0.00     11.37
 1492809620.65     0     62.66      0.00     11.02    12     62.36      0.00     11.08
 1492809620.75     0     61.29      0.00     11.30    12     59.68      0.00     10.27
 1492809620.85     0     60.57      0.00     10.31    12     60.67      0.00     10.95
 1492809620.95     0     62.85      0.00     10.69    12     62.57      0.00     11.23
 1492809621.05     0     63.85      0.00     10.26    12     63.10      0.00     10.85
 1492809621.15     0     64.86      0.00     10.73    12     64.22      0.00     11.34
 1492809621.25     0     63.19      0.00     10.83    12     63.55      0.00     11.45
 1492809621.35     0     63.27      0.00     11.41    12     62.65      0.00     10.82
