         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1493103148.80     0     20.76      0.00      4.92    12     24.54      0.00      5.49
 1493103148.90     0     25.04      0.00      5.97    12     24.38      0.00      4.34
 1493103149.00     0     29.82      0.00      6.50    12     28.01      0.00      4.00
 1493103149.10     0     29.80      0.00      6.44    12     28.08      0.00      3.90
 1493103149.20     0     29.82      0.00      6.47    12     28.08      0.00      4.00
 1493103149.30     0     29.53      0.00      4.57    12     27.97      0.00      3.96
 1493103149.40     0     29.50      0.00      4.77    12     27.97      0.00      3.90
 1493103149.50     0     29.54      0.00      4.49    12     28.27      0.00      3.97
 1493103149.60     0     29.54      0.00      4.63    12     27.99      0.00      3.93
 1493103149.70     0     29.82      0.00      4.74    12     27.99      0.00      3.99
 1493103149.81     0     29.52      0.00      4.49    12     27.98      0.00      4.03
 1493103149.91     0     29.56      0.00      4.68    12     27.99      0.00      3.99
 1493103150.01     0     29.53      0.00      4.66    12     28.03      0.00      4.00
 1493103150.11     0     29.56      0.00      4.52    12     28.00      0.00      3.94
 1493103150.21     0     29.56      0.00      4.72    12     28.01      0.00      3.87
 1493103150.31     0     29.52      0.00      4.48    12     27.97      0.00      3.94
 1493103150.41     0     29.54      0.00      4.66    12     28.01      0.00      3.93
 1493103150.51     0     28.63      0.00      5.11    12     27.72      0.00      4.42
 1493103150.61     0     15.15      0.00      2.21    12     17.29      0.00      2.38
 1493103150.71     0     14.71      0.00      2.45    12     17.56      0.00      2.90
 1493103150.81     0     17.49      0.00      3.41    12     19.26      0.00      3.65
