         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1493650596.81     0     22.59      0.00      4.53    12     21.68      0.00      4.90
 1493650596.91     0     32.99      0.00      6.21    12     31.94      0.00      6.60
 1493650597.01     0     35.74      0.00      7.14    12     35.12      0.00      7.94
 1493650597.11     0     32.56      0.00      5.66    12     30.75      0.00      6.05
 1493650597.21     0     33.88      0.00      6.17    12     31.86      0.00      6.76
 1493650597.31     0     35.04      0.00      6.48    12     32.62      0.00      6.69
 1493650597.41     0     33.87      0.00      6.00    12     31.14      0.00      6.41
 1493650597.51     0     34.07      0.00      6.14    12     31.34      0.00      6.39
 1493650597.61     0     35.93      0.00      6.34    12     32.85      0.00      6.94
 1493650597.71     0     35.68      0.00      6.19    12     32.61      0.00      6.60
 1493650597.81     0     34.71      0.00      6.05    12     31.73      0.00      6.32
 1493650597.91     0     34.47      0.00      6.04    12     31.38      0.00      6.40
 1493650598.01     0     35.88      0.00      6.49    12     32.87      0.00      6.95
 1493650598.11     0     35.57      0.00      6.28    12     32.32      0.00      6.65
 1493650598.21     0     34.57      0.00      6.16    12     31.70      0.00      6.41
 1493650598.31     0     34.52      0.00      6.40    12     32.13      0.00      6.58
 1493650598.41     0     35.68      0.00      6.67    12     32.77      0.00      6.94
 1493650598.51     0     35.33      0.00      6.10    12     31.91      0.00      6.13
 1493650598.61     0     34.71      0.00      5.95    12     31.66      0.00      6.25
 1493650598.71     0     35.37      0.00      6.36    12     32.05      0.00      6.65
 1493650598.81     0     36.16      0.00      6.50    12     33.18      0.00      6.87
 1493650598.91     0     35.18      0.00      6.01    12     31.91      0.00      6.26
 1493650599.01     0     34.64      0.00      5.95    12     31.51      0.00      6.36
 1493650599.12     0     35.41      0.00      6.25    12     32.34      0.00      6.64
 1493650599.22     0     36.28      0.00      6.50    12     33.06      0.00      6.87
 1493650599.32     0     34.87      0.00      6.08    12     31.82      0.00      6.36
 1493650599.42     0     34.61      0.00      5.87    12     31.62      0.00      6.35
 1493650599.52     0     35.42      0.00      6.52    12     32.36      0.00      6.83
 1493650599.62     0     36.03      0.00      6.40    12     33.20      0.00      6.73
 1493650599.72     0     34.80      0.00      6.00    12     31.95      0.00      6.21
 1493650599.82     0     34.24      0.00      5.69    12     31.40      0.00      6.17
 1493650599.92     0     36.23      0.00      6.72    12     33.43      0.00      6.78
 1493650600.02     0     35.83      0.00      6.27    12     32.63      0.00      6.44
 1493650600.12     0     34.77      0.00      6.16    12     31.93      0.00      6.40
 1493650600.22     0     34.35      0.00      5.97    12     32.00      0.00      6.60
 1493650600.32     0     36.52      0.00      6.63    12     33.42      0.00      6.79
 1493650600.42     0     35.32      0.00      6.19    12     32.44      0.00      6.22
