         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1494213341.04     0     23.54      0.00      5.14    12     22.58      0.00      4.91
 1494213341.14     0     27.04      0.00      6.13    12     23.66      0.00      3.88
 1494213341.24     0     31.89      0.00      4.46    12     26.79      0.00      3.63
 1494213341.34     0     32.55      0.00      4.84    12     27.18      0.00      3.76
 1494213341.44     0     32.50      0.00      4.40    12     27.22      0.00      3.65
 1494213341.54     0     33.15      0.00      5.99    12     27.27      0.00      3.72
 1494213341.64     0     33.28      0.00      6.18    12     27.46      0.00      3.66
 1494213341.74     0     33.62      0.00      6.20    12     27.89      0.00      3.79
 1494213341.84     0     32.99      0.00      6.06    12     27.64      0.00      3.60
 1494213341.94     0     33.62      0.00      6.16    12     27.28      0.00      3.73
 1494213342.04     0     33.26      0.00      6.02    12     27.25      0.00      3.55
 1494213342.14     0     32.45      0.00      4.47    12     27.25      0.00      3.71
 1494213342.24     0     32.42      0.00      4.40    12     27.14      0.00      3.76
 1494213342.34     0     32.42      0.00      4.38    12     27.21      0.00      3.74
 1494213342.45     0     32.42      0.00      4.32    12     27.17      0.00      3.73
 1494213342.55     0     32.41      0.00      4.35    12     27.20      0.00      3.70
 1494213342.65     0     32.43      0.00      4.36    12     27.22      0.00      3.75
 1494213342.75     0     32.40      0.00      4.35    12     27.18      0.00      3.72
 1494213342.85     0     32.48      0.00      4.36    12     27.15      0.00      3.65
 1494213342.95     0     32.41      0.00      4.37    12     27.16      0.00      3.61
 1494213343.05     0     32.39      0.00      4.33    12     27.19      0.00      3.62
 1494213343.15     0     32.41      0.00      4.27    12     27.48      0.00      3.79
 1494213343.25     0     32.74      0.00      4.42    12     27.22      0.00      3.66
 1494213343.35     0     32.44      0.00      4.34    12     27.17      0.00      3.72
 1494213343.45     0     32.43      0.00      4.37    12     27.17      0.00      3.77
 1494213343.55     0     32.43      0.00      4.32    12     27.17      0.00      3.71
 1494213343.65     0     32.40      0.00      4.32    12     27.19      0.00      3.73
 1494213343.75     0     32.45      0.00      4.33    12     27.21      0.00      3.71
 1494213343.85     0     32.39      0.00      4.36    12     27.16      0.00      3.64
 1494213343.95     0     32.50      0.00      4.36    12     27.19      0.00      3.75
 1494213344.05     0     32.42      0.00      4.33    12     27.17      0.00      3.72
 1494213344.15     0     32.40      0.00      4.37    12     27.18      0.00      3.69
 1494213344.25     0     32.44      0.00      4.28    12     27.20      0.00      3.68
 1494213344.35     0     32.40      0.00      4.28    12     27.47      0.00      3.69
 1494213344.45     0     32.43      0.00      4.33    12     26.98      0.00      3.68
 1494213344.55     0     32.43      0.00      4.32    12     27.47      0.00      3.76
 1494213344.65     0     32.77      0.00      4.36    12     27.21      0.00      3.65
 1494213344.75     0     32.42      0.00      4.37    12     27.21      0.00      3.64
 1494213344.85     0     32.41      0.00      4.36    12     27.19      0.00      3.72
 1494213344.95     0     32.43      0.00      4.36    12     27.20      0.00      3.68
 1494213345.05     0     32.46      0.00      4.36    12     27.22      0.00      3.67
 1494213345.15     0     32.43      0.00      4.36    12     27.18      0.00      3.71
 1494213345.25     0     32.43      0.00      4.32    12     27.15      0.00      3.68
 1494213345.35     0     32.41      0.00      4.36    12     27.17      0.00      3.73
 1494213345.45     0     32.43      0.00      4.37    12     27.19      0.00      3.69
 1494213345.55     0     32.44      0.00      4.38    12     27.21      0.00      3.77
 1494213345.65     0     32.39      0.00      4.32    12     27.15      0.00      3.79
 1494213345.75     0     32.44      0.00      4.32    12     27.17      0.00      3.66
 1494213345.85     0     32.45      0.00      4.36    12     27.49      0.00      3.77
 1494213345.95     0     32.42      0.00      4.32    12     27.19      0.00      3.60
 1494213346.05     0     32.77      0.00      4.41    12     27.18      0.00      3.69
 1494213346.15     0     32.46      0.00      4.37    12     27.18      0.00      3.61
 1494213346.25     0     32.39      0.00      4.36    12     27.15      0.00      3.72
 1494213346.35     0     32.43      0.00      4.37    12     27.22      0.00      3.68
 1494213346.45     0     32.46      0.00      4.31    12     27.16      0.00      3.68
 1494213346.55     0     32.40      0.00      4.38    12     27.17      0.00      3.69
 1494213346.65     0     32.43      0.00      4.36    12     27.22      0.00      3.76
 1494213346.75     0     32.44      0.00      4.36    12     27.18      0.00      3.68
 1494213346.85     0     32.41      0.00      4.32    12     27.17      0.00      3.74
