         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1494021969.39     0     24.33      0.00      5.55    12     24.32      0.00      6.09
 1494021969.49     0     40.49      0.00     10.42    12     40.26      0.00     10.72
 1494021969.59     0     45.21      0.00     10.85    12     42.69      0.00     11.42
 1494021969.69     0     46.07      0.00     11.80    12     43.59      0.00     11.95
 1494021969.79     0     47.23      0.00     10.92    12     44.45      0.00     12.13
 1494021969.89     0     48.17      0.00     11.13    12     45.21      0.00     12.64
 1494021969.99     0     48.13      0.00     12.21    12     45.20      0.00     12.25
 1494021970.09     0     49.84      0.00     11.81    12     46.82      0.00     12.60
 1494021970.19     0     49.57      0.00     11.72    12     46.94      0.00     12.34
 1494021970.29     0     49.61      0.00     12.08    12     46.37      0.00     12.73
 1494021970.39     0     48.93      0.00     11.91    12     45.92      0.00     12.79
 1494021970.50     0     49.66      0.00     11.37    12     46.94      0.00     12.76
 1494021970.60     0     50.58      0.00     11.99    12     47.01      0.00     11.93
 1494021970.70     0     50.75      0.00     11.40    12     46.80      0.00     12.02
 1494021970.80     0     51.62      0.00     12.30    12     49.44      0.00     13.15
 1494021970.90     0     51.16      0.00     11.13    12     49.09      0.00     12.01
 1494021971.00     0     52.38      0.00     12.34    12     49.68      0.00     11.75
 1494021971.10     0     50.90      0.00     11.82    12     48.41      0.00     11.68
 1494021971.20     0     52.77      0.00     12.72    12     49.69      0.00     12.91
 1494021971.30     0     51.83      0.00     12.11    12     49.52      0.00     12.29
 1494021971.40     0     52.77      0.00     12.58    12     51.99      0.00     12.71
 1494021971.50     0     55.43      0.00     11.75    12     52.33      0.00     12.54
 1494021971.60     0     55.71      0.00     11.65    12     52.90      0.00     12.42
 1494021971.70     0     55.62      0.00     12.07    12     52.96      0.00     12.62
 1494021971.80     0     55.00      0.00     11.68    12     53.03      0.00     12.56
 1494021971.90     0     54.91      0.00     12.03    12     52.52      0.00     12.35
 1494021972.00     0     56.82      0.00     12.59    12     53.83      0.00     12.64
 1494021972.10     0     56.07      0.00     12.25    12     53.35      0.00     11.79
 1494021972.20     0     55.14      0.00     11.55    12     53.40      0.00     12.11
 1494021972.30     0     57.06      0.00     12.46    12     55.59      0.00     12.41
 1494021972.40     0     54.75      0.00     11.73    12     53.75      0.00     11.53
 1494021972.50     0     57.05      0.00     12.48    12     54.60      0.00     12.14
 1494021972.60     0     56.05      0.00     12.15    12     55.44      0.00     12.90
 1494021972.70     0     54.86      0.00     11.10    12     53.91      0.00     12.18
 1494021972.80     0     54.76      0.00     10.79    12     52.52      0.00     11.97
 1494021972.90     0     56.02      0.00     12.03    12     53.76      0.00     12.28
 1494021973.00     0     56.83      0.00     12.19    12     54.06      0.00     12.52
 1494021973.10     0     56.41      0.00     12.08    12     54.84      0.00     11.72
 1494021973.20     0     55.53      0.00     11.85    12     54.36      0.00     12.30
 1494021973.30     0     55.83      0.00     12.08    12     53.33      0.00     11.70
 1494021973.40     0     57.32      0.00     12.27    12     55.77      0.00     13.22
 1494021973.50     0     57.55      0.00     12.80    12     56.01      0.00     12.54
 1494021973.60     0     56.86      0.00     11.94    12     55.91      0.00     12.22
 1494021973.70     0     57.50      0.00     11.94    12     55.95      0.00     12.55
 1494021973.80     0     57.82      0.00     11.96    12     54.86      0.00     12.52
 1494021973.90     0     57.22      0.00     11.39    12     54.00      0.00     11.91
 1494021974.00     0     57.44      0.00     12.85    12     55.30      0.00     12.03
 1494021974.10     0     56.56      0.00     12.11    12     55.33      0.00     12.06
 1494021974.20     0     56.22      0.00     12.13    12     53.72      0.00     11.80
 1494021974.30     0     55.26      0.00     12.55    12     53.30      0.00     12.35
 1494021974.40     0     55.69      0.00     12.14    12     52.71      0.00     11.91
 1494021974.50     0     56.21      0.00     12.20    12     53.41      0.00     12.61
 1494021974.60     0     55.39      0.00     11.79    12     52.88      0.00     12.17
 1494021974.70     0     56.48      0.00     11.45    12     54.16      0.00     12.61
 1494021974.80     0     55.77      0.00     11.61    12     53.58      0.00     11.76
 1494021974.90     0     55.62      0.00     12.40    12     53.70      0.00     11.68
 1494021975.00     0     57.22      0.00     12.51    12     54.95      0.00     12.79
 1494021975.10     0     54.80      0.00     11.92    12     52.78      0.00     11.22
 1494021975.20     0     56.07      0.00     11.82    12     53.78      0.00     12.70
 1494021975.31     0     55.43      0.00     11.05    12     52.46      0.00     12.12
 1494021975.41     0     56.65      0.00     12.05    12     53.77      0.00     12.74
 1494021975.51     0     56.43      0.00     11.54    12     53.57      0.00     12.47
 1494021975.61     0     55.89      0.00     12.19    12     53.02      0.00     12.13
 1494021975.71     0     56.36      0.00     11.58    12     53.30      0.00     12.38
 1494021975.81     0     55.17      0.00     11.27    12     53.70      0.00     12.20
 1494021975.91     0     56.64      0.00     11.69    12     54.32      0.00     12.74
 1494021976.01     0     56.82      0.00     11.44    12     53.85      0.00     12.93
 1494021976.11     0     56.64      0.00     11.43    12     53.27      0.00     12.52
 1494021976.21     0     56.67      0.00     11.90    12     53.46      0.00     12.30
 1494021976.31     0     57.12      0.00     12.07    12     53.39      0.00     12.07
 1494021976.41     0     57.34      0.00     12.02    12     54.00      0.00     11.94
 1494021976.51     0     56.45      0.00     11.12    12     53.26      0.00     12.17
 1494021976.61     0     57.69      0.00     11.76    12     55.47      0.00     12.84
 1494021976.71     0     57.25      0.00     11.63    12     55.33      0.00     12.82
 1494021976.81     0     56.25      0.00     11.37    12     53.98      0.00     11.79
 1494021976.91     0     56.12      0.00     12.03    12     54.29      0.00     12.79
 1494021977.01     0     56.56      0.00     11.09    12     54.16      0.00     12.74
 1494021977.11     0     57.58      0.00     12.20    12     55.11      0.00     12.65
 1494021977.21     0     56.43      0.00     11.47    12     53.97      0.00     11.60
 1494021977.31     0     57.53      0.00     11.88    12     54.28      0.00     11.40
 1494021977.41     0     57.98      0.00     12.31    12     55.34      0.00     12.33
 1494021977.51     0     56.11      0.00     11.93    12     53.67      0.00     11.55
 1494021977.61     0     56.32      0.00     11.96    12     54.96      0.00     12.81
 1494021977.71     0     57.48      0.00     11.61    12     55.44      0.00     12.95
 1494021977.81     0     56.34      0.00     11.14    12     54.26      0.00     12.43
 1494021977.91     0     57.00      0.00     11.65    12     55.53      0.00     12.02
 1494021978.01     0     56.00      0.00     10.96    12     53.90      0.00     12.41
 1494021978.11     0     57.47      0.00     12.57    12     55.76      0.00     12.61
 1494021978.21     0     56.34      0.00     11.82    12     54.73      0.00     12.17
 1494021978.31     0     57.31      0.00     12.09    12     54.68      0.00     11.55
 1494021978.41     0     57.24      0.00     12.79    12     56.08      0.00     12.62
 1494021978.51     0     55.59      0.00     11.75    12     55.28      0.00     12.10
 1494021978.61     0     56.91      0.00     11.89    12     55.61      0.00     12.02
 1494021978.71     0     56.77      0.00     11.85    12     55.40      0.00     12.96
 1494021978.81     0     55.50      0.00     10.70    12     53.51      0.00     12.08
 1494021978.91     0     56.83      0.00     12.19    12     55.04      0.00     12.45
 1494021979.01     0     56.16      0.00     11.65    12     54.19      0.00     12.73
 1494021979.11     0     55.70      0.00     11.87    12     54.03      0.00     11.83
 1494021979.21     0     56.86      0.00     12.42    12     54.48      0.00     12.32
 1494021979.31     0     55.51      0.00     12.09    12     53.58      0.00     11.20
 1494021979.41     0     57.10      0.00     12.12    12     54.40      0.00     12.43
 1494021979.51     0     56.77      0.00     11.42    12     54.39      0.00     11.88
 1494021979.61     0     56.80      0.00     11.30    12     55.50      0.00     11.66
 1494021979.71     0     56.47      0.00     11.18    12     54.68      0.00     11.59
 1494021979.81     0     57.32      0.00     11.29    12     54.64      0.00     12.18
 1494021979.91     0     57.81      0.00     12.03    12     55.29      0.00     12.20
