         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1494020454.52     0     23.46      0.00      5.84    12     23.89      0.00      5.52
 1494020454.62     0     26.09      0.00      6.49    12     24.49      0.00      4.10
 1494020454.72     0     31.05      0.00      6.71    12     27.73      0.00      3.99
 1494020454.82     0     32.56      0.00      7.45    12     28.21      0.00      4.00
 1494020454.92     0     32.53      0.00      7.58    12     28.21      0.00      4.05
 1494020455.02     0     32.26      0.00      7.99    12     28.24      0.00      3.97
 1494020455.12     0     32.19      0.00      8.20    12     28.25      0.00      4.08
 1494020455.22     0     32.56      0.00      8.15    12     28.26      0.00      4.02
 1494020455.32     0     32.04      0.00      7.01    12     28.26      0.00      4.03
 1494020455.42     0     31.73      0.00      6.84    12     28.24      0.00      4.05
 1494020455.52     0     31.53      0.00      6.81    12     28.20      0.00      4.00
 1494020455.62     0     31.56      0.00      7.11    12     28.23      0.00      4.08
 1494020455.72     0     31.51      0.00      6.84    12     28.51      0.00      4.18
 1494020455.82     0     31.84      0.00      6.97    12     28.24      0.00      3.96
 1494020455.92     0     31.57      0.00      6.89    12     28.27      0.00      4.05
 1494020456.03     0     31.59      0.00      6.94    12     28.23      0.00      4.02
 1494020456.13     0     31.58      0.00      6.88    12     28.23      0.00      3.97
 1494020456.23     0     31.54      0.00      6.94    12     28.25      0.00      3.96
 1494020456.33     0     31.62      0.00      6.64    12     28.22      0.00      3.93
 1494020456.43     0     31.54      0.00      6.92    12     28.22      0.00      4.09
 1494020456.53     0     31.57      0.00      6.97    12     28.28      0.00      4.03
 1494020456.63     0     31.51      0.00      7.06    12     28.23      0.00      4.09
 1494020456.73     0     31.53      0.00      6.96    12     28.23      0.00      4.08
 1494020456.83     0     31.57      0.00      6.93    12     28.49      0.00      4.14
 1494020456.93     0     31.60      0.00      6.92    12     28.26      0.00      4.04
 1494020457.03     0     31.55      0.00      6.94    12     28.22      0.00      4.03
 1494020457.13     0     31.86      0.00      6.91    12     28.22      0.00      3.97
 1494020457.23     0     31.34      0.00      6.90    12     28.22      0.00      3.93
 1494020457.33     0     31.85      0.00      6.96    12     28.24      0.00      3.97
 1494020457.43     0     31.53      0.00      6.90    12     28.26      0.00      4.01
 1494020457.53     0     31.55      0.00      6.80    12     28.26      0.00      4.02
 1494020457.63     0     31.54      0.00      6.95    12     28.27      0.00      3.99
 1494020457.73     0     31.54      0.00      7.07    12     28.23      0.00      4.07
 1494020457.83     0     31.52      0.00      6.90    12     28.24      0.00      4.07
 1494020457.93     0     31.57      0.00      6.87    12     28.25      0.00      4.11
 1494020458.03     0     31.56      0.00      6.94    12     28.27      0.00      4.06
 1494020458.13     0     31.57      0.00      6.91    12     28.22      0.00      4.09
 1494020458.23     0     31.58      0.00      6.90    12     28.51      0.00      4.08
 1494020458.33     0     31.62      0.00      6.84    12     28.25      0.00      3.99
 1494020458.43     0     31.53      0.00      6.92    12     28.21      0.00      3.78
 1494020458.53     0     31.92      0.00      6.86    12     28.24      0.00      4.03
 1494020458.63     0     31.60      0.00      6.94    12     28.24      0.00      3.93
 1494020458.73     0     31.57      0.00      6.90    12     28.29      0.00      4.01
 1494020458.83     0     31.56      0.00      7.13    12     28.24      0.00      4.04
 1494020458.93     0     31.57      0.00      6.91    12     28.23      0.00      4.06
 1494020459.03     0     31.53      0.00      6.78    12     28.25      0.00      4.07
 1494020459.13     0     31.52      0.00      6.80    12     28.24      0.00      4.08
 1494020459.23     0     31.59      0.00      6.92    12     28.24      0.00      4.12
 1494020459.33     0     31.60      0.00      7.10    12     28.51      0.00      4.00
 1494020459.43     0     32.27      0.00      8.24    12     28.26      0.00      4.00
 1494020459.53     0     32.18      0.00      8.21    12     28.23      0.00      4.06
 1494020459.63     0     32.02      0.00      7.91    12     28.24      0.00      4.01
 1494020459.73     0     31.18      0.00      6.99    12     28.21      0.00      4.05
 1494020459.83     0     31.47      0.00      7.08    12     28.22      0.00      3.97
 1494020459.93     0     31.18      0.00      7.09    12     28.21      0.00      3.95
 1494020460.03     0     31.19      0.00      7.07    12     28.21      0.00      4.01
 1494020460.13     0     31.18      0.00      6.96    12     28.22      0.00      4.01
 1494020460.23     0     31.19      0.00      7.08    12     28.23      0.00      3.95
 1494020460.33     0     31.16      0.00      7.01    12     28.22      0.00      4.00
 1494020460.43     0     31.19      0.00      6.97    12     28.22      0.00      4.10
 1494020460.53     0     31.14      0.00      7.02    12     28.21      0.00      3.95
 1494020460.63     0     31.18      0.00      6.98    12     28.49      0.00      3.99
 1494020460.73     0     31.18      0.00      7.02    12     28.22      0.00      4.01
 1494020460.83     0     31.17      0.00      6.99    12     28.23      0.00      3.95
 1494020460.93     0     31.19      0.00      7.02    12     28.27      0.00      4.06
 1494020461.03     0     31.19      0.00      7.09    12     28.21      0.00      4.07
 1494020461.13     0     31.16      0.00      6.97    12     28.25      0.00      4.10
 1494020461.23     0     31.47      0.00      7.16    12     28.22      0.00      4.09
 1494020461.33     0     31.15      0.00      7.01    12     28.23      0.00      3.99
 1494020461.43     0     31.15      0.00      6.92    12     28.20      0.00      3.98
 1494020461.53     0     31.18      0.00      6.99    12     28.21      0.00      4.02
 1494020461.63     0     31.15      0.00      7.01    12     28.23      0.00      4.04
 1494020461.73     0     31.16      0.00      7.03    12     28.21      0.00      3.98
 1494020461.83     0     31.11      0.00      6.94    12     28.48      0.00      4.06
 1494020461.93     0     31.16      0.00      6.86    12     28.23      0.00      3.94
 1494020462.04     0     31.14      0.00      7.09    12     28.20      0.00      4.03
 1494020462.14     0     31.13      0.00      7.01    12     28.22      0.00      4.04
 1494020462.24     0     31.15      0.00      7.05    12     28.20      0.00      3.90
 1494020462.34     0     31.15      0.00      6.98    12     28.24      0.00      4.06
 1494020462.44     0     31.17      0.00      7.05    12     28.21      0.00      3.98
 1494020462.54     0     31.20      0.00      7.11    12     28.19      0.00      3.88
 1494020462.64     0     31.16      0.00      7.00    12     28.19      0.00      3.98
 1494020462.74     0     31.48      0.00      7.10    12     28.15      0.00      3.96
 1494020462.84     0     31.17      0.00      7.00    12     28.21      0.00      3.99
 1494020462.94     0     31.17      0.00      7.02    12     28.18      0.00      4.02
 1494020463.04     0     31.17      0.00      6.91    12     28.16      0.00      4.02
 1494020463.14     0     35.25      0.00      6.49    12     34.46      0.00      4.86
 1494020463.24     0     43.84      0.00      8.10    12     46.23      0.00      5.17
 1494020463.34     0     51.42      0.00      8.19    12     50.88      0.00      5.00
 1494020463.44     0     52.91      0.00      8.65    12     51.65      0.00      5.02
 1494020463.54     0     53.03      0.00      9.01    12     51.63      0.00      5.00
 1494020463.64     0     52.90      0.00      9.11    12     51.68      0.00      5.10
 1494020463.74     0     52.88      0.00      9.07    12     51.72      0.00      5.12
 1494020463.84     0     51.93      0.00      9.02    12     50.08      0.00      4.88
 1494020463.94     0     47.64      0.00     12.83    12     46.83      0.00      5.00
 1494020464.04     0     46.68      0.00     14.26    12     47.19      0.00      5.03
 1494020464.14     0     43.22      0.00     13.95    12     49.91      0.00      5.09
 1494020464.24     0     42.68      0.00     14.38    12     48.34      0.00      4.96
 1494020464.34     0     44.37      0.00     14.16    12     49.09      0.00      5.04
 1494020464.44     0     53.42      0.00     13.53    12     49.92      0.00      4.96
 1494020464.54     0     50.69      0.00     13.09    12     49.07      0.00      5.00
 1494020464.64     0     32.31      0.00      7.52    12     28.35      0.00      4.03
 1494020464.74     0     33.04      0.00      7.52    12     28.32      0.00      4.09
 1494020464.84     0     32.66      0.00      7.49    12     28.30      0.00      4.07
 1494020464.94     0     32.68      0.00      7.41    12     28.28      0.00      3.98
 1494020465.04     0     32.72      0.00      7.54    12     28.58      0.00      4.13
 1494020465.14     0     32.69      0.00      7.25    12     28.28      0.00      3.92
 1494020465.24     0     32.75      0.00      6.89    12     28.27      0.00      4.11
 1494020465.34     0     33.36      0.00      5.05    12     28.23      0.00      3.99
 1494020465.44     0     33.26      0.00      4.73    12     28.24      0.00      4.04
 1494020465.54     0     33.23      0.00      4.89    12     28.25      0.00      4.02
 1494020465.64     0     32.76      0.00      6.53    12     28.29      0.00      3.96
 1494020465.74     0     32.98      0.00      5.11    12     28.17      0.00      4.08
 1494020465.84     0     33.24      0.00      5.02    12     28.20      0.00      3.97
 1494020465.94     0     33.09      0.00      4.80    12     28.19      0.00      4.07
 1494020466.04     0     33.17      0.00      5.00    12     28.24      0.00      3.99
 1494020466.14     0     32.93      0.00      6.92    12     28.25      0.00      3.96
 1494020466.24     0     33.24      0.00      5.25    12     28.23      0.00      3.99
 1494020466.34     0     33.35      0.00      4.87    12     28.22      0.00      4.07
 1494020466.44     0     32.72      0.00      5.05    12     28.51      0.00      4.01
 1494020466.54     0     37.10      0.00      8.60    12     32.15      0.00      4.56
 1494020466.64     0     71.48      0.00     19.65    12     57.82      0.00      7.12
 1494020466.74     0     37.32      0.00     13.43    12     55.30      0.00      6.90
 1494020466.84     0     45.67      0.00     14.71    12     43.59      0.00      7.64
 1494020466.94     0     50.76      0.00     16.54    12     53.63      0.00      6.88
 1494020467.04     0     36.52      0.00     12.79    12     49.48      0.00      5.72
 1494020467.14     0     53.65      0.00      6.61    12     53.12      0.00      5.93
 1494020467.24     0     54.17      0.00      6.32    12     53.14      0.00      5.83
 1494020467.34     0     53.71      0.00      6.35    12     53.64      0.00      5.84
 1494020467.44     0     53.80      0.00      6.56    12     53.36      0.00      6.05
 1494020467.55     0     53.78      0.00      6.44    12     53.23      0.00      5.93
 1494020467.65     0     53.88      0.00      6.66    12     53.28      0.00      5.92
 1494020467.75     0     53.70      0.00      6.69    12     53.23      0.00      5.93
 1494020467.85     0     53.86      0.00      6.70    12     53.34      0.00      6.01
 1494020467.95     0     53.86      0.00      6.64    12     53.41      0.00      5.94
 1494020468.05     0     53.84      0.00      6.65    12     53.35      0.00      5.80
 1494020468.15     0     53.81      0.00      6.45    12     53.39      0.00      5.84
 1494020468.25     0     53.81      0.00      6.26    12     53.42      0.00      5.91
 1494020468.35     0     53.88      0.00      6.26    12     53.49      0.00      5.91
 1494020468.45     0     53.99      0.00      6.37    12     53.36      0.00      5.95
 1494020468.55     0     53.78      0.00      6.31    12     53.99      0.00      6.00
 1494020468.65     0     54.29      0.00      6.40    12     53.47      0.00      5.92
 1494020468.75     0     53.23      0.00      6.27    12     53.45      0.00      5.91
 1494020468.85     0     54.37      0.00      6.41    12     53.41      0.00      5.88
 1494020468.95     0     53.74      0.00      6.26    12     53.56      0.00      5.87
