         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1494025565.15     0     22.48      0.00      4.04    12     21.46      0.00      4.37
 1494025565.25     0     28.89      0.00      6.01    12     24.92      0.00      3.85
 1494025565.35     0     31.11      0.00      6.26    12     26.46      0.00      3.71
 1494025565.45     0     31.02      0.00      6.28    12     26.41      0.00      3.74
 1494025565.55     0     31.85      0.00      6.69    12     26.46      0.00      3.64
 1494025565.65     0     33.22      0.00      6.17    12     26.98      0.00      3.90
 1494025565.76     0     39.46      0.00     11.09    12     32.60      0.00      4.50
 1494025565.86     0     46.85      0.00     13.73    12     47.05      0.00      4.99
 1494025565.96     0     51.94      0.00     14.08    12     52.36      0.00      4.95
 1494025566.06     0     53.14      0.00     14.21    12     51.98      0.00      4.86
 1494025566.16     0     52.96      0.00     13.68    12     52.03      0.00      4.90
 1494025566.26     0     53.27      0.00     13.63    12     52.05      0.00      4.90
 1494025566.36     0     53.94      0.00     13.63    12     52.55      0.00      4.93
 1494025566.46     0     54.09      0.00     13.79    12     51.96      0.00      4.92
 1494025566.56     0     53.59      0.00     13.88    12     52.06      0.00      4.89
 1494025566.66     0     51.45      0.00     11.64    12     48.83      0.00      6.80
 1494025566.76     0     53.43      0.00     12.43    12     50.01      0.00      7.14
 1494025566.86     0     56.49      0.00     14.12    12     53.22      0.00      7.48
 1494025566.96     0     55.94      0.00     14.01    12     52.73      0.00      7.46
 1494025567.06     0     55.51      0.00     13.34    12     51.91      0.00      7.23
 1494025567.16     0     56.20      0.00     14.03    12     52.97      0.00      7.55
 1494025567.26     0     56.56      0.00     14.33    12     53.02      0.00      7.54
 1494025567.36     0     56.51      0.00     13.74    12     53.78      0.00      7.62
 1494025567.46     0     55.50      0.00     13.22    12     51.71      0.00      7.95
 1494025567.56     0     54.82      0.00      9.04    12     47.75      0.00      9.81
 1494025567.66     0     55.39      0.00      9.64    12     48.29      0.00     10.02
 1494025567.76     0     62.71      0.00     13.01    12     54.14      0.00     11.28
 1494025567.86     0     63.01      0.00     11.93    12     55.17      0.00     12.97
 1494025567.96     0     64.58      0.00     12.13    12     58.33      0.00     12.84
 1494025568.06     0     67.21      0.00     13.00    12     58.09      0.00     12.35
 1494025568.16     0     66.53      0.00     12.13    12     59.35      0.00     12.30
 1494025568.26     0     66.27      0.00     12.62    12     60.42      0.00     12.75
 1494025568.36     0     66.38      0.00     12.68    12     60.67      0.00     12.55
 1494025568.46     0     67.53      0.00     12.67    12     60.60      0.00     12.58
 1494025568.56     0     67.79      0.00     12.27    12     59.00      0.00     12.93
 1494025568.66     0     67.51      0.00     12.20    12     57.50      0.00     12.31
 1494025568.76     0     67.98      0.00     12.12    12     59.73      0.00     11.98
 1494025568.86     0     68.20      0.00     12.79    12     60.51      0.00     12.34
