         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1494258323.13     0     22.42      0.00      5.10    12     23.37      0.00      4.96
 1494258323.23     0     31.92      0.00      6.44    12     33.76      0.00      6.29
 1494258323.33     0     35.50      0.00      6.81    12     37.52      0.00      6.79
 1494258323.43     0     33.79      0.00      6.15    12     33.35      0.00      6.36
 1494258323.53     0     35.50      0.00      6.01    12     33.02      0.00      6.35
 1494258323.63     0     39.50      0.00      6.44    12     38.39      0.00      6.76
 1494258323.73     0     43.11      0.00      6.36    12     40.52      0.00      6.56
 1494258323.83     0     43.80      0.00      6.15    12     40.42      0.00      6.37
 1494258323.93     0     42.76      0.00      5.77    12     41.24      0.00      6.31
 1494258324.03     0     43.49      0.00      5.74    12     41.81      0.00      5.77
 1494258324.13     0     46.80      0.00      6.01    12     44.49      0.00      6.46
 1494258324.23     0     46.84      0.00      6.20    12     44.49      0.00      6.55
 1494258324.33     0     43.96      0.00      6.56    12     39.76      0.00      6.17
 1494258324.43     0     46.07      0.00      6.90    12     43.58      0.00      5.93
 1494258324.53     0     42.15      0.00      6.02    12     39.95      0.00      5.61
 1494258324.63     0     46.69      0.00      6.79    12     44.69      0.00      5.89
 1494258324.73     0     47.24      0.00      6.27    12     44.71      0.00      5.77
 1494258324.83     0     46.08      0.00      6.50    12     43.04      0.00      5.87
 1494258324.93     0     42.34      0.00      6.20    12     41.25      0.00      5.57
 1494258325.03     0     44.48      0.00      6.56    12     41.72      0.00      5.80
 1494258325.13     0     46.27      0.00      6.44    12     43.56      0.00      5.84
 1494258325.23     0     47.23      0.00      6.66    12     44.51      0.00      5.78
 1494258325.33     0     46.77      0.00      6.68    12     44.56      0.00      6.00
 1494258325.43     0     44.14      0.00      6.23    12     41.66      0.00      5.75
 1494258325.53     0     43.50      0.00      6.22    12     40.84      0.00      5.79
 1494258325.63     0     45.02      0.00      5.87    12     42.29      0.00      5.76
 1494258325.73     0     46.70      0.00      6.80    12     44.43      0.00      5.94
 1494258325.83     0     47.35      0.00      6.59    12     44.62      0.00      6.04
 1494258325.93     0     46.77      0.00      6.36    12     44.09      0.00      5.99
 1494258326.03     0     44.33      0.00      5.98    12     41.61      0.00      5.52
 1494258326.13     0     44.46      0.00      6.01    12     41.84      0.00      5.70
 1494258326.24     0     46.06      0.00      6.12    12     43.47      0.00      5.83
 1494258326.34     0     47.47      0.00      6.75    12     44.83      0.00      5.99
 1494258326.44     0     47.72      0.00      6.83    12     44.90      0.00      5.94
 1494258326.54     0     44.06      0.00      6.09    12     41.81      0.00      5.70
 1494258326.64     0     44.83      0.00      6.21    12     42.24      0.00      5.56
 1494258326.74     0     44.95      0.00      6.26    12     42.28      0.00      5.76
 1494258326.84     0     46.99      0.00      6.81    12     44.65      0.00      6.15
 1494258326.94     0     47.00      0.00      6.14    12     44.88      0.00      5.98
 1494258327.04     0     44.78      0.00      6.49    12     42.19      0.00      5.94
 1494258327.14     0     43.89      0.00      6.18    12     41.17      0.00      5.70
 1494258327.24     0     44.39      0.00      5.90    12     41.15      0.00      5.80
 1494258327.34     0     46.26      0.00      6.59    12     44.14      0.00      5.90
 1494258327.44     0     46.83      0.00      6.93    12     44.55      0.00      5.93
 1494258327.54     0     46.29      0.00      6.70    12     43.69      0.00      5.89
 1494258327.64     0     44.27      0.00      6.08    12     42.11      0.00      5.80
 1494258327.74     0     44.47      0.00      6.10    12     41.84      0.00      5.73
 1494258327.84     0     44.63      0.00      6.49    12     42.19      0.00      5.80
 1494258327.94     0     47.13      0.00      6.77    12     44.73      0.00      5.98
 1494258328.04     0     47.07      0.00      6.20    12     44.93      0.00      5.90
 1494258328.14     0     45.25      0.00      6.69    12     43.26      0.00      5.96
 1494258328.24     0     44.46      0.00      5.96    12     41.57      0.00      5.70
 1494258328.34     0     45.11      0.00      6.42    12     42.19      0.00      5.70
 1494258328.44     0     46.33      0.00      6.33    12     44.36      0.00      5.76
 1494258328.54     0     47.35      0.00      6.81    12     45.08      0.00      5.95
 1494258328.64     0     47.41      0.00      6.58    12     45.16      0.00      6.06
 1494258328.74     0     45.07      0.00      6.02    12     42.35      0.00      5.53
 1494258328.84     0     43.93      0.00      6.23    12     41.66      0.00      5.70
 1494258328.94     0     44.30      0.00      6.02    12     42.34      0.00      5.65
 1494258329.04     0     47.22      0.00      6.56    12     45.13      0.00      5.99
 1494258329.14     0     47.04      0.00      6.48    12     45.04      0.00      6.06
 1494258329.24     0     45.47      0.00      5.78    12     42.83      0.00      5.96
 1494258329.34     0     44.65      0.00      6.28    12     41.96      0.00      5.69
 1494258329.44     0     44.92      0.00      5.97    12     42.27      0.00      5.71
 1494258329.54     0     46.97      0.00      6.33    12     44.40      0.00      5.93
 1494258329.64     0     47.54      0.00      6.90    12     44.33      0.00      6.00
 1494258329.74     0     47.12      0.00      6.61    12     44.39      0.00      5.84
 1494258329.84     0     44.32      0.00      6.03    12     41.89      0.00      5.70
 1494258329.94     0     44.20      0.00      5.92    12     41.82      0.00      5.69
