         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1494859903.53     0     18.77      0.00      3.64    12     18.24      0.00      3.88
 1494859903.63     0     32.46      0.00      6.03    12     31.98      0.00      7.03
 1494859903.73     0     35.53      0.00      6.55    12     33.65      0.00      6.96
 1494859903.84     0     34.69      0.00      5.40    12     32.03      0.00      5.97
 1494859903.94     0     38.18      0.00      5.70    12     32.95      0.00      6.09
 1494859904.04     0     39.57      0.00      5.55    12     29.61      0.00      6.01
 1494859904.14     0     42.88      0.00      5.55    12     33.45      0.00      5.70
 1494859904.24     0     46.40      0.00      5.79    12     37.00      0.00      6.23
 1494859904.34     0     43.43      0.00      5.50    12     33.04      0.00      5.69
 1494859904.44     0     43.35      0.00      5.44    12     30.56      0.00      5.20
 1494859904.54     0     46.13      0.00      6.01    12     36.50      0.00      6.57
 1494859904.64     0     46.18      0.00      5.93    12     36.30      0.00      6.25
 1494859904.74     0     39.81      0.00      5.51    12     29.41      0.00      5.32
 1494859904.84     0     45.37      0.00      5.74    12     34.76      0.00      5.52
 1494859904.94     0     46.84      0.00      6.34    12     36.57      0.00      5.84
 1494859905.04     0     44.54      0.00      5.80    12     33.51      0.00      5.36
 1494859905.14     0     42.43      0.00      5.32    12     30.06      0.00      4.94
 1494859905.24     0     47.21      0.00      5.74    12     36.79      0.00      5.76
 1494859905.34     0     45.96      0.00      5.90    12     35.21      0.00      5.57
 1494859905.44     0     42.91      0.00      5.60    12     30.90      0.00      5.06
 1494859905.54     0     44.69      0.00      5.67    12     33.59      0.00      5.35
 1494859905.64     0     46.70      0.00      5.81    12     36.39      0.00      5.75
 1494859905.74     0     46.42      0.00      6.15    12     35.47      0.00      5.93
 1494859905.84     0     41.47      0.00      5.63    12     31.50      0.00      5.19
 1494859905.94     0     44.78      0.00      5.71    12     33.07      0.00      5.37
 1494859906.04     0     47.68      0.00      6.68    12     36.57      0.00      5.88
 1494859906.14     0     47.10      0.00      6.01    12     36.09      0.00      5.70
 1494859906.24     0     44.18      0.00      5.62    12     31.99      0.00      5.67
 1494859906.34     0     44.48      0.00      5.42    12     32.29      0.00      5.15
 1494859906.44     0     46.99      0.00      6.05    12     36.04      0.00      5.88
 1494859906.54     0     47.42      0.00      5.97    12     36.66      0.00      5.84
 1494859906.64     0     45.82      0.00      5.97    12     34.81      0.00      5.91
 1494859906.74     0     43.35      0.00      5.59    12     32.74      0.00      5.15
 1494859906.84     0     43.92      0.00      5.56    12     33.54      0.00      5.56
 1494859906.94     0     47.80      0.00      5.92    12     36.51      0.00      5.81
 1494859907.04     0     48.25      0.00      6.18    12     36.98      0.00      5.93
 1494859907.14     0     45.87      0.00      6.13    12     34.89      0.00      5.98
 1494859907.24     0     45.11      0.00      5.86    12     32.98      0.00      5.51
 1494859907.34     0     44.86      0.00      5.80    12     33.90      0.00      5.67
 1494859907.44     0     47.57      0.00      6.08    12     36.15      0.00      5.81
 1494859907.54     0     47.84      0.00      5.93    12     36.86      0.00      5.88
 1494859907.64     0     46.89      0.00      5.91    12     35.88      0.00      5.90
 1494859907.74     0     44.48      0.00      5.68    12     32.48      0.00      5.41
 1494859907.84     0     45.99      0.00      5.84    12     33.08      0.00      5.29
 1494859907.94     0     48.48      0.00      5.88    12     36.33      0.00      5.41
 1494859908.04     0     48.81      0.00      5.92    12     36.72      0.00      5.72
 1494859908.14     0     46.85      0.00      5.91    12     34.14      0.00      5.47
 1494859908.24     0     45.79      0.00      5.96    12     32.38      0.00      5.49
 1494859908.34     0     46.53      0.00      5.78    12     34.08      0.00      5.35
 1494859908.44     0     49.06      0.00      6.14    12     37.08      0.00      5.96
 1494859908.54     0     48.84      0.00      6.16    12     36.95      0.00      5.89
 1494859908.64     0     45.45      0.00      5.42    12     33.34      0.00      5.59
 1494859908.74     0     45.61      0.00      5.68    12     33.05      0.00      5.66
 1494859908.84     0     47.80      0.00      5.89    12     36.46      0.00      5.80
 1494859908.94     0     48.69      0.00      6.05    12     36.84      0.00      5.84
 1494859909.04     0     47.25      0.00      6.17    12     35.96      0.00      5.72
 1494859909.14     0     45.37      0.00      5.67    12     32.16      0.00      5.30
 1494859909.24     0     45.51      0.00      5.90    12     33.06      0.00      5.25
 1494859909.34     0     48.98      0.00      6.10    12     36.63      0.00      5.80
 1494859909.44     0     48.95      0.00      5.77    12     36.66      0.00      5.72
 1494859909.54     0     46.19      0.00      5.61    12     34.25      0.00      5.40
 1494859909.64     0     46.24      0.00      5.94    12     33.18      0.00      5.60
 1494859909.74     0     47.88      0.00      5.67    12     35.77      0.00      5.63
 1494859909.84     0     49.10      0.00      6.18    12     36.97      0.00      5.67
 1494859909.94     0     46.58      0.00      5.84    12     35.37      0.00      5.52
 1494859910.04     0     45.57      0.00      5.63    12     31.77      0.00      5.18
 1494859910.15     0     46.67      0.00      5.80    12     34.12      0.00      5.73
 1494859910.25     0     49.48      0.00      5.99    12     37.63      0.00      6.03
 1494859910.35     0     48.66      0.00      6.04    12     37.40      0.00      5.88
 1494859910.45     0     45.58      0.00      5.53    12     32.96      0.00      5.56
 1494859910.55     0     46.05      0.00      5.80    12     33.56      0.00      5.63
 1494859910.65     0     49.07      0.00      6.25    12     37.02      0.00      5.76
 1494859910.75     0     49.27      0.00      5.96    12     36.98      0.00      5.85
 1494859910.85     0     40.57      0.00      5.45    12     32.22      0.00      5.20
 1494859910.95     0     45.26      0.00      5.65    12     32.49      0.00      5.65
 1494859911.05     0     47.41      0.00      5.89    12     36.28      0.00      5.76
 1494859911.15     0     48.23      0.00      6.13    12     36.86      0.00      6.02
 1494859911.25     0     43.96      0.00      5.86    12     33.22      0.00      5.71
 1494859911.35     0     43.78      0.00      5.52    12     32.58      0.00      5.59
 1494859911.45     0     46.67      0.00      5.87    12     35.39      0.00      5.58
 1494859911.55     0     48.09      0.00      5.98    12     37.18      0.00      5.96
 1494859911.65     0     47.18      0.00      6.09    12     36.97      0.00      6.08
 1494859911.75     0     43.94      0.00      5.57    12     33.02      0.00      5.64
 1494859911.85     0     45.33      0.00      5.72    12     32.62      0.00      5.53
 1494859911.95     0     48.14      0.00      6.13    12     36.75      0.00      5.80
 1494859912.05     0     48.80      0.00      6.02    12     36.99      0.00      6.03
 1494859912.15     0     46.48      0.00      5.57    12     34.82      0.00      5.82
 1494859912.25     0     45.24      0.00      5.39    12     31.84      0.00      5.13
 1494859912.35     0     46.95      0.00      5.88    12     35.51      0.00      5.77
 1494859912.45     0     48.81      0.00      6.27    12     37.07      0.00      5.98
 1494859912.55     0     47.33      0.00      5.81    12     35.50      0.00      5.79
 1494859912.65     0     44.50      0.00      5.56    12     31.42      0.00      5.15
 1494859912.75     0     47.03      0.00      5.62    12     34.59      0.00      5.66
 1494859912.85     0     48.61      0.00      6.12    12     37.30      0.00      6.23
 1494859912.95     0     47.03      0.00      5.90    12     36.57      0.00      6.05
 1494859913.05     0     45.05      0.00      5.60    12     31.87      0.00      5.62
 1494859913.15     0     46.06      0.00      5.79    12     33.51      0.00      5.31
 1494859913.25     0     48.98      0.00      5.84    12     36.99      0.00      6.05
 1494859913.35     0     49.00      0.00      5.93    12     37.08      0.00      6.27
 1494859913.45     0     45.45      0.00      5.92    12     33.87      0.00      5.58
 1494859913.55     0     45.72      0.00      5.70    12     33.56      0.00      5.58
 1494859913.65     0     47.43      0.00      5.86    12     35.52      0.00      5.80
