         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1494016173.22     0     27.83      0.00      5.21    12     26.22      0.00      5.40
 1494016173.32     0     45.14      0.00      6.48    12     40.51      0.00      7.02
 1494016173.42     0     52.66      0.00      6.51    12     49.43      0.00      6.74
 1494016173.52     0     55.46      0.00      6.65    12     50.83      0.00      6.96
 1494016173.62     0     56.76      0.00      6.70    12     51.55      0.00      6.88
 1494016173.72     0     56.49      0.00      6.69    12     51.56      0.00      7.11
 1494016173.82     0     57.87      0.00      6.81    12     52.53      0.00      7.32
 1494016173.92     0     57.25      0.00      6.54    12     51.96      0.00      6.96
 1494016174.02     0     57.39      0.00      7.00    12     53.06      0.00      7.08
 1494016174.12     0     57.86      0.00      7.12    12     52.18      0.00      7.08
 1494016174.22     0     58.89      0.00      7.26    12     53.79      0.00      7.31
 1494016174.32     0     57.07      0.00      7.02    12     51.99      0.00      7.21
 1494016174.42     0     56.64      0.00      7.36    12     51.53      0.00      6.72
 1494016174.52     0     55.38      0.00      6.62    12     50.32      0.00      5.92
 1494016174.62     0     58.55      0.00      7.81    12     53.03      0.00      6.55
 1494016174.72     0     56.08      0.00      7.24    12     51.31      0.00      6.35
 1494016174.82     0     58.26      0.00      7.64    12     53.29      0.00      6.26
 1494016174.92     0     57.28      0.00      7.59    12     51.90      0.00      6.12
 1494016175.02     0     59.50      0.00      7.98    12     54.51      0.00      6.47
 1494016175.12     0     56.47      0.00      7.73    12     51.59      0.00      6.17
 1494016175.22     0     58.21      0.00      7.98    12     53.17      0.00      6.39
 1494016175.32     0     57.58      0.00      8.08    12     52.69      0.00      6.42
 1494016175.42     0     57.00      0.00      7.41    12     51.75      0.00      6.20
 1494016175.52     0     58.17      0.00      7.75    12     53.42      0.00      6.46
 1494016175.62     0     57.30      0.00      7.71    12     52.28      0.00      6.26
 1494016175.72     0     57.82      0.00      7.59    12     53.37      0.00      6.46
 1494016175.82     0     56.41      0.00      7.20    12     51.45      0.00      6.03
 1494016175.92     0     57.48      0.00      7.64    12     53.51      0.00      6.66
 1494016176.02     0     57.93      0.00      7.37    12     52.61      0.00      6.35
 1494016176.12     0     55.65      0.00      7.59    12     51.26      0.00      6.50
 1494016176.23     0     57.86      0.00      8.01    12     53.26      0.00      6.30
 1494016176.33     0     55.54      0.00      7.82    12     51.45      0.00      6.26
 1494016176.43     0     57.78      0.00      8.22    12     53.60      0.00      6.21
 1494016176.53     0     55.41      0.00      7.91    12     50.46      0.00      6.18
 1494016176.63     0     57.52      0.00      7.32    12     53.49      0.00      6.40
 1494016176.73     0     56.46      0.00      7.80    12     52.32      0.00      6.26
 1494016176.83     0     56.91      0.00      7.04    12     52.54      0.00      6.17
 1494016176.93     0     56.46      0.00      7.82    12     51.67      0.00      6.22
 1494016177.03     0     57.40      0.00      7.68    12     52.89      0.00      6.44
 1494016177.13     0     57.83      0.00      8.07    12     53.40      0.00      6.60
 1494016177.23     0     55.68      0.00      7.41    12     50.85      0.00      6.25
 1494016177.33     0     59.31      0.00      8.11    12     54.07      0.00      6.23
