         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1494023390.72     0     22.35      0.00      3.95    12     19.00      0.00      4.37
 1494023390.82     0     38.72      0.00      6.30    12     33.60      0.00      5.47
 1494023390.92     0     45.72      0.00      6.81    12     41.32      0.00      6.41
 1494023391.02     0     45.77      0.00      7.02    12     42.12      0.00      6.31
 1494023391.12     0     46.32      0.00      6.97    12     41.26      0.00      6.66
 1494023391.22     0     46.02      0.00      6.54    12     42.06      0.00      6.04
 1494023391.32     0     46.69      0.00      7.25    12     42.40      0.00      6.63
 1494023391.42     0     46.20      0.00      6.86    12     42.29      0.00      6.24
 1494023391.52     0     46.62      0.00      7.57    12     42.59      0.00      6.71
 1494023391.62     0     45.95      0.00      6.65    12     42.00      0.00      6.07
 1494023391.72     0     45.78      0.00      6.97    12     41.18      0.00      6.52
 1494023391.82     0     45.41      0.00      6.88    12     41.00      0.00      6.29
 1494023391.92     0     45.14      0.00      7.03    12     40.72      0.00      6.65
 1494023392.02     0     45.36      0.00      7.26    12     42.50      0.00      6.70
 1494023392.12     0     44.51      0.00      6.80    12     40.41      0.00      6.20
 1494023392.22     0     45.17      0.00      7.00    12     42.31      0.00      6.59
 1494023392.32     0     43.09      0.00      6.48    12     39.01      0.00      6.03
 1494023392.42     0     44.67      0.00      6.30    12     40.16      0.00      5.98
 1494023392.52     0     45.35      0.00      7.52    12     40.89      0.00      6.72
 1494023392.62     0     45.46      0.00      6.76    12     41.75      0.00      5.99
 1494023392.72     0     45.37      0.00      7.03    12     41.03      0.00      6.45
 1494023392.82     0     45.23      0.00      7.00    12     41.73      0.00      6.10
 1494023392.92     0     45.65      0.00      7.23    12     41.32      0.00      6.81
 1494023393.02     0     45.77      0.00      6.76    12     41.92      0.00      6.36
 1494023393.12     0     44.86      0.00      6.86    12     40.91      0.00      6.15
 1494023393.22     0     46.15      0.00      6.87    12     42.87      0.00      6.69
 1494023393.32     0     44.14      0.00      6.72    12     41.82      0.00      6.56
 1494023393.42     0     44.87      0.00      6.27    12     41.88      0.00      6.03
