         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1493964351.87     0     23.90      0.00      3.90    12     22.13      0.00      4.21
 1493964351.97     0     30.33      0.00      3.91    12     25.40      0.00      3.75
 1493964352.07     0     31.61      0.00      4.43    12     26.20      0.00      4.09
 1493964352.17     0     34.49      0.00      4.78    12     29.01      0.00      4.50
 1493964352.27     0     44.43      0.00      4.26    12     39.08      0.00      4.77
 1493964352.37     0     48.19      0.00      4.22    12     44.02      0.00      4.73
 1493964352.47     0     48.42      0.00      4.24    12     44.21      0.00      4.75
 1493964352.57     0     48.52      0.00      4.26    12     44.17      0.00      4.70
 1493964352.67     0     48.52      0.00      4.29    12     44.29      0.00      4.72
 1493964352.77     0     48.60      0.00      4.30    12     44.34      0.00      4.69
 1493964352.87     0     48.60      0.00      4.28    12     44.66      0.00      4.71
 1493964352.97     0     48.52      0.00      4.37    12     44.53      0.00      4.72
 1493964353.07     0     48.64      0.00      4.28    12     44.64      0.00      4.73
 1493964353.17     0     47.53      0.00      4.50    12     43.58      0.00      4.87
 1493964353.27     0     48.82      0.00      4.41    12     44.54      0.00      4.88
 1493964353.37     0     48.85      0.00      4.35    12     45.03      0.00      4.73
 1493964353.47     0     48.92      0.00      4.34    12     44.15      0.00      4.76
 1493964353.57     0     48.77      0.00      4.34    12     44.98      0.00      4.83
 1493964353.67     0     48.66      0.00      4.35    12     44.62      0.00      4.69
 1493964353.77     0     48.71      0.00      4.30    12     44.41      0.00      4.75
 1493964353.87     0     48.65      0.00      4.47    12     44.27      0.00      4.65
 1493964353.97     0     49.43      0.00      4.40    12     44.35      0.00      4.70
 1493964354.07     0     48.79      0.00      4.37    12     44.39      0.00      4.71
 1493964354.17     0     48.87      0.00      4.38    12     44.37      0.00      4.67
 1493964354.27     0     49.04      0.00      4.35    12     44.29      0.00      4.77
 1493964354.37     0     49.11      0.00      4.25    12     44.28      0.00      4.66
 1493964354.47     0     49.24      0.00      4.36    12     44.28      0.00      4.66
 1493964354.57     0     49.11      0.00      4.40    12     44.25      0.00      4.77
 1493964354.67     0     49.13      0.00      4.29    12     44.29      0.00      4.67
 1493964354.77     0     48.99      0.00      4.36    12     44.28      0.00      4.69
 1493964354.87     0     48.93      0.00      4.50    12     44.36      0.00      4.76
 1493964354.97     0     48.94      0.00      4.32    12     44.31      0.00      4.79
 1493964355.08     0     49.01      0.00      4.26    12     44.36      0.00      4.79
 1493964355.18     0     49.02      0.00      4.31    12     44.28      0.00      4.82
 1493964355.28     0     49.15      0.00      4.36    12     44.31      0.00      4.62
 1493964355.38     0     49.01      0.00      4.40    12     44.31      0.00      4.78
 1493964355.48     0     48.95      0.00      4.38    12     44.36      0.00      4.74
 1493964355.58     0     48.78      0.00      4.32    12     44.73      0.00      4.79
 1493964355.68     0     48.66      0.00      4.32    12     44.31      0.00      4.76
 1493964355.78     0     48.68      0.00      4.47    12     44.27      0.00      4.71
 1493964355.88     0     48.52      0.00      4.39    12     44.32      0.00      4.77
 1493964355.98     0     48.52      0.00      4.33    12     44.29      0.00      4.75
 1493964356.08     0     48.50      0.00      4.31    12     44.34      0.00      4.77
 1493964356.18     0     48.47      0.00      4.40    12     44.32      0.00      4.77
 1493964356.28     0     48.53      0.00      4.41    12     44.28      0.00      4.66
 1493964356.38     0     48.33      0.00      4.35    12     44.33      0.00      4.77
 1493964356.48     0     48.40      0.00      4.33    12     44.28      0.00      4.65
 1493964356.58     0     48.99      0.00      4.24    12     44.31      0.00      4.76
 1493964356.68     0     48.82      0.00      4.42    12     44.29      0.00      4.81
 1493964356.78     0     48.84      0.00      4.39    12     44.33      0.00      4.59
 1493964356.88     0     49.25      0.00      4.33    12     44.32      0.00      4.68
 1493964356.98     0     48.74      0.00      4.30    12     44.42      0.00      4.71
 1493964357.08     0     48.86      0.00      4.30    12     44.33      0.00      4.71
 1493964357.18     0     48.50      0.00      4.20    12     44.47      0.00      4.77
 1493964357.28     0     49.38      0.00      4.37    12     44.19      0.00      4.78
 1493964357.38     0     48.83      0.00      4.27    12     44.16      0.00      4.71
