         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1493762245.98     0     24.34      0.00      4.95    12     24.59      0.00      4.70
 1493762246.08     0     29.15      0.00      5.39    12     27.56      0.00      4.72
 1493762246.18     0     32.51      0.00      5.02    12     29.95      0.00      4.63
 1493762246.28     0     33.52      0.00      5.04    12     30.90      0.00      4.59
 1493762246.38     0     33.80      0.00      5.17    12     30.79      0.00      4.57
 1493762246.48     0     33.78      0.00      4.80    12     30.87      0.00      4.60
 1493762246.58     0     34.54      0.00      4.84    12     31.79      0.00      4.61
 1493762246.68     0     34.56      0.00      4.83    12     31.95      0.00      4.58
 1493762246.79     0     34.54      0.00      4.92    12     32.26      0.00      4.59
 1493762246.89     0     34.62      0.00      4.96    12     31.56      0.00      4.47
 1493762246.99     0     34.31      0.00      4.97    12     32.15      0.00      4.47
 1493762247.09     0     34.47      0.00      5.05    12     31.78      0.00      4.42
 1493762247.19     0     34.47      0.00      4.84    12     32.35      0.00      4.68
 1493762247.29     0     34.46      0.00      4.90    12     32.14      0.00      4.61
 1493762247.39     0     35.07      0.00      4.92    12     32.12      0.00      4.56
 1493762247.49     0     34.49      0.00      4.87    12     32.31      0.00      4.66
 1493762247.59     0     34.96      0.00      4.77    12     32.05      0.00      4.70
 1493762247.69     0     34.30      0.00      4.64    12     32.08      0.00      4.66
 1493762247.79     0     34.91      0.00      4.83    12     32.03      0.00      4.58
 1493762247.89     0     34.33      0.00      4.61    12     31.95      0.00      4.38
 1493762247.99     0     34.41      0.00      4.98    12     31.99      0.00      4.35
 1493762248.09     0     34.42      0.00      4.84    12     32.02      0.00      4.51
 1493762248.19     0     34.34      0.00      4.89    12     31.89      0.00      4.65
 1493762248.29     0     34.39      0.00      4.71    12     32.03      0.00      4.68
 1493762248.39     0     34.57      0.00      4.66    12     32.06      0.00      4.62
 1493762248.49     0     34.88      0.00      4.84    12     31.99      0.00      4.70
 1493762248.59     0     34.71      0.00      4.85    12     32.01      0.00      4.61
 1493762248.69     0     34.79      0.00      4.91    12     32.21      0.00      4.50
 1493762248.79     0     34.74      0.00      5.06    12     32.16      0.00      4.63
 1493762248.89     0     34.85      0.00      4.94    12     32.37      0.00      4.61
 1493762248.99     0     34.87      0.00      4.86    12     32.28      0.00      4.45
 1493762249.09     0     35.57      0.00      4.91    12     33.15      0.00      4.67
 1493762249.19     0     35.66      0.00      4.90    12     33.36      0.00      4.60
 1493762249.29     0     35.87      0.00      4.84    12     33.39      0.00      4.52
 1493762249.39     0     35.72      0.00      4.80    12     33.18      0.00      4.67
 1493762249.49     0     35.68      0.00      4.91    12     33.19      0.00      4.60
 1493762249.59     0     35.79      0.00      4.75    12     33.38      0.00      4.57
 1493762249.69     0     35.76      0.00      5.05    12     33.34      0.00      4.63
 1493762249.79     0     35.04      0.00      4.86    12     32.98      0.00      4.65
 1493762249.89     0     33.84      0.00      4.84    12     31.06      0.00      4.61
 1493762249.99     0     33.88      0.00      4.98    12     31.19      0.00      4.51
 1493762250.09     0     34.21      0.00      4.92    12     31.42      0.00      4.62
 1493762250.19     0     34.35      0.00      4.70    12     31.69      0.00      4.72
 1493762250.29     0     34.41      0.00      4.69    12     31.71      0.00      4.65
 1493762250.39     0     33.86      0.00      4.62    12     30.63      0.00      4.59
 1493762250.49     0     34.51      0.00      4.80    12     31.58      0.00      4.58
 1493762250.59     0     34.05      0.00      5.00    12     31.32      0.00      4.64
 1493762250.69     0     34.56      0.00      4.80    12     31.89      0.00      4.52
 1493762250.79     0     34.46      0.00      4.83    12     31.84      0.00      4.50
 1493762250.89     0     34.42      0.00      4.79    12     32.17      0.00      4.59
 1493762250.99     0     34.49      0.00      4.83    12     32.17      0.00      4.58
 1493762251.09     0     34.17      0.00      4.71    12     31.80      0.00      4.36
 1493762251.19     0     34.42      0.00      4.87    12     32.10      0.00      4.38
 1493762251.29     0     34.43      0.00      4.87    12     32.06      0.00      4.67
 1493762251.39     0     34.45      0.00      5.04    12     32.16      0.00      4.47
 1493762251.49     0     34.88      0.00      4.76    12     32.09      0.00      4.46
 1493762251.59     0     34.52      0.00      4.77    12     32.01      0.00      4.43
 1493762251.69     0     34.59      0.00      4.81    12     32.10      0.00      4.49
 1493762251.79     0     34.53      0.00      4.75    12     32.12      0.00      4.50
 1493762251.89     0     34.19      0.00      4.61    12     31.98      0.00      4.47
 1493762251.99     0     34.62      0.00      4.81    12     31.81      0.00      4.36
 1493762252.09     0     34.44      0.00      4.99    12     32.03      0.00      4.64
 1493762252.19     0     34.49      0.00      4.92    12     32.09      0.00      4.63
 1493762252.29     0     34.59      0.00      4.75    12     32.43      0.00      4.67
 1493762252.39     0     34.52      0.00      4.75    12     31.94      0.00      4.44
 1493762252.49     0     34.65      0.00      4.82    12     32.11      0.00      4.61
 1493762252.59     0     28.14      0.00      4.21    12     27.03      0.00      4.03
 1493762252.69     0     13.16      0.00      1.65    12     15.20      0.00      1.62
 1493762252.79     0     12.95      0.00      1.64    12     14.63      0.00      1.71
 1493762252.89     0     17.40      0.00      2.87    12     18.82      0.00      2.57
 1493762252.99     0     12.90      0.00      1.62    12     14.65      0.00      1.57
 1493762253.09     0     12.98      0.00      1.73    12     14.58      0.00      1.61
 1493762253.19     0     12.74      0.00      1.73    12     14.83      0.00      1.61
 1493762253.29     0     12.60      0.00      1.71    12     14.77      0.00      1.67
 1493762253.40     0     12.72      0.00      1.55    12     14.66      0.00      1.55
 1493762253.50     0     13.00      0.00      1.56    12     14.62      0.00      1.67
 1493762253.60     0     14.10      0.00      2.20    12     15.85      0.00      2.23
 1493762253.70     0     18.44      0.00      3.19    12     19.79      0.00      3.32
