         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1494253380.43     0     24.20      0.00      4.65    12     24.75      0.00      5.31
 1494253380.53     0     33.68      0.00      5.42    12     32.33      0.00      6.77
 1494253380.63     0     38.27      0.00      5.25    12     34.04      0.00      5.92
 1494253380.73     0     36.42      0.00      5.05    12     32.07      0.00      6.34
 1494253380.83     0     36.95      0.00      5.31    12     32.38      0.00      6.88
 1494253380.93     0     37.42      0.00      5.00    12     32.99      0.00      6.55
 1494253381.03     0     37.55      0.00      5.04    12     32.95      0.00      6.10
 1494253381.13     0     37.87      0.00      5.24    12     32.42      0.00      6.78
 1494253381.23     0     35.82      0.00      5.17    12     32.48      0.00      6.44
 1494253381.34     0     35.22      0.00      5.53    12     34.21      0.00      7.09
 1494253381.44     0     37.07      0.00      5.27    12     34.41      0.00      6.91
 1494253381.54     0     35.10      0.00      5.07    12     32.80      0.00      6.84
 1494253381.64     0     37.16      0.00      5.21    12     33.65      0.00      7.04
 1494253381.74     0     37.08      0.00      4.85    12     33.71      0.00      6.45
 1494253381.84     0     35.62      0.00      5.31    12     31.78      0.00      6.31
 1494253381.94     0     34.63      0.00      5.55    12     30.73      0.00      6.01
 1494253382.04     0     35.33      0.00      5.27    12     32.18      0.00      6.15
 1494253382.14     0     36.53      0.00      5.56    12     33.95      0.00      6.71
 1494253382.24     0     37.00      0.00      5.33    12     32.89      0.00      6.57
 1494253382.34     0     36.71      0.00      5.16    12     32.70      0.00      6.44
 1494253382.44     0     37.10      0.00      5.54    12     32.38      0.00      6.59
 1494253382.54     0     37.72      0.00      5.39    12     32.32      0.00      6.10
 1494253382.64     0     39.01      0.00      5.41    12     34.22      0.00      6.75
 1494253382.74     0     37.18      0.00      5.47    12     32.28      0.00      6.29
 1494253382.84     0     36.38      0.00      5.54    12     31.71      0.00      6.12
 1494253382.94     0     38.64      0.00      5.41    12     33.86      0.00      6.56
 1494253383.04     0     35.92      0.00      5.33    12     33.74      0.00      6.17
 1494253383.14     0     38.03      0.00      5.61    12     34.04      0.00      6.78
 1494253383.24     0     38.07      0.00      5.15    12     33.64      0.00      5.99
 1494253383.34     0     38.36      0.00      5.67    12     33.62      0.00      6.70
 1494253383.44     0     38.05      0.00      5.36    12     32.92      0.00      6.63
 1494253383.54     0     39.35      0.00      5.45    12     33.48      0.00      6.15
 1494253383.64     0     37.14      0.00      5.32    12     32.29      0.00      7.07
 1494253383.74     0     36.74      0.00      5.11    12     32.59      0.00      6.28
 1494253383.84     0     37.90      0.00      5.53    12     34.19      0.00      6.84
 1494253383.94     0     39.71      0.00      5.43    12     34.70      0.00      6.47
 1494253384.04     0     36.76      0.00      5.34    12     32.23      0.00      6.83
 1494253384.14     0     36.70      0.00      5.31    12     32.53      0.00      6.55
 1494253384.24     0     37.46      0.00      5.52    12     32.77      0.00      6.20
 1494253384.34     0     38.91      0.00      5.53    12     33.85      0.00      6.76
 1494253384.44     0     35.78      0.00      5.33    12     33.59      0.00      6.38
 1494253384.54     0     38.20      0.00      5.62    12     35.98      0.00      6.90
 1494253384.64     0     36.93      0.00      5.29    12     32.82      0.00      6.16
 1494253384.74     0     37.19      0.00      5.35    12     31.76      0.00      6.45
 1494253384.84     0     37.68      0.00      5.57    12     32.93      0.00      6.54
 1494253384.94     0     37.04      0.00      5.29    12     33.95      0.00      6.35
 1494253385.04     0     36.74      0.00      5.58    12     32.91      0.00      6.49
 1494253385.14     0     36.43      0.00      5.33    12     30.08      0.00      6.11
 1494253385.24     0     36.79      0.00      5.46    12     33.46      0.00      6.56
 1494253385.34     0     37.24      0.00      5.47    12     33.59      0.00      6.47
 1494253385.44     0     34.45      0.00      5.24    12     30.62      0.00      6.51
 1494253385.54     0     36.81      0.00      5.62    12     34.10      0.00      6.87
 1494253385.64     0     36.74      0.00      5.38    12     32.79      0.00      5.93
 1494253385.74     0     38.31      0.00      5.49    12     34.05      0.00      7.14
 1494253385.84     0     37.44      0.00      5.20    12     32.46      0.00      5.98
 1494253385.94     0     40.16      0.00      5.54    12     33.64      0.00      6.53
 1494253386.04     0     38.42      0.00      5.57    12     31.90      0.00      6.36
 1494253386.14     0     36.28      0.00      5.39    12     33.50      0.00      6.58
 1494253386.25     0     37.00      0.00      5.62    12     32.72      0.00      6.52
 1494253386.35     0     37.52      0.00      5.18    12     32.69      0.00      6.06
 1494253386.45     0     35.54      0.00      5.42    12     31.69      0.00      6.17
 1494253386.55     0     36.41      0.00      5.42    12     32.91      0.00      6.62
 1494253386.65     0     35.76      0.00      5.26    12     32.53      0.00      6.49
 1494253386.75     0     38.05      0.00      5.42    12     34.95      0.00      6.44
 1494253386.85     0     37.89      0.00      5.22    12     32.44      0.00      6.18
 1494253386.95     0     36.94      0.00      5.71    12     33.38      0.00      6.83
 1494253387.05     0     36.18      0.00      5.38    12     31.65      0.00      6.54
 1494253387.15     0     37.17      0.00      5.43    12     32.72      0.00      6.51
 1494253387.25     0     36.21      0.00      5.66    12     32.72      0.00      6.45
 1494253387.35     0     36.08      0.00      5.29    12     31.44      0.00      6.42
 1494253387.45     0     40.55      0.00      5.52    12     36.77      0.00      6.67
 1494253387.55     0     37.55      0.00      5.28    12     32.36      0.00      6.03
 1494253387.65     0     36.40      0.00      5.38    12     32.14      0.00      6.51
 1494253387.75     0     36.98      0.00      5.45    12     33.51      0.00      6.99
 1494253387.85     0     36.82      0.00      5.25    12     35.10      0.00      6.49
 1494253387.95     0     36.81      0.00      5.53    12     34.20      0.00      6.92
 1494253388.05     0     36.98      0.00      5.33    12     32.34      0.00      6.44
 1494253388.15     0     41.19      0.00      5.65    12     35.09      0.00      6.50
 1494253388.25     0     36.53      0.00      5.37    12     31.85      0.00      6.30
 1494253388.35     0     38.81      0.00      5.27    12     34.82      0.00      6.53
 1494253388.45     0     36.64      0.00      5.41    12     33.05      0.00      6.42
 1494253388.55     0     37.30      0.00      5.42    12     33.60      0.00      6.47
 1494253388.65     0     39.32      0.00      5.34    12     35.01      0.00      6.70
 1494253388.75     0     36.43      0.00      5.11    12     32.41      0.00      5.96
 1494253388.85     0     38.51      0.00      5.32    12     34.72      0.00      6.86
 1494253388.95     0     40.06      0.00      5.09    12     33.70      0.00      6.40
 1494253389.05     0     36.52      0.00      5.61    12     32.35      0.00      7.00
 1494253389.15     0     37.13      0.00      5.19    12     32.48      0.00      6.57
 1494253389.25     0     36.85      0.00      5.30    12     32.92      0.00      6.37
 1494253389.35     0     39.30      0.00      5.20    12     35.37      0.00      6.61
 1494253389.45     0     37.38      0.00      5.39    12     33.19      0.00      6.93
 1494253389.55     0     39.59      0.00      5.34    12     34.46      0.00      6.55
 1494253389.65     0     35.91      0.00      5.23    12     31.65      0.00      6.10
 1494253389.75     0     37.93      0.00      5.48    12     34.49      0.00      6.63
 1494253389.85     0     37.63      0.00      5.16    12     33.42      0.00      6.19
 1494253389.95     0     39.74      0.00      5.42    12     34.30      0.00      6.81
 1494253390.05     0     39.66      0.00      5.22    12     32.75      0.00      6.78
 1494253390.15     0     36.46      0.00      5.57    12     34.22      0.00      6.24
 1494253390.25     0     38.84      0.00      5.34    12     35.76      0.00      6.84
 1494253390.35     0     37.12      0.00      5.16    12     32.74      0.00      5.98
 1494253390.45     0     36.23      0.00      5.58    12     33.24      0.00      6.94
 1494253390.55     0     38.62      0.00      5.21    12     33.93      0.00      6.37
 1494253390.65     0     37.80      0.00      5.33    12     33.64      0.00      6.95
 1494253390.75     0     35.99      0.00      5.24    12     31.29      0.00      6.64
 1494253390.85     0     38.29      0.00      5.40    12     35.03      0.00      6.73
 1494253390.95     0     39.92      0.00      5.18    12     34.18      0.00      7.02
 1494253391.05     0     37.82      0.00      5.13    12     31.79      0.00      6.48
 1494253391.16     0     40.02      0.00      5.50    12     35.36      0.00      7.14
 1494253391.26     0     37.27      0.00      5.10    12     32.86      0.00      6.49
 1494253391.36     0     39.75      0.00      5.39    12     33.36      0.00      7.12
 1494253391.46     0     37.09      0.00      5.29    12     32.32      0.00      6.00
 1494253391.56     0     37.68      0.00      5.50    12     33.86      0.00      6.74
 1494253391.66     0     38.57      0.00      5.34    12     34.68      0.00      6.69
 1494253391.76     0     38.60      0.00      5.25    12     35.21      0.00      6.46
 1494253391.86     0     38.99      0.00      5.45    12     33.55      0.00      6.83
 1494253391.96     0     36.12      0.00      5.26    12     31.47      0.00      6.60
 1494253392.06     0     38.66      0.00      5.30    12     33.96      0.00      6.69
 1494253392.16     0     37.06      0.00      5.19    12     32.53      0.00      6.43
 1494253392.26     0     37.01      0.00      5.54    12     32.97      0.00      6.75
 1494253392.36     0     35.75      0.00      5.42    12     33.37      0.00      6.15
 1494253392.46     0     38.31      0.00      5.44    12     35.98      0.00      7.04
 1494253392.56     0     37.82      0.00      5.25    12     31.96      0.00      6.47
 1494253392.66     0     38.76      0.00      5.46    12     33.40      0.00      7.05
 1494253392.76     0     38.21      0.00      5.23    12     34.14      0.00      6.18
 1494253392.86     0     36.39      0.00      5.28    12     32.26      0.00      6.13
 1494253392.96     0     38.48      0.00      5.57    12     35.99      0.00      6.52
 1494253393.06     0     37.18      0.00      5.29    12     34.21      0.00      6.08
 1494253393.16     0     37.96      0.00      5.31    12     33.69      0.00      7.08
