TensorFlow:  1.13
Model:       inception3
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  32 global
             32 per device
Num batches: 1000
Num epochs:  0.02
Devices:     ['/gpu:0']
NUMA bind:   False
Data format: NCHW
Optimizer:   sgd
Variables:   parameter_server
==========
Generating training model
Initializing graph
Running warm up
Done warm up
Major Loop Start:Thu Aug 29 23:26:44 2019
Step	Img/sec	total_loss
1	images/sec: 149.3 +/- 0.0 (jitter = 0.0)	7.407
10	images/sec: 148.7 +/- 0.7 (jitter = 0.9)	7.419
20	images/sec: 148.6 +/- 0.4 (jitter = 1.1)	7.273
30	images/sec: 148.7 +/- 0.3 (jitter = 1.2)	7.249
40	images/sec: 148.4 +/- 0.3 (jitter = 1.2)	7.286
50	images/sec: 148.6 +/- 0.2 (jitter = 1.0)	7.395
60	images/sec: 148.7 +/- 0.2 (jitter = 0.8)	7.412
70	images/sec: 148.0 +/- 0.3 (jitter = 1.3)	7.232
80	images/sec: 147.9 +/- 0.3 (jitter = 1.1)	7.287
90	images/sec: 147.9 +/- 0.3 (jitter = 1.1)	7.464
100	images/sec: 147.8 +/- 0.3 (jitter = 1.2)	7.300
110	images/sec: 147.8 +/- 0.2 (jitter = 1.1)	7.410
120	images/sec: 147.5 +/- 0.3 (jitter = 1.3)	7.330
130	images/sec: 147.5 +/- 0.2 (jitter = 1.4)	7.446
140	images/sec: 147.2 +/- 0.3 (jitter = 1.6)	7.248
150	images/sec: 147.2 +/- 0.2 (jitter = 1.5)	7.309
160	images/sec: 147.2 +/- 0.2 (jitter = 1.5)	7.348
170	images/sec: 147.2 +/- 0.2 (jitter = 1.5)	7.331
180	images/sec: 147.2 +/- 0.2 (jitter = 1.5)	7.364
190	images/sec: 147.1 +/- 0.2 (jitter = 1.6)	7.398
200	images/sec: 147.1 +/- 0.2 (jitter = 1.7)	7.295
210	images/sec: 147.1 +/- 0.2 (jitter = 1.7)	7.299
220	images/sec: 147.0 +/- 0.2 (jitter = 1.7)	7.254
230	images/sec: 147.0 +/- 0.2 (jitter = 1.8)	7.246
240	images/sec: 146.9 +/- 0.2 (jitter = 1.8)	7.392
250	images/sec: 146.9 +/- 0.2 (jitter = 1.8)	7.267
260	images/sec: 146.9 +/- 0.2 (jitter = 1.8)	7.267
