power.draw [W], utilization.gpu [%], utilization.memory [%]
57.51 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.61 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.38 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.70 W, 0 %, 0 %
58.57 W, 0 %, 0 %
58.73 W, 0 %, 0 %
58.83 W, 0 %, 0 %
57.76 W, 0 %, 0 %
57.61 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.51 W, 3 %, 0 %
57.60 W, 3 %, 0 %
60.18 W, 3 %, 0 %
62.97 W, 3 %, 0 %
59.98 W, 3 %, 0 %
58.09 W, 3 %, 0 %
57.60 W, 3 %, 0 %
57.61 W, 3 %, 0 %
57.48 W, 14 %, 2 %
57.61 W, 14 %, 2 %
57.51 W, 14 %, 2 %
57.41 W, 14 %, 2 %
57.40 W, 14 %, 2 %
57.51 W, 14 %, 2 %
57.51 W, 14 %, 2 %
57.61 W, 14 %, 2 %
57.51 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.38 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.48 W, 0 %, 0 %
57.61 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.38 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.60 W, 0 %, 0 %
57.57 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.38 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.48 W, 0 %, 0 %
65.47 W, 0 %, 0 %
65.57 W, 0 %, 0 %
65.67 W, 0 %, 0 %
62.00 W, 0 %, 0 %
69.40 W, 0 %, 0 %
69.96 W, 0 %, 0 %
66.53 W, 0 %, 0 %
64.41 W, 78 %, 7 %
61.43 W, 78 %, 7 %
58.56 W, 78 %, 7 %
57.61 W, 78 %, 7 %
57.48 W, 78 %, 7 %
57.41 W, 78 %, 7 %
57.31 W, 78 %, 7 %
57.51 W, 78 %, 7 %
57.41 W, 78 %, 7 %
57.51 W, 6 %, 1 %
57.41 W, 6 %, 1 %
57.32 W, 6 %, 1 %
57.31 W, 6 %, 1 %
57.41 W, 6 %, 1 %
57.51 W, 6 %, 1 %
57.51 W, 6 %, 1 %
57.51 W, 6 %, 1 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.38 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.48 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.40 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.28 W, 0 %, 0 %
57.51 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.31 W, 0 %, 0 %
57.22 W, 0 %, 0 %
57.41 W, 0 %, 0 %
57.38 W, 0 %, 0 %
