power.draw [W], utilization.gpu [%], utilization.memory [%]
58.75 W, 0 %, 0 %
58.75 W, 0 %, 0 %
60.10 W, 0 %, 0 %
60.21 W, 0 %, 0 %
60.21 W, 0 %, 0 %
60.37 W, 0 %, 0 %
60.37 W, 0 %, 0 %
60.27 W, 0 %, 0 %
60.27 W, 0 %, 0 %
60.27 W, 0 %, 0 %
60.40 W, 0 %, 0 %
60.40 W, 0 %, 0 %
60.27 W, 0 %, 0 %
60.27 W, 0 %, 0 %
60.27 W, 0 %, 0 %
60.27 W, 0 %, 0 %
60.27 W, 0 %, 0 %
60.37 W, 0 %, 0 %
60.27 W, 0 %, 0 %
60.27 W, 0 %, 0 %
60.37 W, 0 %, 0 %
60.37 W, 0 %, 0 %
60.36 W, 0 %, 0 %
60.37 W, 0 %, 0 %
60.37 W, 0 %, 0 %
60.46 W, 0 %, 0 %
60.37 W, 0 %, 0 %
60.37 W, 0 %, 0 %
60.30 W, 0 %, 0 %
60.37 W, 0 %, 0 %
60.40 W, 0 %, 0 %
60.30 W, 0 %, 0 %
60.36 W, 0 %, 0 %
60.36 W, 0 %, 0 %
60.37 W, 0 %, 0 %
60.27 W, 0 %, 0 %
71.32 W, 0 %, 0 %
71.32 W, 0 %, 0 %
79.21 W, 0 %, 0 %
80.46 W, 0 %, 0 %
80.46 W, 0 %, 0 %
80.73 W, 0 %, 0 %
80.73 W, 0 %, 0 %
80.89 W, 0 %, 0 %
100.68 W, 0 %, 0 %
100.68 W, 0 %, 0 %
90.30 W, 0 %, 0 %
90.30 W, 0 %, 0 %
82.43 W, 0 %, 0 %
81.66 W, 0 %, 0 %
81.66 W, 46 %, 2 %
94.59 W, 46 %, 2 %
94.59 W, 46 %, 2 %
83.29 W, 46 %, 2 %
81.85 W, 46 %, 2 %
81.85 W, 46 %, 2 %
101.22 W, 46 %, 2 %
101.22 W, 46 %, 2 %
84.55 W, 46 %, 2 %
82.24 W, 46 %, 2 %
82.24 W, 46 %, 2 %
109.04 W, 46 %, 2 %
109.04 W, 46 %, 2 %
85.89 W, 46 %, 2 %
82.81 W, 71 %, 6 %
82.81 W, 71 %, 6 %
115.23 W, 71 %, 6 %
115.23 W, 71 %, 6 %
88.78 W, 71 %, 6 %
83.49 W, 71 %, 6 %
83.49 W, 71 %, 6 %
90.66 W, 71 %, 6 %
90.66 W, 71 %, 6 %
92.00 W, 71 %, 6 %
84.55 W, 71 %, 6 %
84.55 W, 71 %, 6 %
81.85 W, 71 %, 6 %
81.85 W, 71 %, 6 %
96.61 W, 69 %, 5 %
86.18 W, 69 %, 5 %
86.18 W, 69 %, 5 %
82.04 W, 69 %, 5 %
82.04 W, 69 %, 5 %
102.94 W, 69 %, 5 %
88.01 W, 69 %, 5 %
88.01 W, 69 %, 5 %
82.52 W, 69 %, 5 %
82.52 W, 69 %, 5 %
109.81 W, 69 %, 5 %
91.13 W, 69 %, 5 %
91.13 W, 69 %, 5 %
83.00 W, 69 %, 5 %
83.00 W, 69 %, 5 %
114.93 W, 69 %, 5 %
95.46 W, 69 %, 5 %
95.46 W, 69 %, 5 %
83.58 W, 69 %, 5 %
83.58 W, 69 %, 5 %
95.06 W, 69 %, 5 %
101.78 W, 69 %, 5 %
101.78 W, 69 %, 5 %
84.55 W, 69 %, 5 %
84.55 W, 69 %, 5 %
81.95 W, 69 %, 5 %
111.44 W, 69 %, 5 %
111.44 W, 69 %, 5 %
87.14 W, 69 %, 5 %
87.14 W, 69 %, 5 %
82.24 W, 69 %, 5 %
90.46 W, 69 %, 5 %
90.46 W, 69 %, 5 %
92.28 W, 69 %, 5 %
92.28 W, 69 %, 5 %
83.00 W, 69 %, 5 %
81.85 W, 69 %, 5 %
81.85 W, 69 %, 5 %
96.71 W, 69 %, 5 %
96.71 W, 69 %, 5 %
83.87 W, 69 %, 5 %
82.24 W, 68 %, 4 %
82.24 W, 68 %, 4 %
102.55 W, 68 %, 4 %
102.55 W, 68 %, 4 %
84.64 W, 68 %, 4 %
82.33 W, 68 %, 4 %
82.33 W, 68 %, 4 %
110.37 W, 68 %, 4 %
110.37 W, 68 %, 4 %
85.41 W, 68 %, 4 %
81.66 W, 68 %, 4 %
81.66 W, 68 %, 4 %
80.25 W, 68 %, 4 %
80.25 W, 68 %, 4 %
79.98 W, 48 %, 4 %
80.05 W, 48 %, 4 %
80.05 W, 48 %, 4 %
79.77 W, 48 %, 4 %
79.77 W, 48 %, 4 %
116.28 W, 48 %, 4 %
94.40 W, 48 %, 4 %
94.40 W, 48 %, 4 %
83.39 W, 48 %, 4 %
83.39 W, 48 %, 4 %
97.82 W, 48 %, 4 %
99.64 W, 48 %, 4 %
99.64 W, 48 %, 4 %
84.35 W, 48 %, 4 %
84.35 W, 56 %, 4 %
81.98 W, 56 %, 4 %
111.64 W, 56 %, 4 %
111.64 W, 56 %, 4 %
86.86 W, 56 %, 4 %
86.86 W, 56 %, 4 %
82.24 W, 56 %, 4 %
91.42 W, 56 %, 4 %
91.42 W, 56 %, 4 %
92.32 W, 56 %, 4 %
92.32 W, 56 %, 4 %
83.20 W, 56 %, 4 %
81.98 W, 56 %, 4 %
81.98 W, 56 %, 4 %
96.98 W, 69 %, 5 %
96.98 W, 69 %, 5 %
83.87 W, 69 %, 5 %
82.14 W, 69 %, 5 %
82.14 W, 69 %, 5 %
102.51 W, 69 %, 5 %
102.51 W, 69 %, 5 %
84.74 W, 69 %, 5 %
82.43 W, 69 %, 5 %
82.43 W, 69 %, 5 %
111.71 W, 69 %, 5 %
111.71 W, 69 %, 5 %
86.66 W, 69 %, 5 %
83.10 W, 69 %, 5 %
83.10 W, 68 %, 5 %
113.11 W, 68 %, 5 %
113.11 W, 68 %, 5 %
89.25 W, 68 %, 5 %
83.97 W, 68 %, 5 %
83.97 W, 68 %, 5 %
80.82 W, 68 %, 5 %
80.82 W, 68 %, 5 %
80.02 W, 68 %, 5 %
102.32 W, 68 %, 5 %
102.32 W, 68 %, 5 %
90.01 W, 68 %, 5 %
90.01 W, 68 %, 5 %
82.81 W, 68 %, 5 %
81.85 W, 55 %, 4 %
