power.draw [W], utilization.gpu [%], utilization.memory [%]
62.29 W, 0 %, 0 %
62.29 W, 0 %, 0 %
62.29 W, 0 %, 0 %
62.29 W, 0 %, 0 %
62.29 W, 0 %, 0 %
62.19 W, 0 %, 0 %
62.19 W, 0 %, 0 %
62.19 W, 0 %, 0 %
62.19 W, 0 %, 0 %
62.19 W, 0 %, 0 %
62.29 W, 0 %, 0 %
62.29 W, 0 %, 0 %
62.29 W, 0 %, 0 %
62.29 W, 0 %, 0 %
62.29 W, 0 %, 0 %
61.23 W, 0 %, 0 %
61.13 W, 0 %, 0 %
60.97 W, 0 %, 0 %
64.12 W, 0 %, 0 %
64.12 W, 0 %, 0 %
67.78 W, 0 %, 0 %
67.78 W, 0 %, 0 %
68.26 W, 0 %, 0 %
68.36 W, 0 %, 0 %
68.36 W, 0 %, 0 %
67.97 W, 0 %, 0 %
67.97 W, 13 %, 1 %
100.99 W, 13 %, 1 %
106.36 W, 13 %, 1 %
106.36 W, 13 %, 1 %
109.87 W, 13 %, 1 %
109.87 W, 13 %, 1 %
111.50 W, 13 %, 1 %
111.98 W, 13 %, 1 %
111.98 W, 13 %, 1 %
112.37 W, 13 %, 1 %
112.37 W, 13 %, 1 %
112.18 W, 13 %, 1 %
111.89 W, 13 %, 1 %
111.89 W, 13 %, 1 %
112.26 W, 100 %, 19 %
112.26 W, 100 %, 19 %
111.79 W, 100 %, 19 %
112.27 W, 100 %, 19 %
112.27 W, 100 %, 19 %
112.85 W, 100 %, 19 %
112.85 W, 100 %, 19 %
113.61 W, 100 %, 19 %
113.62 W, 100 %, 19 %
113.62 W, 100 %, 19 %
113.62 W, 100 %, 19 %
113.62 W, 100 %, 19 %
113.33 W, 100 %, 19 %
113.33 W, 100 %, 19 %
113.33 W, 100 %, 21 %
113.52 W, 100 %, 21 %
113.52 W, 100 %, 21 %
113.71 W, 100 %, 21 %
113.81 W, 100 %, 21 %
113.81 W, 100 %, 21 %
114.37 W, 100 %, 21 %
114.37 W, 100 %, 21 %
114.29 W, 100 %, 21 %
114.48 W, 100 %, 21 %
114.48 W, 100 %, 21 %
114.19 W, 100 %, 21 %
114.19 W, 100 %, 21 %
114.09 W, 100 %, 21 %
114.10 W, 100 %, 22 %
114.10 W, 100 %, 22 %
113.89 W, 100 %, 22 %
113.89 W, 100 %, 22 %
113.81 W, 100 %, 22 %
113.88 W, 100 %, 22 %
113.88 W, 100 %, 22 %
113.52 W, 100 %, 22 %
113.52 W, 100 %, 22 %
113.33 W, 100 %, 22 %
113.23 W, 100 %, 22 %
113.23 W, 100 %, 22 %
113.13 W, 100 %, 22 %
113.13 W, 100 %, 22 %
112.94 W, 100 %, 22 %
112.94 W, 100 %, 22 %
112.94 W, 100 %, 22 %
112.56 W, 100 %, 22 %
112.56 W, 100 %, 22 %
112.27 W, 100 %, 22 %
112.27 W, 100 %, 22 %
112.27 W, 100 %, 22 %
112.18 W, 100 %, 22 %
112.18 W, 100 %, 22 %
111.89 W, 100 %, 22 %
111.79 W, 100 %, 22 %
111.79 W, 100 %, 22 %
111.60 W, 100 %, 22 %
111.60 W, 100 %, 21 %
111.60 W, 100 %, 21 %
111.60 W, 100 %, 21 %
111.60 W, 100 %, 21 %
111.69 W, 100 %, 21 %
111.69 W, 100 %, 21 %
111.60 W, 100 %, 21 %
111.50 W, 100 %, 21 %
111.50 W, 100 %, 21 %
111.31 W, 100 %, 21 %
111.31 W, 100 %, 21 %
111.02 W, 100 %, 21 %
111.02 W, 100 %, 21 %
111.02 W, 100 %, 21 %
110.73 W, 100 %, 21 %
110.73 W, 100 %, 21 %
110.73 W, 100 %, 21 %
110.64 W, 100 %, 21 %
110.64 W, 100 %, 21 %
110.44 W, 100 %, 21 %
110.44 W, 100 %, 21 %
110.25 W, 100 %, 21 %
