power.draw [W], utilization.gpu [%], utilization.memory [%]
63.74 W, 0 %, 0 %
63.84 W, 0 %, 0 %
63.84 W, 0 %, 0 %
63.74 W, 0 %, 0 %
63.74 W, 0 %, 0 %
63.84 W, 0 %, 0 %
63.74 W, 0 %, 0 %
63.74 W, 0 %, 0 %
63.84 W, 0 %, 0 %
63.84 W, 0 %, 0 %
63.84 W, 0 %, 0 %
63.84 W, 0 %, 0 %
63.84 W, 0 %, 0 %
63.74 W, 0 %, 0 %
63.74 W, 0 %, 0 %
63.74 W, 0 %, 0 %
63.74 W, 0 %, 0 %
63.74 W, 0 %, 0 %
63.93 W, 0 %, 0 %
63.93 W, 0 %, 0 %
62.97 W, 0 %, 0 %
62.58 W, 0 %, 0 %
62.58 W, 0 %, 0 %
62.48 W, 0 %, 0 %
62.48 W, 0 %, 0 %
62.30 W, 0 %, 0 %
62.39 W, 0 %, 0 %
62.39 W, 0 %, 0 %
62.29 W, 0 %, 0 %
62.29 W, 0 %, 0 %
62.48 W, 0 %, 0 %
62.29 W, 0 %, 0 %
62.29 W, 0 %, 0 %
62.48 W, 0 %, 0 %
62.48 W, 0 %, 0 %
62.39 W, 0 %, 0 %
62.48 W, 0 %, 0 %
62.48 W, 0 %, 0 %
62.40 W, 0 %, 0 %
62.40 W, 0 %, 0 %
62.48 W, 0 %, 0 %
62.39 W, 0 %, 0 %
62.39 W, 0 %, 0 %
62.48 W, 0 %, 0 %
62.48 W, 0 %, 0 %
62.40 W, 0 %, 0 %
62.40 W, 0 %, 0 %
62.40 W, 0 %, 0 %
62.40 W, 0 %, 0 %
62.39 W, 0 %, 0 %
62.39 W, 0 %, 0 %
62.39 W, 0 %, 0 %
62.40 W, 0 %, 0 %
62.39 W, 0 %, 0 %
62.40 W, 0 %, 0 %
62.40 W, 0 %, 0 %
62.40 W, 0 %, 0 %
62.40 W, 0 %, 0 %
62.39 W, 0 %, 0 %
63.84 W, 0 %, 0 %
67.88 W, 0 %, 0 %
67.88 W, 0 %, 0 %
69.61 W, 0 %, 0 %
69.61 W, 0 %, 0 %
108.37 W, 0 %, 0 %
129.01 W, 0 %, 0 %
129.01 W, 0 %, 0 %
136.55 W, 0 %, 0 %
136.55 W, 0 %, 0 %
137.53 W, 0 %, 0 %
138.01 W, 0 %, 0 %
138.01 W, 50 %, 0 %
137.87 W, 50 %, 0 %
137.87 W, 50 %, 0 %
137.51 W, 50 %, 0 %
137.58 W, 50 %, 0 %
137.58 W, 50 %, 0 %
137.52 W, 50 %, 0 %
137.52 W, 50 %, 0 %
136.99 W, 50 %, 0 %
137.25 W, 50 %, 0 %
137.25 W, 50 %, 0 %
137.22 W, 50 %, 0 %
137.22 W, 50 %, 0 %
137.13 W, 100 %, 0 %
137.03 W, 100 %, 0 %
137.03 W, 100 %, 0 %
136.86 W, 100 %, 0 %
136.86 W, 100 %, 0 %
136.77 W, 100 %, 0 %
136.84 W, 100 %, 0 %
136.84 W, 100 %, 0 %
136.96 W, 100 %, 0 %
136.96 W, 100 %, 0 %
136.74 W, 100 %, 0 %
137.05 W, 100 %, 0 %
137.05 W, 100 %, 0 %
136.77 W, 100 %, 0 %
136.77 W, 100 %, 0 %
136.65 W, 100 %, 0 %
136.86 W, 100 %, 0 %
136.86 W, 100 %, 0 %
136.72 W, 100 %, 0 %
136.72 W, 100 %, 0 %
136.29 W, 100 %, 0 %
137.48 W, 100 %, 0 %
137.48 W, 100 %, 0 %
136.93 W, 100 %, 0 %
136.93 W, 100 %, 0 %
136.29 W, 100 %, 0 %
137.44 W, 100 %, 0 %
137.44 W, 100 %, 0 %
136.86 W, 100 %, 0 %
136.86 W, 100 %, 0 %
136.29 W, 100 %, 0 %
138.21 W, 100 %, 0 %
138.21 W, 100 %, 0 %
136.95 W, 100 %, 0 %
136.95 W, 100 %, 0 %
136.57 W, 100 %, 0 %
138.29 W, 100 %, 0 %
138.29 W, 100 %, 0 %
137.05 W, 100 %, 0 %
137.05 W, 100 %, 0 %
137.29 W, 100 %, 0 %
138.21 W, 100 %, 0 %
138.21 W, 100 %, 0 %
137.58 W, 100 %, 0 %
137.58 W, 100 %, 0 %
137.29 W, 100 %, 0 %
138.64 W, 100 %, 0 %
138.64 W, 100 %, 0 %
137.48 W, 100 %, 0 %
137.48 W, 100 %, 0 %
138.06 W, 100 %, 0 %
139.57 W, 100 %, 0 %
139.57 W, 100 %, 0 %
139.65 W, 100 %, 0 %
139.65 W, 100 %, 0 %
138.40 W, 100 %, 0 %
138.65 W, 100 %, 0 %
138.65 W, 100 %, 0 %
138.01 W, 100 %, 0 %
138.01 W, 100 %, 0 %
139.40 W, 100 %, 0 %
139.25 W, 100 %, 0 %
139.25 W, 100 %, 0 %
139.29 W, 100 %, 0 %
139.29 W, 100 %, 0 %
138.85 W, 100 %, 0 %
139.39 W, 100 %, 0 %
139.39 W, 100 %, 0 %
139.53 W, 100 %, 0 %
139.53 W, 100 %, 0 %
139.43 W, 100 %, 0 %
139.33 W, 100 %, 0 %
139.33 W, 100 %, 0 %
139.74 W, 100 %, 0 %
139.74 W, 100 %, 0 %
139.50 W, 100 %, 0 %
139.07 W, 100 %, 0 %
139.07 W, 100 %, 0 %
138.54 W, 100 %, 0 %
138.54 W, 100 %, 0 %
139.14 W, 100 %, 0 %
138.78 W, 100 %, 0 %
138.78 W, 100 %, 0 %
131.46 W, 100 %, 0 %
131.46 W, 99 %, 0 %
136.52 W, 99 %, 0 %
136.72 W, 99 %, 0 %
136.72 W, 99 %, 0 %
137.65 W, 99 %, 0 %
137.65 W, 99 %, 0 %
137.34 W, 99 %, 0 %
137.20 W, 99 %, 0 %
137.20 W, 99 %, 0 %
138.21 W, 99 %, 0 %
138.21 W, 99 %, 0 %
138.10 W, 99 %, 0 %
138.30 W, 99 %, 0 %
138.30 W, 99 %, 0 %
138.10 W, 100 %, 0 %
138.10 W, 100 %, 0 %
136.96 W, 100 %, 0 %
138.39 W, 100 %, 0 %
138.39 W, 100 %, 0 %
138.30 W, 100 %, 0 %
138.30 W, 100 %, 0 %
137.58 W, 100 %, 0 %
139.31 W, 100 %, 0 %
139.31 W, 100 %, 0 %
138.80 W, 100 %, 0 %
138.80 W, 100 %, 0 %
138.48 W, 100 %, 0 %
139.79 W, 100 %, 0 %
139.79 W, 100 %, 0 %
139.53 W, 100 %, 0 %
139.53 W, 100 %, 0 %
138.48 W, 100 %, 0 %
139.43 W, 100 %, 0 %
139.43 W, 100 %, 0 %
139.45 W, 100 %, 0 %
139.45 W, 100 %, 0 %
138.77 W, 100 %, 0 %
139.54 W, 100 %, 0 %
139.54 W, 100 %, 0 %
138.76 W, 100 %, 0 %
138.76 W, 100 %, 0 %
138.69 W, 100 %, 0 %
139.43 W, 100 %, 0 %
139.43 W, 100 %, 0 %
138.85 W, 100 %, 0 %
138.85 W, 100 %, 0 %
138.57 W, 100 %, 0 %
139.29 W, 100 %, 0 %
139.29 W, 100 %, 0 %
139.72 W, 100 %, 0 %
139.72 W, 100 %, 0 %
139.43 W, 100 %, 0 %
138.76 W, 100 %, 0 %
138.76 W, 100 %, 0 %
138.59 W, 100 %, 0 %
138.59 W, 100 %, 0 %
138.30 W, 100 %, 0 %
138.47 W, 100 %, 0 %
138.47 W, 100 %, 0 %
138.11 W, 100 %, 0 %
138.11 W, 100 %, 0 %
138.28 W, 100 %, 0 %
138.30 W, 100 %, 0 %
138.30 W, 100 %, 0 %
138.09 W, 100 %, 0 %
138.09 W, 100 %, 0 %
137.73 W, 100 %, 0 %
138.18 W, 100 %, 0 %
138.18 W, 100 %, 0 %
137.61 W, 100 %, 0 %
137.61 W, 100 %, 0 %
137.70 W, 100 %, 0 %
137.70 W, 100 %, 0 %
137.70 W, 100 %, 0 %
137.34 W, 100 %, 0 %
137.34 W, 100 %, 0 %
137.15 W, 100 %, 0 %
137.05 W, 100 %, 0 %
137.05 W, 100 %, 0 %
137.34 W, 100 %, 0 %
137.34 W, 100 %, 0 %
136.65 W, 100 %, 0 %
137.15 W, 100 %, 0 %
137.15 W, 100 %, 0 %
136.84 W, 100 %, 0 %
136.84 W, 100 %, 0 %
136.86 W, 100 %, 0 %
137.05 W, 100 %, 0 %
137.05 W, 100 %, 0 %
136.81 W, 100 %, 0 %
136.81 W, 100 %, 0 %
137.22 W, 100 %, 0 %
136.84 W, 100 %, 0 %
136.84 W, 100 %, 0 %
136.65 W, 100 %, 0 %
136.65 W, 100 %, 0 %
136.29 W, 100 %, 0 %
136.74 W, 100 %, 0 %
136.74 W, 100 %, 0 %
136.19 W, 100 %, 0 %
136.19 W, 100 %, 0 %
136.96 W, 100 %, 0 %
136.19 W, 100 %, 0 %
136.19 W, 100 %, 0 %
136.77 W, 100 %, 0 %
136.77 W, 100 %, 0 %
136.77 W, 100 %, 0 %
136.67 W, 100 %, 0 %
136.67 W, 100 %, 0 %
136.57 W, 100 %, 0 %
136.57 W, 100 %, 0 %
137.39 W, 100 %, 0 %
136.91 W, 100 %, 0 %
136.91 W, 100 %, 0 %
137.34 W, 100 %, 0 %
137.34 W, 100 %, 0 %
138.49 W, 100 %, 0 %
137.53 W, 100 %, 0 %
137.53 W, 100 %, 0 %
138.40 W, 100 %, 0 %
138.40 W, 100 %, 0 %
138.69 W, 100 %, 0 %
138.30 W, 100 %, 0 %
138.30 W, 100 %, 0 %
138.59 W, 100 %, 0 %
138.59 W, 100 %, 0 %
139.44 W, 100 %, 0 %
138.67 W, 100 %, 0 %
138.67 W, 100 %, 0 %
139.02 W, 100 %, 0 %
139.02 W, 100 %, 0 %
139.57 W, 100 %, 0 %
139.21 W, 100 %, 0 %
139.21 W, 100 %, 0 %
139.56 W, 100 %, 0 %
139.56 W, 100 %, 0 %
138.54 W, 100 %, 0 %
139.70 W, 100 %, 0 %
139.70 W, 100 %, 0 %
139.62 W, 100 %, 0 %
139.62 W, 100 %, 0 %
139.80 W, 100 %, 0 %
138.85 W, 100 %, 0 %
138.85 W, 100 %, 0 %
139.36 W, 100 %, 0 %
139.36 W, 100 %, 0 %
139.02 W, 100 %, 0 %
139.05 W, 100 %, 0 %
139.05 W, 100 %, 0 %
139.02 W, 100 %, 0 %
139.02 W, 100 %, 0 %
139.24 W, 100 %, 0 %
139.25 W, 100 %, 0 %
139.25 W, 100 %, 0 %
139.07 W, 100 %, 0 %
139.07 W, 100 %, 0 %
138.66 W, 100 %, 0 %
138.38 W, 100 %, 0 %
138.38 W, 100 %, 0 %
138.18 W, 100 %, 0 %
138.18 W, 100 %, 0 %
137.92 W, 100 %, 0 %
137.82 W, 100 %, 0 %
137.82 W, 100 %, 0 %
137.53 W, 100 %, 0 %
137.53 W, 100 %, 0 %
137.92 W, 100 %, 0 %
137.73 W, 100 %, 0 %
137.73 W, 100 %, 0 %
137.41 W, 100 %, 0 %
137.41 W, 100 %, 0 %
138.09 W, 100 %, 0 %
137.34 W, 100 %, 0 %
137.34 W, 100 %, 0 %
137.46 W, 100 %, 0 %
137.46 W, 100 %, 0 %
137.51 W, 100 %, 0 %
137.08 W, 100 %, 0 %
137.08 W, 100 %, 0 %
137.03 W, 100 %, 0 %
137.03 W, 100 %, 0 %
137.32 W, 100 %, 0 %
136.55 W, 100 %, 0 %
136.55 W, 100 %, 0 %
136.77 W, 100 %, 0 %
136.77 W, 100 %, 0 %
137.34 W, 100 %, 0 %
136.29 W, 100 %, 0 %
136.29 W, 100 %, 0 %
136.77 W, 100 %, 0 %
136.77 W, 100 %, 0 %
137.03 W, 100 %, 0 %
136.77 W, 100 %, 0 %
136.77 W, 100 %, 0 %
137.00 W, 100 %, 0 %
137.00 W, 100 %, 0 %
137.58 W, 100 %, 0 %
136.96 W, 100 %, 0 %
136.96 W, 100 %, 0 %
137.68 W, 100 %, 0 %
137.68 W, 100 %, 0 %
138.30 W, 100 %, 0 %
137.73 W, 100 %, 0 %
137.73 W, 100 %, 0 %
138.40 W, 100 %, 0 %
138.40 W, 100 %, 0 %
138.29 W, 100 %, 0 %
138.49 W, 100 %, 0 %
138.49 W, 100 %, 0 %
139.17 W, 100 %, 0 %
139.17 W, 100 %, 0 %
139.60 W, 100 %, 0 %
139.39 W, 100 %, 0 %
139.39 W, 100 %, 0 %
139.80 W, 100 %, 0 %
139.80 W, 100 %, 0 %
139.53 W, 100 %, 0 %
138.74 W, 100 %, 0 %
138.74 W, 100 %, 0 %
138.49 W, 100 %, 0 %
138.49 W, 100 %, 0 %
138.21 W, 100 %, 0 %
139.57 W, 100 %, 0 %
139.57 W, 100 %, 0 %
138.87 W, 100 %, 0 %
138.87 W, 100 %, 0 %
138.78 W, 100 %, 0 %
139.80 W, 100 %, 0 %
139.80 W, 100 %, 0 %
139.43 W, 100 %, 0 %
139.43 W, 100 %, 0 %
139.09 W, 100 %, 0 %
139.31 W, 100 %, 0 %
139.31 W, 100 %, 0 %
138.93 W, 100 %, 0 %
138.93 W, 100 %, 0 %
139.33 W, 100 %, 0 %
139.05 W, 100 %, 0 %
139.05 W, 100 %, 0 %
138.66 W, 100 %, 0 %
138.66 W, 100 %, 0 %
138.59 W, 100 %, 0 %
138.66 W, 100 %, 0 %
138.66 W, 100 %, 0 %
138.29 W, 100 %, 0 %
138.29 W, 100 %, 0 %
138.28 W, 100 %, 0 %
138.54 W, 100 %, 0 %
138.54 W, 100 %, 0 %
138.29 W, 100 %, 0 %
138.29 W, 100 %, 0 %
138.47 W, 100 %, 0 %
138.49 W, 100 %, 0 %
138.49 W, 100 %, 0 %
138.18 W, 100 %, 0 %
138.18 W, 100 %, 0 %
137.80 W, 100 %, 0 %
138.35 W, 100 %, 0 %
138.35 W, 100 %, 0 %
137.80 W, 100 %, 0 %
137.80 W, 100 %, 0 %
137.99 W, 100 %, 0 %
137.99 W, 100 %, 0 %
137.99 W, 100 %, 0 %
137.90 W, 100 %, 0 %
137.90 W, 100 %, 0 %
137.34 W, 100 %, 0 %
137.80 W, 100 %, 0 %
137.80 W, 100 %, 0 %
137.34 W, 100 %, 0 %
137.34 W, 100 %, 0 %
137.25 W, 100 %, 0 %
137.25 W, 100 %, 0 %
137.25 W, 100 %, 0 %
137.25 W, 100 %, 0 %
137.25 W, 100 %, 0 %
137.15 W, 100 %, 0 %
137.25 W, 100 %, 0 %
137.25 W, 100 %, 0 %
137.41 W, 100 %, 0 %
137.41 W, 100 %, 0 %
136.98 W, 100 %, 0 %
137.03 W, 100 %, 0 %
137.03 W, 100 %, 0 %
136.84 W, 100 %, 0 %
136.84 W, 100 %, 0 %
136.77 W, 100 %, 0 %
136.79 W, 100 %, 0 %
136.79 W, 100 %, 0 %
136.86 W, 100 %, 0 %
136.86 W, 100 %, 0 %
136.48 W, 100 %, 0 %
138.21 W, 100 %, 0 %
138.21 W, 100 %, 0 %
137.15 W, 100 %, 0 %
137.15 W, 100 %, 0 %
136.57 W, 100 %, 0 %
138.40 W, 100 %, 0 %
138.40 W, 100 %, 0 %
137.34 W, 100 %, 0 %
137.34 W, 100 %, 0 %
136.77 W, 100 %, 0 %
136.48 W, 100 %, 0 %
136.48 W, 100 %, 0 %
136.86 W, 100 %, 0 %
136.86 W, 100 %, 0 %
137.58 W, 100 %, 0 %
138.59 W, 100 %, 0 %
138.59 W, 100 %, 0 %
137.87 W, 100 %, 0 %
137.87 W, 100 %, 0 %
138.01 W, 100 %, 0 %
138.83 W, 100 %, 0 %
138.83 W, 100 %, 0 %
137.82 W, 100 %, 0 %
137.82 W, 100 %, 0 %
138.69 W, 100 %, 0 %
138.69 W, 100 %, 0 %
138.69 W, 100 %, 0 %
138.30 W, 100 %, 0 %
138.30 W, 100 %, 0 %
139.06 W, 100 %, 0 %
138.88 W, 100 %, 0 %
138.88 W, 100 %, 0 %
