power.draw [W], utilization.gpu [%], utilization.memory [%]
61.91 W, 0 %, 0 %
61.81 W, 0 %, 0 %
61.81 W, 0 %, 0 %
61.81 W, 0 %, 0 %
61.81 W, 0 %, 0 %
61.91 W, 0 %, 0 %
61.91 W, 0 %, 0 %
61.91 W, 0 %, 0 %
61.81 W, 0 %, 0 %
61.81 W, 0 %, 0 %
61.81 W, 0 %, 0 %
61.91 W, 0 %, 0 %
61.91 W, 0 %, 0 %
61.91 W, 0 %, 0 %
61.91 W, 0 %, 0 %
61.91 W, 0 %, 0 %
61.81 W, 0 %, 0 %
61.81 W, 0 %, 0 %
61.91 W, 0 %, 0 %
61.91 W, 0 %, 0 %
61.71 W, 0 %, 0 %
61.91 W, 0 %, 0 %
61.91 W, 0 %, 0 %
61.91 W, 0 %, 0 %
61.91 W, 0 %, 0 %
61.71 W, 0 %, 0 %
61.71 W, 0 %, 0 %
61.91 W, 0 %, 0 %
61.71 W, 0 %, 0 %
61.81 W, 0 %, 0 %
61.81 W, 0 %, 0 %
61.91 W, 0 %, 0 %
61.81 W, 0 %, 0 %
61.91 W, 0 %, 0 %
61.81 W, 0 %, 0 %
61.81 W, 0 %, 0 %
68.07 W, 0 %, 0 %
71.25 W, 0 %, 0 %
71.25 W, 0 %, 0 %
72.28 W, 0 %, 0 %
72.46 W, 0 %, 0 %
72.46 W, 0 %, 0 %
72.65 W, 0 %, 0 %
72.65 W, 0 %, 0 %
100.42 W, 0 %, 0 %
119.50 W, 0 %, 0 %
119.50 W, 0 %, 0 %
126.98 W, 0 %, 0 %
126.98 W, 49 %, 12 %
129.13 W, 49 %, 12 %
129.55 W, 49 %, 12 %
129.55 W, 49 %, 12 %
125.51 W, 49 %, 12 %
125.51 W, 49 %, 12 %
119.35 W, 49 %, 12 %
118.30 W, 49 %, 12 %
118.30 W, 49 %, 12 %
118.78 W, 49 %, 12 %
118.78 W, 49 %, 12 %
118.01 W, 49 %, 12 %
117.91 W, 49 %, 12 %
117.91 W, 49 %, 12 %
117.40 W, 100 %, 39 %
117.40 W, 100 %, 39 %
117.96 W, 100 %, 39 %
117.38 W, 100 %, 39 %
117.38 W, 100 %, 39 %
118.44 W, 100 %, 39 %
118.44 W, 100 %, 39 %
117.93 W, 100 %, 39 %
118.41 W, 100 %, 39 %
118.41 W, 100 %, 39 %
117.72 W, 100 %, 39 %
117.72 W, 100 %, 39 %
118.68 W, 100 %, 39 %
117.82 W, 100 %, 39 %
117.82 W, 100 %, 39 %
117.82 W, 100 %, 39 %
117.82 W, 100 %, 39 %
116.92 W, 100 %, 39 %
117.38 W, 100 %, 39 %
117.38 W, 100 %, 39 %
117.96 W, 100 %, 39 %
117.96 W, 100 %, 39 %
118.39 W, 100 %, 39 %
118.30 W, 100 %, 39 %
118.30 W, 100 %, 39 %
118.30 W, 100 %, 39 %
118.30 W, 100 %, 39 %
117.72 W, 100 %, 39 %
117.62 W, 100 %, 39 %
117.62 W, 100 %, 39 %
118.25 W, 100 %, 39 %
118.25 W, 100 %, 39 %
117.29 W, 100 %, 39 %
118.15 W, 100 %, 39 %
118.15 W, 100 %, 39 %
117.62 W, 100 %, 39 %
117.62 W, 100 %, 39 %
118.58 W, 100 %, 39 %
117.82 W, 100 %, 39 %
117.82 W, 100 %, 39 %
118.20 W, 100 %, 39 %
118.20 W, 100 %, 39 %
117.36 W, 100 %, 39 %
117.50 W, 100 %, 39 %
117.50 W, 100 %, 39 %
117.02 W, 100 %, 39 %
117.02 W, 100 %, 39 %
118.44 W, 100 %, 39 %
118.06 W, 100 %, 39 %
118.06 W, 100 %, 39 %
118.30 W, 100 %, 39 %
118.30 W, 100 %, 39 %
117.53 W, 100 %, 39 %
117.62 W, 100 %, 39 %
117.62 W, 100 %, 39 %
117.11 W, 100 %, 39 %
117.11 W, 100 %, 39 %
117.77 W, 100 %, 39 %
118.30 W, 100 %, 39 %
118.30 W, 100 %, 39 %
118.01 W, 100 %, 39 %
118.01 W, 100 %, 39 %
117.43 W, 100 %, 39 %
117.72 W, 100 %, 39 %
117.72 W, 100 %, 39 %
118.06 W, 100 %, 39 %
118.06 W, 100 %, 39 %
117.19 W, 100 %, 39 %
117.86 W, 100 %, 39 %
117.86 W, 100 %, 39 %
117.29 W, 100 %, 39 %
117.29 W, 100 %, 39 %
118.58 W, 100 %, 39 %
117.62 W, 100 %, 39 %
117.62 W, 100 %, 39 %
117.77 W, 100 %, 39 %
117.77 W, 100 %, 39 %
117.31 W, 100 %, 39 %
117.96 W, 100 %, 39 %
117.96 W, 100 %, 39 %
117.74 W, 100 %, 39 %
117.74 W, 100 %, 39 %
118.39 W, 100 %, 39 %
117.53 W, 100 %, 39 %
117.53 W, 100 %, 39 %
117.72 W, 100 %, 39 %
117.72 W, 100 %, 39 %
116.73 W, 100 %, 39 %
117.86 W, 100 %, 39 %
117.86 W, 100 %, 39 %
117.84 W, 100 %, 39 %
117.84 W, 100 %, 39 %
118.01 W, 100 %, 39 %
117.33 W, 100 %, 39 %
117.33 W, 100 %, 39 %
117.10 W, 100 %, 39 %
117.10 W, 100 %, 39 %
117.16 W, 100 %, 39 %
117.91 W, 100 %, 39 %
117.91 W, 100 %, 39 %
117.82 W, 100 %, 39 %
117.82 W, 100 %, 39 %
117.82 W, 100 %, 39 %
117.77 W, 100 %, 39 %
117.77 W, 100 %, 39 %
117.29 W, 100 %, 39 %
117.29 W, 100 %, 39 %
118.10 W, 100 %, 39 %
117.33 W, 100 %, 39 %
117.33 W, 100 %, 39 %
118.20 W, 100 %, 39 %
118.20 W, 100 %, 39 %
117.11 W, 100 %, 39 %
117.77 W, 100 %, 39 %
117.77 W, 100 %, 39 %
117.82 W, 100 %, 39 %
117.82 W, 100 %, 39 %
118.10 W, 100 %, 39 %
116.95 W, 100 %, 39 %
116.95 W, 100 %, 39 %
117.40 W, 100 %, 39 %
117.40 W, 100 %, 39 %
117.31 W, 100 %, 39 %
118.20 W, 100 %, 39 %
118.20 W, 100 %, 39 %
117.14 W, 100 %, 39 %
117.14 W, 100 %, 39 %
117.67 W, 100 %, 39 %
116.81 W, 100 %, 39 %
116.81 W, 100 %, 39 %
117.91 W, 100 %, 39 %
117.91 W, 100 %, 39 %
117.43 W, 100 %, 39 %
117.62 W, 100 %, 39 %
117.62 W, 100 %, 39 %
116.92 W, 100 %, 39 %
116.92 W, 100 %, 39 %
117.91 W, 100 %, 39 %
117.24 W, 100 %, 39 %
117.24 W, 100 %, 39 %
117.72 W, 100 %, 39 %
117.72 W, 100 %, 39 %
116.59 W, 100 %, 39 %
117.48 W, 100 %, 39 %
117.48 W, 100 %, 39 %
117.72 W, 100 %, 39 %
117.72 W, 100 %, 39 %
117.62 W, 100 %, 39 %
117.86 W, 100 %, 39 %
117.86 W, 100 %, 39 %
117.19 W, 100 %, 39 %
117.19 W, 100 %, 39 %
117.05 W, 100 %, 39 %
117.53 W, 100 %, 39 %
117.53 W, 100 %, 39 %
116.20 W, 100 %, 39 %
116.20 W, 100 %, 39 %
117.29 W, 100 %, 39 %
117.82 W, 100 %, 39 %
117.82 W, 100 %, 39 %
117.62 W, 100 %, 39 %
117.62 W, 100 %, 39 %
116.59 W, 100 %, 39 %
116.71 W, 100 %, 39 %
116.71 W, 100 %, 39 %
117.72 W, 100 %, 39 %
117.72 W, 100 %, 39 %
117.14 W, 100 %, 38 %
117.43 W, 100 %, 38 %
117.43 W, 100 %, 38 %
117.10 W, 100 %, 38 %
117.10 W, 100 %, 38 %
117.33 W, 100 %, 38 %
117.24 W, 100 %, 38 %
117.24 W, 100 %, 38 %
117.41 W, 100 %, 38 %
