power.draw [W], utilization.gpu [%], utilization.memory [%]
61.13 W, 0 %, 0 %
61.13 W, 0 %, 0 %
61.04 W, 0 %, 0 %
61.04 W, 0 %, 0 %
60.95 W, 0 %, 0 %
60.95 W, 0 %, 0 %
61.04 W, 0 %, 0 %
61.14 W, 0 %, 0 %
61.04 W, 0 %, 0 %
61.04 W, 0 %, 0 %
61.04 W, 0 %, 0 %
61.04 W, 0 %, 0 %
61.14 W, 0 %, 0 %
61.24 W, 0 %, 0 %
61.24 W, 0 %, 0 %
61.04 W, 0 %, 0 %
63.94 W, 0 %, 0 %
68.84 W, 0 %, 0 %
68.84 W, 0 %, 0 %
71.32 W, 0 %, 0 %
71.12 W, 0 %, 0 %
71.12 W, 0 %, 0 %
70.38 W, 0 %, 0 %
70.29 W, 0 %, 0 %
70.29 W, 0 %, 0 %
70.19 W, 0 %, 0 %
70.19 W, 0 %, 0 %
70.16 W, 0 %, 0 %
70.28 W, 2 %, 0 %
70.28 W, 2 %, 0 %
70.18 W, 2 %, 0 %
70.18 W, 2 %, 0 %
70.19 W, 2 %, 0 %
70.36 W, 2 %, 0 %
70.36 W, 2 %, 0 %
70.29 W, 2 %, 0 %
70.29 W, 2 %, 0 %
70.18 W, 2 %, 0 %
70.55 W, 2 %, 0 %
70.55 W, 2 %, 0 %
70.25 W, 2 %, 0 %
70.25 W, 2 %, 0 %
70.19 W, 2 %, 0 %
70.38 W, 2 %, 0 %
70.38 W, 2 %, 0 %
70.29 W, 2 %, 0 %
70.29 W, 2 %, 0 %
70.19 W, 2 %, 0 %
70.29 W, 2 %, 0 %
70.29 W, 2 %, 0 %
70.25 W, 2 %, 0 %
70.25 W, 2 %, 0 %
70.29 W, 2 %, 0 %
70.38 W, 2 %, 0 %
70.38 W, 2 %, 0 %
87.43 W, 2 %, 0 %
87.43 W, 5 %, 0 %
73.14 W, 5 %, 0 %
71.15 W, 5 %, 0 %
71.15 W, 5 %, 0 %
70.58 W, 5 %, 0 %
70.58 W, 5 %, 0 %
70.25 W, 5 %, 0 %
70.35 W, 5 %, 0 %
70.35 W, 5 %, 0 %
70.38 W, 5 %, 0 %
70.38 W, 5 %, 0 %
70.38 W, 5 %, 0 %
70.29 W, 5 %, 0 %
70.29 W, 5 %, 0 %
70.29 W, 0 %, 0 %
70.29 W, 0 %, 0 %
84.64 W, 0 %, 0 %
74.49 W, 0 %, 0 %
74.49 W, 0 %, 0 %
70.93 W, 0 %, 0 %
70.93 W, 0 %, 0 %
70.47 W, 0 %, 0 %
70.29 W, 0 %, 0 %
70.29 W, 0 %, 0 %
70.29 W, 0 %, 0 %
70.29 W, 0 %, 0 %
70.26 W, 0 %, 0 %
70.18 W, 0 %, 0 %
70.18 W, 5 %, 0 %
70.16 W, 5 %, 0 %
70.16 W, 5 %, 0 %
70.26 W, 5 %, 0 %
70.36 W, 5 %, 0 %
70.36 W, 5 %, 0 %
81.89 W, 5 %, 0 %
81.89 W, 5 %, 0 %
72.27 W, 5 %, 0 %
70.96 W, 5 %, 0 %
70.96 W, 5 %, 0 %
70.35 W, 5 %, 0 %
70.35 W, 5 %, 0 %
70.26 W, 5 %, 0 %
70.26 W, 5 %, 0 %
70.26 W, 5 %, 0 %
70.29 W, 5 %, 0 %
70.29 W, 5 %, 0 %
70.26 W, 5 %, 0 %
70.29 W, 5 %, 0 %
70.29 W, 5 %, 0 %
70.44 W, 5 %, 0 %
70.44 W, 5 %, 0 %
79.69 W, 5 %, 0 %
73.04 W, 5 %, 0 %
73.04 W, 5 %, 0 %
70.77 W, 5 %, 0 %
70.77 W, 5 %, 0 %
70.38 W, 5 %, 0 %
70.19 W, 5 %, 0 %
70.19 W, 5 %, 0 %
70.26 W, 5 %, 0 %
70.26 W, 5 %, 0 %
70.25 W, 5 %, 0 %
70.18 W, 5 %, 0 %
70.18 W, 5 %, 0 %
70.16 W, 5 %, 0 %
70.16 W, 5 %, 0 %
80.51 W, 5 %, 0 %
84.64 W, 5 %, 0 %
84.64 W, 5 %, 0 %
72.65 W, 5 %, 0 %
72.65 W, 5 %, 0 %
70.64 W, 5 %, 0 %
70.44 W, 5 %, 0 %
70.44 W, 5 %, 0 %
70.16 W, 5 %, 0 %
70.16 W, 5 %, 0 %
70.19 W, 5 %, 0 %
70.18 W, 5 %, 0 %
70.18 W, 5 %, 0 %
70.29 W, 5 %, 0 %
70.29 W, 5 %, 0 %
70.16 W, 5 %, 0 %
70.38 W, 5 %, 0 %
70.38 W, 5 %, 0 %
82.04 W, 5 %, 0 %
82.04 W, 5 %, 0 %
72.21 W, 5 %, 0 %
70.83 W, 5 %, 0 %
70.83 W, 5 %, 0 %
70.48 W, 5 %, 0 %
70.48 W, 5 %, 0 %
70.25 W, 5 %, 0 %
70.38 W, 5 %, 0 %
70.38 W, 5 %, 0 %
70.35 W, 5 %, 0 %
70.35 W, 5 %, 0 %
70.38 W, 5 %, 0 %
70.35 W, 5 %, 0 %
70.35 W, 0 %, 0 %
70.67 W, 0 %, 0 %
70.67 W, 0 %, 0 %
80.07 W, 0 %, 0 %
73.43 W, 0 %, 0 %
73.43 W, 0 %, 0 %
70.93 W, 0 %, 0 %
70.93 W, 0 %, 0 %
70.35 W, 0 %, 0 %
70.24 W, 0 %, 0 %
70.24 W, 0 %, 0 %
70.29 W, 0 %, 0 %
70.29 W, 0 %, 0 %
70.38 W, 5 %, 0 %
70.29 W, 5 %, 0 %
70.29 W, 5 %, 0 %
70.25 W, 5 %, 0 %
70.25 W, 5 %, 0 %
75.06 W, 5 %, 0 %
85.22 W, 5 %, 0 %
85.22 W, 5 %, 0 %
72.76 W, 5 %, 0 %
72.76 W, 5 %, 0 %
70.67 W, 5 %, 0 %
70.48 W, 5 %, 0 %
70.48 W, 5 %, 0 %
70.38 W, 5 %, 0 %
70.38 W, 5 %, 0 %
70.38 W, 5 %, 0 %
70.25 W, 5 %, 0 %
70.25 W, 5 %, 0 %
70.25 W, 5 %, 0 %
70.25 W, 5 %, 0 %
70.38 W, 5 %, 0 %
70.26 W, 5 %, 0 %
70.26 W, 5 %, 0 %
82.56 W, 5 %, 0 %
82.56 W, 5 %, 0 %
72.37 W, 5 %, 0 %
70.82 W, 5 %, 0 %
70.82 W, 5 %, 0 %
70.25 W, 5 %, 0 %
70.25 W, 5 %, 0 %
70.29 W, 5 %, 0 %
70.16 W, 5 %, 0 %
70.16 W, 5 %, 0 %
70.19 W, 5 %, 0 %
70.19 W, 5 %, 0 %
70.25 W, 5 %, 0 %
70.18 W, 5 %, 0 %
70.18 W, 5 %, 0 %
70.35 W, 5 %, 0 %
70.35 W, 5 %, 0 %
80.27 W, 5 %, 0 %
73.43 W, 5 %, 0 %
73.43 W, 5 %, 0 %
70.77 W, 5 %, 0 %
70.77 W, 5 %, 0 %
70.28 W, 5 %, 0 %
70.38 W, 5 %, 0 %
70.38 W, 5 %, 0 %
70.16 W, 5 %, 0 %
70.16 W, 5 %, 0 %
70.10 W, 5 %, 0 %
70.25 W, 5 %, 0 %
70.25 W, 5 %, 0 %
70.19 W, 5 %, 0 %
70.19 W, 5 %, 0 %
71.41 W, 5 %, 0 %
86.28 W, 5 %, 0 %
86.28 W, 5 %, 0 %
72.85 W, 5 %, 0 %
72.85 W, 5 %, 0 %
70.64 W, 5 %, 0 %
70.47 W, 5 %, 0 %
70.47 W, 5 %, 0 %
70.38 W, 5 %, 0 %
70.38 W, 5 %, 0 %
70.29 W, 5 %, 0 %
70.38 W, 5 %, 0 %
70.38 W, 5 %, 0 %
70.36 W, 5 %, 0 %
70.36 W, 5 %, 0 %
70.35 W, 0 %, 0 %
70.36 W, 0 %, 0 %
