power.draw [W], utilization.gpu [%], utilization.memory [%]
25.91 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.62 W, 0 %, 0 %
25.62 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.73 W, 0 %, 0 %
25.73 W, 0 %, 0 %
25.73 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.92 W, 0 %, 0 %
25.92 W, 0 %, 0 %
25.92 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.73 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.92 W, 0 %, 0 %
25.92 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.92 W, 0 %, 0 %
25.92 W, 0 %, 0 %
25.92 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.73 W, 0 %, 0 %
25.73 W, 0 %, 0 %
25.73 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
26.01 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.73 W, 0 %, 0 %
25.73 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.73 W, 0 %, 0 %
25.73 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.92 W, 0 %, 0 %
25.92 W, 0 %, 0 %
25.73 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.73 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.93 W, 0 %, 0 %
25.93 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.91 W, 0 %, 0 %
25.73 W, 0 %, 0 %
25.73 W, 0 %, 0 %
25.73 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.83 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.92 W, 0 %, 0 %
25.92 W, 0 %, 0 %
25.73 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.72 W, 0 %, 0 %
25.92 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
25.82 W, 0 %, 0 %
