power.draw [W], utilization.gpu [%], utilization.memory [%]
59.40 W, 0 %, 0 %
60.95 W, 0 %, 0 %
60.95 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.43 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.53 W, 0 %, 0 %
61.53 W, 0 %, 0 %
61.43 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.52 W, 0 %, 0 %
61.52 W, 0 %, 0 %
61.62 W, 0 %, 0 %
61.52 W, 0 %, 0 %
61.52 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.62 W, 0 %, 0 %
61.62 W, 0 %, 0 %
61.62 W, 0 %, 0 %
61.52 W, 0 %, 0 %
61.52 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.52 W, 0 %, 0 %
61.52 W, 0 %, 0 %
61.62 W, 0 %, 0 %
61.62 W, 0 %, 0 %
61.43 W, 0 %, 0 %
61.43 W, 0 %, 0 %
61.52 W, 0 %, 0 %
61.52 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.43 W, 0 %, 0 %
61.52 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.53 W, 0 %, 0 %
61.56 W, 0 %, 0 %
61.53 W, 0 %, 0 %
68.84 W, 0 %, 0 %
68.84 W, 0 %, 0 %
79.40 W, 1 %, 0 %
79.40 W, 1 %, 0 %
81.02 W, 1 %, 0 %
80.98 W, 1 %, 0 %
80.98 W, 1 %, 0 %
81.27 W, 1 %, 0 %
81.27 W, 1 %, 0 %
81.50 W, 1 %, 0 %
80.15 W, 1 %, 0 %
80.15 W, 1 %, 0 %
79.76 W, 1 %, 0 %
79.76 W, 1 %, 0 %
79.88 W, 1 %, 0 %
79.88 W, 1 %, 0 %
79.88 W, 22 %, 2 %
162.27 W, 22 %, 2 %
162.27 W, 22 %, 2 %
182.73 W, 22 %, 2 %
186.83 W, 22 %, 2 %
186.83 W, 22 %, 2 %
188.92 W, 22 %, 2 %
188.92 W, 22 %, 2 %
190.07 W, 22 %, 2 %
190.73 W, 22 %, 2 %
190.73 W, 22 %, 2 %
191.12 W, 22 %, 2 %
191.12 W, 22 %, 2 %
191.12 W, 22 %, 2 %
191.02 W, 99 %, 96 %
191.02 W, 99 %, 96 %
190.83 W, 99 %, 96 %
190.83 W, 99 %, 96 %
191.12 W, 99 %, 96 %
191.40 W, 99 %, 96 %
191.40 W, 99 %, 96 %
191.69 W, 99 %, 96 %
191.69 W, 99 %, 96 %
190.93 W, 99 %, 96 %
191.59 W, 99 %, 96 %
191.59 W, 99 %, 96 %
191.79 W, 99 %, 96 %
191.79 W, 99 %, 96 %
191.50 W, 99 %, 96 %
192.07 W, 99 %, 96 %
192.07 W, 99 %, 96 %
191.98 W, 99 %, 96 %
191.98 W, 99 %, 96 %
191.50 W, 99 %, 96 %
191.59 W, 99 %, 96 %
191.59 W, 99 %, 96 %
191.59 W, 99 %, 96 %
191.59 W, 99 %, 96 %
191.79 W, 99 %, 96 %
191.40 W, 99 %, 96 %
191.40 W, 99 %, 96 %
191.79 W, 99 %, 96 %
191.79 W, 99 %, 96 %
191.79 W, 99 %, 96 %
191.69 W, 99 %, 96 %
191.69 W, 99 %, 96 %
192.07 W, 99 %, 96 %
192.07 W, 99 %, 96 %
191.59 W, 99 %, 96 %
191.59 W, 99 %, 96 %
191.59 W, 99 %, 96 %
191.88 W, 99 %, 96 %
191.88 W, 99 %, 96 %
192.17 W, 99 %, 96 %
191.98 W, 99 %, 96 %
191.98 W, 99 %, 96 %
192.07 W, 99 %, 96 %
192.07 W, 99 %, 96 %
192.26 W, 99 %, 96 %
192.17 W, 99 %, 96 %
192.17 W, 99 %, 96 %
192.07 W, 99 %, 96 %
192.07 W, 99 %, 96 %
192.26 W, 99 %, 96 %
191.98 W, 99 %, 96 %
191.98 W, 99 %, 96 %
191.98 W, 99 %, 96 %
191.98 W, 99 %, 96 %
191.98 W, 99 %, 96 %
191.50 W, 99 %, 96 %
191.50 W, 99 %, 96 %
192.36 W, 99 %, 96 %
192.36 W, 99 %, 96 %
191.88 W, 99 %, 96 %
192.36 W, 99 %, 96 %
192.36 W, 99 %, 96 %
191.69 W, 99 %, 96 %
191.69 W, 99 %, 96 %
192.17 W, 99 %, 96 %
192.17 W, 99 %, 96 %
192.17 W, 99 %, 96 %
191.98 W, 99 %, 96 %
191.98 W, 99 %, 96 %
191.79 W, 99 %, 96 %
192.07 W, 99 %, 96 %
192.07 W, 99 %, 96 %
192.36 W, 99 %, 96 %
192.36 W, 99 %, 96 %
192.46 W, 99 %, 96 %
192.17 W, 99 %, 96 %
192.17 W, 99 %, 96 %
192.46 W, 99 %, 96 %
192.46 W, 99 %, 96 %
191.88 W, 99 %, 96 %
192.26 W, 99 %, 96 %
192.26 W, 99 %, 96 %
192.26 W, 99 %, 96 %
192.26 W, 99 %, 96 %
192.65 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.46 W, 99 %, 96 %
192.17 W, 99 %, 96 %
192.17 W, 99 %, 96 %
191.98 W, 99 %, 96 %
