power.draw [W], utilization.gpu [%], utilization.memory [%]
59.34 W, 0 %, 0 %
59.31 W, 0 %, 0 %
59.04 W, 0 %, 0 %
59.04 W, 0 %, 0 %
59.33 W, 0 %, 0 %
59.33 W, 0 %, 0 %
59.31 W, 0 %, 0 %
59.14 W, 0 %, 0 %
59.14 W, 0 %, 0 %
59.21 W, 0 %, 0 %
59.21 W, 0 %, 0 %
59.31 W, 0 %, 0 %
59.12 W, 0 %, 0 %
59.12 W, 0 %, 0 %
59.21 W, 0 %, 0 %
59.21 W, 0 %, 0 %
59.31 W, 0 %, 0 %
59.12 W, 0 %, 0 %
59.12 W, 0 %, 0 %
59.02 W, 0 %, 0 %
59.02 W, 0 %, 0 %
59.21 W, 0 %, 0 %
59.02 W, 0 %, 0 %
59.02 W, 0 %, 0 %
59.12 W, 0 %, 0 %
59.12 W, 0 %, 0 %
59.31 W, 0 %, 0 %
59.12 W, 0 %, 0 %
59.12 W, 0 %, 0 %
59.02 W, 0 %, 0 %
59.02 W, 0 %, 0 %
59.33 W, 0 %, 0 %
59.14 W, 0 %, 0 %
59.14 W, 0 %, 0 %
59.04 W, 0 %, 0 %
59.02 W, 0 %, 0 %
59.02 W, 0 %, 0 %
59.21 W, 0 %, 0 %
59.31 W, 0 %, 0 %
59.31 W, 0 %, 0 %
59.21 W, 0 %, 0 %
59.24 W, 0 %, 0 %
59.24 W, 0 %, 0 %
59.33 W, 0 %, 0 %
59.14 W, 0 %, 0 %
59.69 W, 0 %, 0 %
59.69 W, 0 %, 0 %
60.27 W, 0 %, 0 %
60.27 W, 0 %, 0 %
60.08 W, 0 %, 0 %
60.18 W, 2 %, 0 %
60.18 W, 2 %, 0 %
60.27 W, 2 %, 0 %
76.32 W, 2 %, 0 %
76.32 W, 2 %, 0 %
92.40 W, 2 %, 0 %
94.79 W, 2 %, 0 %
95.65 W, 2 %, 0 %
95.84 W, 2 %, 0 %
96.13 W, 2 %, 0 %
96.13 W, 88 %, 9 %
96.13 W, 88 %, 9 %
96.23 W, 88 %, 9 %
96.13 W, 88 %, 9 %
96.14 W, 88 %, 9 %
96.14 W, 88 %, 9 %
96.23 W, 88 %, 9 %
96.14 W, 88 %, 9 %
96.23 W, 88 %, 9 %
96.23 W, 88 %, 9 %
96.32 W, 88 %, 9 %
96.23 W, 88 %, 9 %
96.23 W, 100 %, 13 %
96.23 W, 100 %, 13 %
