power.draw [W], utilization.gpu [%], utilization.memory [%]
61.13 W, 0 %, 0 %
61.13 W, 0 %, 0 %
61.24 W, 0 %, 0 %
61.24 W, 0 %, 0 %
61.13 W, 0 %, 0 %
61.24 W, 0 %, 0 %
61.13 W, 0 %, 0 %
61.14 W, 0 %, 0 %
61.14 W, 0 %, 0 %
61.13 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.13 W, 0 %, 0 %
61.13 W, 0 %, 0 %
61.13 W, 0 %, 0 %
69.99 W, 0 %, 0 %
74.49 W, 0 %, 0 %
74.49 W, 0 %, 0 %
75.93 W, 0 %, 0 %
75.16 W, 0 %, 0 %
75.16 W, 0 %, 0 %
77.38 W, 0 %, 0 %
77.38 W, 0 %, 0 %
77.56 W, 0 %, 0 %
77.17 W, 0 %, 0 %
77.17 W, 10 %, 1 %
77.07 W, 10 %, 1 %
77.07 W, 10 %, 1 %
77.27 W, 10 %, 1 %
76.79 W, 10 %, 1 %
76.79 W, 10 %, 1 %
76.79 W, 10 %, 1 %
76.79 W, 10 %, 1 %
76.79 W, 10 %, 1 %
78.23 W, 10 %, 1 %
78.23 W, 10 %, 1 %
78.13 W, 10 %, 1 %
78.13 W, 10 %, 1 %
78.23 W, 10 %, 1 %
77.46 W, 23 %, 1 %
77.46 W, 23 %, 1 %
77.46 W, 23 %, 1 %
77.46 W, 23 %, 1 %
77.28 W, 23 %, 1 %
76.89 W, 23 %, 1 %
76.89 W, 23 %, 1 %
76.80 W, 23 %, 1 %
76.80 W, 23 %, 1 %
76.57 W, 23 %, 1 %
77.34 W, 23 %, 1 %
77.34 W, 23 %, 1 %
77.25 W, 23 %, 1 %
77.25 W, 23 %, 1 %
77.25 W, 23 %, 1 %
76.77 W, 23 %, 1 %
76.77 W, 23 %, 1 %
76.77 W, 23 %, 1 %
76.77 W, 23 %, 1 %
76.77 W, 23 %, 1 %
76.67 W, 23 %, 1 %
76.67 W, 23 %, 1 %
76.77 W, 23 %, 1 %
76.77 W, 23 %, 1 %
76.67 W, 23 %, 1 %
77.25 W, 23 %, 1 %
77.25 W, 23 %, 1 %
77.25 W, 23 %, 1 %
77.25 W, 24 %, 1 %
77.06 W, 24 %, 1 %
76.67 W, 24 %, 1 %
76.67 W, 24 %, 1 %
76.67 W, 24 %, 1 %
76.67 W, 24 %, 1 %
76.67 W, 24 %, 1 %
76.67 W, 24 %, 1 %
76.67 W, 24 %, 1 %
76.67 W, 24 %, 1 %
76.67 W, 24 %, 1 %
76.99 W, 24 %, 1 %
77.18 W, 24 %, 1 %
77.18 W, 24 %, 1 %
77.09 W, 24 %, 1 %
77.09 W, 24 %, 1 %
75.93 W, 24 %, 1 %
76.41 W, 24 %, 1 %
76.41 W, 24 %, 1 %
76.79 W, 24 %, 1 %
76.79 W, 24 %, 1 %
76.79 W, 24 %, 1 %
78.04 W, 24 %, 1 %
78.04 W, 24 %, 1 %
78.22 W, 24 %, 1 %
78.22 W, 24 %, 1 %
78.33 W, 24 %, 1 %
77.46 W, 24 %, 1 %
77.46 W, 22 %, 1 %
77.46 W, 22 %, 1 %
77.46 W, 22 %, 1 %
77.46 W, 22 %, 1 %
77.17 W, 22 %, 1 %
77.17 W, 22 %, 1 %
77.17 W, 22 %, 1 %
77.17 W, 22 %, 1 %
77.07 W, 22 %, 1 %
78.33 W, 22 %, 1 %
78.33 W, 22 %, 1 %
78.23 W, 22 %, 1 %
78.23 W, 22 %, 1 %
78.23 W, 22 %, 1 %
77.38 W, 24 %, 1 %
77.38 W, 24 %, 1 %
77.18 W, 24 %, 1 %
77.18 W, 24 %, 1 %
77.09 W, 24 %, 1 %
76.80 W, 24 %, 1 %
76.80 W, 24 %, 1 %
76.80 W, 24 %, 1 %
76.80 W, 24 %, 1 %
76.70 W, 24 %, 1 %
77.54 W, 24 %, 1 %
77.54 W, 24 %, 1 %
77.44 W, 24 %, 1 %
77.44 W, 24 %, 1 %
77.34 W, 24 %, 1 %
76.77 W, 24 %, 1 %
76.77 W, 24 %, 1 %
76.77 W, 24 %, 1 %
76.77 W, 24 %, 1 %
76.77 W, 24 %, 1 %
76.67 W, 24 %, 1 %
76.67 W, 24 %, 1 %
76.48 W, 24 %, 1 %
76.48 W, 24 %, 1 %
76.67 W, 24 %, 1 %
77.44 W, 24 %, 1 %
77.44 W, 24 %, 1 %
77.44 W, 24 %, 1 %
77.44 W, 24 %, 1 %
77.44 W, 24 %, 1 %
76.86 W, 24 %, 1 %
76.86 W, 24 %, 1 %
76.80 W, 24 %, 1 %
76.80 W, 24 %, 1 %
76.70 W, 24 %, 1 %
76.70 W, 24 %, 1 %
76.70 W, 24 %, 1 %
76.61 W, 24 %, 1 %
76.61 W, 24 %, 1 %
76.61 W, 24 %, 1 %
77.46 W, 24 %, 1 %
77.46 W, 23 %, 1 %
77.75 W, 23 %, 1 %
77.75 W, 23 %, 1 %
77.75 W, 23 %, 1 %
77.07 W, 23 %, 1 %
77.07 W, 23 %, 1 %
77.09 W, 23 %, 1 %
77.09 W, 23 %, 1 %
76.99 W, 23 %, 1 %
78.13 W, 23 %, 1 %
78.13 W, 23 %, 1 %
77.85 W, 23 %, 1 %
77.85 W, 23 %, 1 %
78.05 W, 23 %, 1 %
77.47 W, 23 %, 1 %
77.47 W, 23 %, 1 %
77.46 W, 23 %, 1 %
77.46 W, 23 %, 1 %
77.36 W, 23 %, 1 %
76.88 W, 23 %, 1 %
76.88 W, 23 %, 1 %
76.98 W, 23 %, 1 %
76.98 W, 23 %, 1 %
77.07 W, 23 %, 1 %
78.33 W, 23 %, 1 %
78.33 W, 23 %, 1 %
78.23 W, 23 %, 1 %
78.23 W, 23 %, 1 %
78.52 W, 23 %, 1 %
77.65 W, 23 %, 1 %
77.65 W, 23 %, 1 %
77.56 W, 23 %, 1 %
77.56 W, 23 %, 1 %
77.38 W, 23 %, 1 %
77.09 W, 23 %, 1 %
77.09 W, 23 %, 1 %
77.09 W, 23 %, 1 %
77.09 W, 23 %, 1 %
76.99 W, 23 %, 1 %
78.15 W, 23 %, 1 %
78.15 W, 23 %, 1 %
78.23 W, 23 %, 1 %
78.23 W, 23 %, 1 %
78.33 W, 23 %, 1 %
77.36 W, 23 %, 1 %
77.36 W, 23 %, 1 %
77.38 W, 23 %, 1 %
77.38 W, 23 %, 1 %
77.38 W, 23 %, 1 %
77.09 W, 23 %, 1 %
77.09 W, 23 %, 1 %
77.17 W, 23 %, 1 %
77.17 W, 23 %, 1 %
77.18 W, 23 %, 1 %
77.94 W, 23 %, 1 %
77.94 W, 23 %, 1 %
77.86 W, 24 %, 1 %
77.86 W, 24 %, 1 %
78.23 W, 24 %, 1 %
77.28 W, 24 %, 1 %
77.28 W, 24 %, 1 %
76.86 W, 24 %, 1 %
76.86 W, 24 %, 1 %
76.77 W, 24 %, 1 %
76.77 W, 24 %, 1 %
76.77 W, 24 %, 1 %
76.77 W, 24 %, 1 %
76.77 W, 24 %, 1 %
76.89 W, 24 %, 1 %
77.38 W, 24 %, 1 %
77.38 W, 24 %, 1 %
77.38 W, 24 %, 1 %
77.38 W, 24 %, 1 %
77.28 W, 24 %, 1 %
76.80 W, 24 %, 1 %
76.80 W, 24 %, 1 %
76.70 W, 24 %, 1 %
76.70 W, 24 %, 1 %
76.51 W, 24 %, 1 %
76.70 W, 24 %, 1 %
76.70 W, 24 %, 1 %
76.80 W, 24 %, 1 %
76.80 W, 24 %, 1 %
76.79 W, 24 %, 1 %
77.27 W, 24 %, 1 %
77.27 W, 24 %, 1 %
77.36 W, 24 %, 1 %
77.36 W, 24 %, 1 %
77.56 W, 24 %, 1 %
76.88 W, 24 %, 1 %
