power.draw [W], utilization.gpu [%], utilization.memory [%]
61.33 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.43 W, 0 %, 0 %
61.43 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.52 W, 0 %, 0 %
61.52 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.23 W, 0 %, 0 %
61.23 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.52 W, 0 %, 0 %
61.52 W, 0 %, 0 %
61.43 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.46 W, 0 %, 0 %
61.46 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.43 W, 0 %, 0 %
61.43 W, 0 %, 0 %
61.43 W, 0 %, 0 %
61.53 W, 0 %, 0 %
61.53 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.53 W, 0 %, 0 %
61.46 W, 0 %, 0 %
61.46 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.43 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.43 W, 0 %, 0 %
61.43 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.43 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.53 W, 0 %, 0 %
61.53 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.43 W, 0 %, 0 %
61.43 W, 0 %, 0 %
61.43 W, 0 %, 0 %
61.52 W, 0 %, 0 %
61.33 W, 0 %, 0 %
61.42 W, 0 %, 0 %
61.53 W, 0 %, 0 %
61.53 W, 0 %, 0 %
62.77 W, 0 %, 0 %
63.06 W, 0 %, 0 %
63.06 W, 0 %, 0 %
62.68 W, 0 %, 0 %
62.68 W, 0 %, 0 %
62.77 W, 0 %, 0 %
62.97 W, 0 %, 0 %
62.97 W, 0 %, 0 %
62.97 W, 0 %, 0 %
62.97 W, 0 %, 0 %
63.06 W, 37 %, 1 %
62.87 W, 37 %, 1 %
62.87 W, 37 %, 1 %
62.87 W, 37 %, 1 %
62.87 W, 37 %, 1 %
62.77 W, 37 %, 1 %
93.21 W, 37 %, 1 %
93.21 W, 37 %, 1 %
100.04 W, 37 %, 1 %
100.04 W, 37 %, 1 %
100.80 W, 37 %, 1 %
100.51 W, 37 %, 1 %
100.51 W, 37 %, 1 %
101.08 W, 37 %, 1 %
100.99 W, 86 %, 12 %
100.99 W, 86 %, 12 %
100.70 W, 86 %, 12 %
100.70 W, 86 %, 12 %
100.95 W, 86 %, 12 %
101.03 W, 86 %, 12 %
101.03 W, 86 %, 12 %
101.14 W, 86 %, 12 %
101.14 W, 86 %, 12 %
101.08 W, 86 %, 12 %
101.14 W, 86 %, 12 %
101.14 W, 86 %, 12 %
101.24 W, 86 %, 12 %
101.24 W, 86 %, 12 %
101.33 W, 100 %, 19 %
100.75 W, 100 %, 19 %
100.75 W, 100 %, 19 %
100.94 W, 100 %, 19 %
100.94 W, 100 %, 19 %
100.75 W, 100 %, 19 %
100.66 W, 100 %, 19 %
100.66 W, 100 %, 19 %
100.66 W, 100 %, 19 %
100.66 W, 100 %, 19 %
102.39 W, 100 %, 19 %
101.33 W, 100 %, 19 %
101.33 W, 100 %, 19 %
101.43 W, 100 %, 19 %
101.43 W, 100 %, 18 %
101.43 W, 100 %, 18 %
101.33 W, 100 %, 18 %
101.33 W, 100 %, 18 %
101.18 W, 100 %, 18 %
101.18 W, 100 %, 18 %
100.41 W, 100 %, 18 %
100.41 W, 100 %, 18 %
100.41 W, 100 %, 18 %
100.46 W, 100 %, 18 %
100.46 W, 100 %, 18 %
100.41 W, 100 %, 18 %
100.55 W, 100 %, 18 %
100.55 W, 100 %, 19 %
100.51 W, 100 %, 19 %
100.51 W, 100 %, 19 %
100.55 W, 100 %, 19 %
100.41 W, 100 %, 19 %
100.41 W, 100 %, 19 %
100.46 W, 100 %, 19 %
100.46 W, 100 %, 19 %
100.56 W, 100 %, 19 %
100.66 W, 100 %, 19 %
100.66 W, 100 %, 19 %
100.89 W, 100 %, 19 %
100.89 W, 100 %, 19 %
100.70 W, 100 %, 19 %
100.41 W, 100 %, 19 %
100.41 W, 100 %, 19 %
100.26 W, 100 %, 19 %
100.26 W, 100 %, 19 %
100.17 W, 100 %, 19 %
100.95 W, 100 %, 19 %
100.95 W, 100 %, 19 %
101.43 W, 100 %, 19 %
100.27 W, 100 %, 19 %
100.27 W, 100 %, 19 %
100.03 W, 100 %, 19 %
100.03 W, 100 %, 19 %
100.12 W, 100 %, 19 %
100.32 W, 100 %, 19 %
100.32 W, 100 %, 18 %
100.41 W, 100 %, 18 %
100.99 W, 100 %, 18 %
100.99 W, 100 %, 18 %
100.75 W, 100 %, 18 %
100.80 W, 100 %, 18 %
100.80 W, 100 %, 18 %
100.70 W, 100 %, 18 %
100.70 W, 100 %, 18 %
