power.draw [W], utilization.gpu [%], utilization.memory [%]
56.64 W, 0 %, 0 %
56.54 W, 0 %, 0 %
56.45 W, 0 %, 0 %
56.54 W, 0 %, 0 %
56.35 W, 0 %, 0 %
56.54 W, 0 %, 0 %
56.35 W, 0 %, 0 %
56.45 W, 0 %, 0 %
56.45 W, 0 %, 0 %
56.45 W, 0 %, 0 %
56.45 W, 0 %, 0 %
56.35 W, 0 %, 0 %
56.45 W, 0 %, 0 %
56.54 W, 0 %, 0 %
56.45 W, 0 %, 0 %
56.54 W, 0 %, 0 %
56.35 W, 0 %, 0 %
56.35 W, 0 %, 0 %
56.54 W, 0 %, 0 %
56.45 W, 0 %, 0 %
56.54 W, 0 %, 0 %
57.22 W, 0 %, 0 %
57.61 W, 0 %, 0 %
57.80 W, 0 %, 0 %
57.80 W, 0 %, 0 %
57.03 W, 0 %, 0 %
63.84 W, 0 %, 0 %
67.02 W, 6 %, 1 %
70.48 W, 6 %, 1 %
72.28 W, 6 %, 1 %
74.97 W, 6 %, 1 %
76.57 W, 6 %, 1 %
62.88 W, 6 %, 1 %
58.38 W, 6 %, 1 %
56.93 W, 6 %, 1 %
57.41 W, 47 %, 8 %
